x_length,laser_off,laser_on,dV
0.0000E+00,-2.6964E-01,-2.5747E-01,1.2167E-02
1.0000E-01,-2.7369E-01,-2.6041E-01,1.3283E-02
2.0000E-01,-2.7481E-01,-2.6244E-01,1.2370E-02
3.0000E-01,-2.7937E-01,-2.6497E-01,1.4398E-02
4.0000E-01,-2.7998E-01,-2.6741E-01,1.2573E-02
5.0000E-01,-2.8251E-01,-2.6690E-01,1.5615E-02
6.0000E-01,-2.8343E-01,-2.6943E-01,1.3992E-02
7.0000E-01,-2.8393E-01,-2.6700E-01,1.6933E-02
8.0000E-01,-2.8586E-01,-2.7075E-01,1.5108E-02
9.0000E-01,-2.8191E-01,-2.6619E-01,1.5716E-02
1.0000E+00,-2.8667E-01,-2.6517E-01,2.1496E-02
1.1000E+00,-2.8464E-01,-2.6355E-01,2.1090E-02
1.2000E+00,-2.8464E-01,-2.6507E-01,1.9569E-02
1.3000E+00,-2.8434E-01,-2.6284E-01,2.1496E-02
1.4000E+00,-2.8464E-01,-2.6436E-01,2.0279E-02
1.5000E+00,-2.8728E-01,-2.6203E-01,2.5247E-02
1.6000E+00,-2.8677E-01,-2.6416E-01,2.2611E-02
1.7000E+00,-2.8728E-01,-2.6244E-01,2.4842E-02
1.8000E+00,-2.8657E-01,-2.6497E-01,2.1597E-02
1.9000E+00,-2.8515E-01,-2.6487E-01,2.0279E-02
2.0000E+00,-2.8616E-01,-2.6244E-01,2.3726E-02
2.1000E+00,-2.8687E-01,-2.6244E-01,2.4436E-02
2.2000E+00,-2.8789E-01,-2.6406E-01,2.3828E-02
2.3000E+00,-2.8728E-01,-2.5980E-01,2.7478E-02
2.4000E+00,-2.9042E-01,-2.6122E-01,2.9202E-02
2.5000E+00,-2.8697E-01,-2.5676E-01,3.0216E-02
2.6000E+00,-2.8789E-01,-2.6213E-01,2.5754E-02
2.7000E+00,-2.8708E-01,-2.5848E-01,2.8593E-02
2.8000E+00,-2.8515E-01,-2.5747E-01,2.7681E-02
2.9000E+00,-2.8768E-01,-2.5473E-01,3.2953E-02
3.0000E+00,-2.8403E-01,-2.5443E-01,2.9607E-02
3.1000E+00,-2.8718E-01,-2.5128E-01,3.5894E-02
3.2000E+00,-2.8586E-01,-2.4753E-01,3.8327E-02
3.3000E+00,-2.8829E-01,-2.4378E-01,4.4512E-02
3.4000E+00,-2.8474E-01,-2.4540E-01,3.9341E-02
3.5000E+00,-2.8850E-01,-2.4449E-01,4.4005E-02
3.6000E+00,-2.8819E-01,-2.4155E-01,4.6642E-02
3.7000E+00,-2.9022E-01,-2.4054E-01,4.9683E-02
3.8000E+00,-2.8931E-01,-2.3922E-01,5.0089E-02
3.9000E+00,-2.9123E-01,-2.3810E-01,5.3131E-02
4.0000E+00,-2.9113E-01,-2.3678E-01,5.4348E-02
4.1000E+00,-2.8961E-01,-2.3212E-01,5.7491E-02
4.2000E+00,-2.9204E-01,-2.2877E-01,6.3270E-02
4.3000E+00,-2.8028E-01,-2.1478E-01,6.5501E-02
4.4000E+00,-2.9215E-01,-2.2005E-01,7.2092E-02
4.5000E+00,-2.9083E-01,-2.1904E-01,7.1787E-02
4.6000E+00,-2.8971E-01,-2.1559E-01,7.4120E-02
4.7000E+00,-2.9194E-01,-2.1073E-01,8.1217E-02
4.8000E+00,-2.9316E-01,-2.0515E-01,8.8011E-02
4.9000E+00,-2.9569E-01,-1.9511E-01,1.0058E-01
5.0000E+00,-2.9569E-01,-1.8933E-01,1.0636E-01
5.1000E+00,-2.9772E-01,-1.8446E-01,1.1326E-01
5.2000E+00,-2.9793E-01,-1.8578E-01,1.1214E-01
5.3000E+00,-2.9782E-01,-1.8467E-01,1.1316E-01
5.4000E+00,-3.0279E-01,-1.9643E-01,1.0636E-01
5.5000E+00,-3.0604E-01,-2.0829E-01,9.7745E-02
5.6000E+00,-3.1202E-01,-2.2330E-01,8.8720E-02
5.7000E+00,-3.1638E-01,-2.4064E-01,7.5742E-02
5.8000E+00,-3.2753E-01,-2.6081E-01,6.6718E-02
5.9000E+00,-3.3676E-01,-2.7734E-01,5.9417E-02
6.0000E+00,-3.4203E-01,-2.8637E-01,5.5666E-02
6.1000E+00,-3.4345E-01,-2.8728E-01,5.6173E-02
6.2000E+00,-3.3635E-01,-2.8282E-01,5.3536E-02
6.3000E+00,-3.2256E-01,-2.7714E-01,4.5425E-02
6.4000E+00,-3.1912E-01,-2.7542E-01,4.3701E-02
6.5000E+00,-3.1648E-01,-2.7308E-01,4.3397E-02
6.6000E+00,-3.1273E-01,-2.7562E-01,3.7110E-02
6.7000E+00,-3.1202E-01,-2.7582E-01,3.6198E-02
6.8000E+00,-3.1060E-01,-2.8089E-01,2.9709E-02
6.9000E+00,-3.0938E-01,-2.8079E-01,2.8593E-02
7.0000E+00,-3.0117E-01,-2.7704E-01,2.4132E-02
7.1000E+00,-3.0908E-01,-2.8890E-01,2.0178E-02
7.2000E+00,-3.1070E-01,-2.8961E-01,2.1090E-02
7.3000E+00,-3.1141E-01,-2.8951E-01,2.1901E-02
7.4000E+00,-3.1303E-01,-2.9336E-01,1.9671E-02
7.5000E+00,-3.1506E-01,-2.9235E-01,2.2712E-02
7.6000E+00,-3.1364E-01,-2.9681E-01,1.6832E-02
7.7000E+00,-3.1486E-01,-2.9864E-01,1.6223E-02
7.8000E+00,-3.1618E-01,-2.9813E-01,1.8048E-02
7.9000E+00,-3.1445E-01,-2.9945E-01,1.5006E-02
8.0000E+00,-3.1212E-01,-2.9630E-01,1.5818E-02
8.1000E+00,-3.1729E-01,-3.0026E-01,1.7034E-02
8.2000E+00,-3.1577E-01,-2.9843E-01,1.7339E-02
8.3000E+00,-3.1395E-01,-2.9640E-01,1.7541E-02
8.4000E+00,-3.1253E-01,-2.9630E-01,1.6223E-02
8.5000E+00,-3.0898E-01,-2.9428E-01,1.4702E-02
8.6000E+00,-3.0867E-01,-2.9245E-01,1.6223E-02
8.7000E+00,-3.0259E-01,-2.8647E-01,1.6122E-02
8.8000E+00,-3.0016E-01,-2.8485E-01,1.5311E-02
8.9000E+00,-2.9681E-01,-2.8109E-01,1.5716E-02
9.0000E+00,-2.9336E-01,-2.7876E-01,1.4601E-02
9.1000E+00,-2.9123E-01,-2.7825E-01,1.2979E-02
9.2000E+00,-2.9133E-01,-2.7684E-01,1.4499E-02
9.3000E+00,-2.8748E-01,-2.7684E-01,1.0646E-02
9.4000E+00,-2.8708E-01,-2.7359E-01,1.3486E-02
9.5000E+00,-2.8657E-01,-2.7714E-01,9.4297E-03
9.6000E+00,-2.8434E-01,-2.7602E-01,8.3144E-03
9.7000E+00,-2.8393E-01,-2.7511E-01,8.8213E-03
9.8000E+00,-2.8464E-01,-2.7420E-01,1.0444E-02
9.9000E+00,-2.7339E-01,-2.6447E-01,8.9227E-03
