x_length,laser_off,laser_on,dV
0.0000E+00,-6.0586E-01,-5.8041E-01,2.5450E-02
1.0000E-01,-6.0667E-01,-5.9907E-01,7.6046E-03
2.0000E-01,-6.2127E-01,-6.1103E-01,1.0241E-02
3.0000E-01,-6.3091E-01,-6.2097E-01,9.9367E-03
4.0000E-01,-6.3070E-01,-6.1316E-01,1.7541E-02
5.0000E-01,-6.1600E-01,-5.9775E-01,1.8251E-02
6.0000E-01,-5.9998E-01,-5.7869E-01,2.1293E-02
7.0000E-01,-5.8477E-01,-5.6155E-01,2.3219E-02
8.0000E-01,-5.6733E-01,-5.4290E-01,2.4436E-02
9.0000E-01,-5.4421E-01,-5.2140E-01,2.2814E-02
1.0000E+00,-5.1927E-01,-4.9798E-01,2.1293E-02
1.1000E+00,-5.0153E-01,-4.8033E-01,2.1192E-02
1.2000E+00,-4.8713E-01,-4.6340E-01,2.3726E-02
1.3000E+00,-4.7526E-01,-4.5833E-01,1.6933E-02
1.4000E+00,-4.7232E-01,-4.5762E-01,1.4702E-02
1.5000E+00,-4.7537E-01,-4.5864E-01,1.6730E-02
1.6000E+00,-4.7567E-01,-4.6016E-01,1.5513E-02
1.7000E+00,-4.7810E-01,-4.6492E-01,1.3181E-02
1.8000E+00,-4.8338E-01,-4.7070E-01,1.2674E-02
1.9000E+00,-4.8480E-01,-4.7192E-01,1.2877E-02
2.0000E+00,-4.8480E-01,-4.7243E-01,1.2370E-02
2.1000E+00,-4.8824E-01,-4.7395E-01,1.4297E-02
2.2000E+00,-4.8693E-01,-4.7131E-01,1.5615E-02
2.3000E+00,-4.8287E-01,-4.6543E-01,1.7440E-02
2.4000E+00,-4.7810E-01,-4.6117E-01,1.6933E-02
2.5000E+00,-4.8064E-01,-4.6269E-01,1.7947E-02
2.6000E+00,-4.7932E-01,-4.6695E-01,1.2370E-02
2.7000E+00,-4.8084E-01,-4.6533E-01,1.5513E-02
2.8000E+00,-4.8236E-01,-4.6310E-01,1.9265E-02
2.9000E+00,-4.8064E-01,-4.6553E-01,1.5108E-02
3.0000E+00,-4.8398E-01,-4.6807E-01,1.5919E-02
3.1000E+00,-4.8459E-01,-4.6786E-01,1.6730E-02
3.2000E+00,-4.8987E-01,-4.7415E-01,1.5716E-02
3.3000E+00,-4.9037E-01,-4.7243E-01,1.7947E-02
3.4000E+00,-4.8611E-01,-4.7141E-01,1.4702E-02
3.5000E+00,-4.8601E-01,-4.7425E-01,1.1762E-02
3.6000E+00,-4.8875E-01,-4.7334E-01,1.5412E-02
3.7000E+00,-4.8855E-01,-4.7121E-01,1.7339E-02
3.8000E+00,-4.8743E-01,-4.7182E-01,1.5615E-02
3.9000E+00,-4.8632E-01,-4.7131E-01,1.5006E-02
4.0000E+00,-4.8469E-01,-4.7090E-01,1.3790E-02
4.1000E+00,-4.8672E-01,-4.7273E-01,1.3992E-02
4.2000E+00,-4.9017E-01,-4.7202E-01,1.8150E-02
4.3000E+00,-4.8885E-01,-4.7577E-01,1.3080E-02
4.4000E+00,-4.9676E-01,-4.8003E-01,1.6730E-02
4.5000E+00,-5.0325E-01,-4.8956E-01,1.3688E-02
4.6000E+00,-5.1025E-01,-4.9625E-01,1.3992E-02
4.7000E+00,-5.0791E-01,-4.9443E-01,1.3486E-02
4.8000E+00,-5.1248E-01,-4.9615E-01,1.6325E-02
4.9000E+00,-5.1106E-01,-4.9281E-01,1.8251E-02
5.0000E+00,-5.0964E-01,-4.9200E-01,1.7643E-02
5.1000E+00,-5.1004E-01,-4.9220E-01,1.7845E-02
5.2000E+00,-5.0589E-01,-4.8885E-01,1.7034E-02
5.3000E+00,-5.0548E-01,-4.9341E-01,1.2066E-02
5.4000E+00,-5.0791E-01,-4.9108E-01,1.6832E-02
5.5000E+00,-5.0923E-01,-4.9139E-01,1.7845E-02
5.6000E+00,-5.0842E-01,-4.9108E-01,1.7339E-02
5.7000E+00,-5.0680E-01,-4.8814E-01,1.8657E-02
5.8000E+00,-5.0883E-01,-4.9220E-01,1.6629E-02
5.9000E+00,-5.0994E-01,-4.9453E-01,1.5412E-02
6.0000E+00,-5.0923E-01,-4.9139E-01,1.7845E-02
6.1000E+00,-5.0994E-01,-4.9595E-01,1.3992E-02
6.2000E+00,-5.1116E-01,-4.9666E-01,1.4499E-02
6.3000E+00,-5.1085E-01,-4.9382E-01,1.7034E-02
6.4000E+00,-5.1106E-01,-4.9483E-01,1.6223E-02
6.5000E+00,-5.0842E-01,-4.9179E-01,1.6629E-02
6.6000E+00,-5.0741E-01,-4.8976E-01,1.7643E-02
6.7000E+00,-5.0629E-01,-4.8855E-01,1.7744E-02
6.8000E+00,-5.0153E-01,-4.8094E-01,2.0583E-02
6.9000E+00,-4.9859E-01,-4.8155E-01,1.7034E-02
7.0000E+00,-4.9433E-01,-4.7628E-01,1.8048E-02
7.1000E+00,-4.9838E-01,-4.8054E-01,1.7845E-02
7.2000E+00,-4.9889E-01,-4.8317E-01,1.5716E-02
7.3000E+00,-5.0599E-01,-4.9047E-01,1.5513E-02
7.4000E+00,-5.1197E-01,-4.9615E-01,1.5818E-02
7.5000E+00,-5.1379E-01,-4.9534E-01,1.8454E-02
7.6000E+00,-5.1227E-01,-4.9250E-01,1.9772E-02
7.7000E+00,-5.1025E-01,-4.8966E-01,2.0583E-02
7.8000E+00,-5.0568E-01,-4.8814E-01,1.7541E-02
7.9000E+00,-5.0609E-01,-4.9463E-01,1.1458E-02
8.0000E+00,-5.1085E-01,-4.9818E-01,1.2674E-02
8.1000E+00,-5.1653E-01,-5.0112E-01,1.5412E-02
8.2000E+00,-5.1653E-01,-4.9960E-01,1.6933E-02
8.3000E+00,-5.1795E-01,-5.0345E-01,1.4499E-02
8.4000E+00,-5.2191E-01,-5.0518E-01,1.6730E-02
8.5000E+00,-5.2099E-01,-5.0497E-01,1.6020E-02
8.6000E+00,-5.1501E-01,-4.9341E-01,2.1597E-02
8.7000E+00,-5.0822E-01,-4.9118E-01,1.7034E-02
8.8000E+00,-5.0903E-01,-4.9129E-01,1.7744E-02
8.9000E+00,-5.0883E-01,-4.9017E-01,1.8657E-02
9.0000E+00,-5.0893E-01,-4.9534E-01,1.3587E-02
9.1000E+00,-5.0933E-01,-4.9575E-01,1.3587E-02
9.2000E+00,-5.1248E-01,-4.9828E-01,1.4195E-02
9.3000E+00,-5.1339E-01,-4.9727E-01,1.6122E-02
9.4000E+00,-5.1258E-01,-4.9676E-01,1.5818E-02
9.5000E+00,-5.1481E-01,-4.9666E-01,1.8150E-02
9.6000E+00,-5.1004E-01,-4.9838E-01,1.1660E-02
9.7000E+00,-5.1420E-01,-4.9899E-01,1.5209E-02
9.8000E+00,-5.1146E-01,-4.9808E-01,1.3384E-02
9.9000E+00,-5.1035E-01,-4.9656E-01,1.3790E-02
