x_length,laser_off,laser_on,dV
0.0000E+00,-2.6619E-01,-2.6507E-01,1.1153E-03
1.0000E-01,-2.6568E-01,-2.6244E-01,3.2446E-03
2.0000E-01,-2.6568E-01,-2.6659E-01,-9.1255E-04
3.0000E-01,-2.6487E-01,-2.6862E-01,-3.7516E-03
4.0000E-01,-2.6994E-01,-2.6528E-01,4.6642E-03
5.0000E-01,-2.6447E-01,-2.6386E-01,6.0837E-04
6.0000E-01,-2.6335E-01,-2.6720E-01,-3.8530E-03
7.0000E-01,-2.6548E-01,-2.6659E-01,-1.1153E-03
8.0000E-01,-2.6487E-01,-2.6700E-01,-2.1293E-03
9.0000E-01,-2.6832E-01,-2.6923E-01,-9.1255E-04
1.0000E+00,-2.6791E-01,-2.6568E-01,2.2307E-03
1.1000E+00,-2.6730E-01,-2.6893E-01,-1.6223E-03
1.2000E+00,-2.6913E-01,-2.6852E-01,6.0837E-04
1.3000E+00,-2.7207E-01,-2.7085E-01,1.2167E-03
1.4000E+00,-2.6933E-01,-2.6588E-01,3.4474E-03
1.5000E+00,-2.6974E-01,-2.7278E-01,-3.0418E-03
1.6000E+00,-2.7430E-01,-2.6984E-01,4.4614E-03
1.7000E+00,-2.7136E-01,-2.6872E-01,2.6363E-03
1.8000E+00,-2.7035E-01,-2.7278E-01,-2.4335E-03
1.9000E+00,-2.7319E-01,-2.7177E-01,1.4195E-03
2.0000E+00,-2.6893E-01,-2.6822E-01,7.0976E-04
2.1000E+00,-2.7389E-01,-2.7694E-01,-3.0418E-03
2.2000E+00,-2.7288E-01,-2.7531E-01,-2.4335E-03
2.3000E+00,-2.7744E-01,-2.7795E-01,-5.0697E-04
2.4000E+00,-2.7582E-01,-2.7430E-01,1.5209E-03
2.5000E+00,-2.7633E-01,-2.7278E-01,3.5488E-03
2.6000E+00,-2.7379E-01,-2.7379E-01,0.0000E+00
2.7000E+00,-2.7460E-01,-2.7531E-01,-7.0976E-04
2.8000E+00,-2.7592E-01,-2.7237E-01,3.5488E-03
2.9000E+00,-2.6812E-01,-2.7024E-01,-2.1293E-03
3.0000E+00,-2.7024E-01,-2.7146E-01,-1.2167E-03
3.1000E+00,-2.7055E-01,-2.7014E-01,4.0558E-04
3.2000E+00,-2.7602E-01,-2.7308E-01,2.9404E-03
3.3000E+00,-2.7724E-01,-2.7673E-01,5.0697E-04
3.4000E+00,-2.7643E-01,-2.7704E-01,-6.0837E-04
3.5000E+00,-2.7562E-01,-2.6984E-01,5.7795E-03
3.6000E+00,-2.7116E-01,-2.6771E-01,3.4474E-03
3.7000E+00,-2.7045E-01,-2.6943E-01,1.0139E-03
3.8000E+00,-2.7014E-01,-2.6690E-01,3.2446E-03
3.9000E+00,-2.6680E-01,-2.6528E-01,1.5209E-03
4.0000E+00,-2.7308E-01,-2.6345E-01,9.6325E-03
4.1000E+00,-2.6923E-01,-2.6416E-01,5.0697E-03
4.2000E+00,-2.6943E-01,-2.5706E-01,1.2370E-02
4.3000E+00,-2.6163E-01,-2.5727E-01,4.3600E-03
4.4000E+00,-2.6568E-01,-2.5331E-01,1.2370E-02
4.5000E+00,-2.6051E-01,-2.4956E-01,1.0951E-02
4.6000E+00,-2.5291E-01,-2.4256E-01,1.0342E-02
4.7000E+00,-2.5463E-01,-2.3780E-01,1.6832E-02
4.8000E+00,-2.5737E-01,-2.3820E-01,1.9164E-02
4.9000E+00,-2.5362E-01,-2.3547E-01,1.8150E-02
5.0000E+00,-2.5260E-01,-2.3100E-01,2.1597E-02
5.1000E+00,-2.4571E-01,-2.3171E-01,1.3992E-02
5.2000E+00,-2.4175E-01,-2.2512E-01,1.6629E-02
5.3000E+00,-2.4408E-01,-2.3283E-01,1.1255E-02
5.4000E+00,-2.5128E-01,-2.3313E-01,1.8150E-02
5.5000E+00,-2.4753E-01,-2.3729E-01,1.0241E-02
5.6000E+00,-2.5220E-01,-2.4165E-01,1.0545E-02
5.7000E+00,-2.6193E-01,-2.5301E-01,8.9227E-03
5.8000E+00,-2.6102E-01,-2.5463E-01,6.3879E-03
5.9000E+00,-2.6122E-01,-2.5950E-01,1.7237E-03
6.0000E+00,-2.6406E-01,-2.6376E-01,3.0418E-04
6.1000E+00,-2.6700E-01,-2.6335E-01,3.6502E-03
6.2000E+00,-2.6812E-01,-2.6649E-01,1.6223E-03
6.3000E+00,-2.6984E-01,-2.7156E-01,-1.7237E-03
6.4000E+00,-2.7258E-01,-2.7065E-01,1.9265E-03
6.5000E+00,-2.7207E-01,-2.7389E-01,-1.8251E-03
6.6000E+00,-2.7714E-01,-2.7957E-01,-2.4335E-03
6.7000E+00,-2.8069E-01,-2.7734E-01,3.3460E-03
