x_length,laser_off,laser_on,dV
0.0000E+00,-2.4074E-01,-2.4033E-01,4.0558E-04
1.0000E-01,-2.5179E-01,-2.3891E-01,1.2877E-02
2.0000E-01,-2.6163E-01,-2.6132E-01,3.0418E-04
3.0000E-01,-2.7937E-01,-2.7957E-01,-2.0279E-04
4.0000E-01,-2.8768E-01,-2.9123E-01,-3.5488E-03
5.0000E-01,-2.9509E-01,-3.0188E-01,-6.7934E-03
6.0000E-01,-3.0188E-01,-3.0330E-01,-1.4195E-03
7.0000E-01,-3.0310E-01,-2.9995E-01,3.1432E-03
8.0000E-01,-2.9377E-01,-2.9083E-01,2.9404E-03
9.0000E-01,-2.8728E-01,-2.8140E-01,5.8809E-03
1.0000E+00,-2.7095E-01,-2.7166E-01,-7.0976E-04
1.1000E+00,-2.6051E-01,-2.6041E-01,1.0139E-04
1.2000E+00,-2.5889E-01,-2.5990E-01,-1.0139E-03
1.3000E+00,-2.6872E-01,-2.6903E-01,-3.0418E-04
1.4000E+00,-2.8981E-01,-2.9022E-01,-4.0558E-04
1.5000E+00,-3.0310E-01,-3.0533E-01,-2.2307E-03
1.6000E+00,-3.1395E-01,-3.1141E-01,2.5349E-03
1.7000E+00,-3.2226E-01,-3.1983E-01,2.4335E-03
1.8000E+00,-3.1820E-01,-3.1861E-01,-4.0558E-04
1.9000E+00,-3.1668E-01,-3.1810E-01,-1.4195E-03
2.0000E+00,-3.1871E-01,-3.1324E-01,5.4753E-03
2.1000E+00,-3.1577E-01,-3.1040E-01,5.3739E-03
2.2000E+00,-3.1455E-01,-3.1232E-01,2.2307E-03
2.3000E+00,-3.1364E-01,-3.0877E-01,4.8669E-03
2.4000E+00,-3.1324E-01,-3.1790E-01,-4.6642E-03
2.5000E+00,-3.1232E-01,-3.0867E-01,3.6502E-03
2.6000E+00,-3.1242E-01,-3.0624E-01,6.1851E-03
2.7000E+00,-3.0107E-01,-3.0979E-01,-8.7199E-03
2.8000E+00,-3.0208E-01,-2.9823E-01,3.8530E-03
2.9000E+00,-2.9245E-01,-2.9701E-01,-4.5628E-03
3.0000E+00,-2.8556E-01,-2.8363E-01,1.9265E-03
3.1000E+00,-2.7633E-01,-2.7998E-01,-3.6502E-03
3.2000E+00,-2.7643E-01,-2.7704E-01,-6.0837E-04
3.3000E+00,-2.8160E-01,-2.7896E-01,2.6363E-03
3.4000E+00,-2.8779E-01,-2.9194E-01,-4.1572E-03
3.5000E+00,-2.9478E-01,-2.9478E-01,-5.5511E-17
3.6000E+00,-3.0746E-01,-3.1232E-01,-4.8669E-03
3.7000E+00,-3.2439E-01,-3.2916E-01,-4.7656E-03
3.8000E+00,-3.3676E-01,-3.3585E-01,9.1255E-04
3.9000E+00,-3.5319E-01,-3.4801E-01,5.1711E-03
4.0000E+00,-3.5998E-01,-3.5714E-01,2.8391E-03
4.1000E+00,-3.5329E-01,-3.5552E-01,-2.2307E-03
4.2000E+00,-3.5927E-01,-3.5542E-01,3.8530E-03
4.3000E+00,-3.5329E-01,-3.4741E-01,5.8809E-03
4.4000E+00,-3.4639E-01,-3.4325E-01,3.1432E-03
4.5000E+00,-3.3544E-01,-3.3706E-01,-1.6223E-03
4.6000E+00,-3.2976E-01,-3.2540E-01,4.3600E-03
4.7000E+00,-3.1810E-01,-3.1719E-01,9.1255E-04
4.8000E+00,-3.0026E-01,-3.0310E-01,-2.8391E-03
4.9000E+00,-2.8880E-01,-2.8474E-01,4.0558E-03
5.0000E+00,-2.6629E-01,-2.6376E-01,2.5349E-03
5.1000E+00,-2.4743E-01,-2.4307E-01,4.3600E-03
5.2000E+00,-2.3050E-01,-2.2299E-01,7.5032E-03
5.3000E+00,-2.1083E-01,-2.1225E-01,-1.4195E-03
