x_length,laser_off,laser_on,dV
0.0000E+00,-3.6393E-01,-3.6556E-01,-1.6223E-03
1.0000E-01,-3.6596E-01,-3.7022E-01,-4.2586E-03
2.0000E-01,-3.7519E-01,-3.7265E-01,2.5349E-03
3.0000E-01,-3.6586E-01,-3.6981E-01,-3.9544E-03
4.0000E-01,-3.6677E-01,-3.6809E-01,-1.3181E-03
5.0000E-01,-3.6941E-01,-3.7002E-01,-6.0837E-04
6.0000E-01,-3.6728E-01,-3.6799E-01,-7.0976E-04
7.0000E-01,-3.6616E-01,-3.6566E-01,5.0697E-04
8.0000E-01,-3.6698E-01,-3.6992E-01,-2.9404E-03
9.0000E-01,-3.6789E-01,-3.6809E-01,-2.0279E-04
1.0000E+00,-3.6535E-01,-3.6383E-01,1.5209E-03
1.1000E+00,-3.5897E-01,-3.6160E-01,-2.6363E-03
1.2000E+00,-3.6363E-01,-3.6343E-01,2.0279E-04
1.3000E+00,-3.5613E-01,-3.5836E-01,-2.2307E-03
1.4000E+00,-3.5643E-01,-3.5521E-01,1.2167E-03
1.5000E+00,-3.4781E-01,-3.5004E-01,-2.2307E-03
1.6000E+00,-3.4913E-01,-3.4862E-01,5.0697E-04
1.7000E+00,-3.5045E-01,-3.4730E-01,3.1432E-03
1.8000E+00,-3.4528E-01,-3.4659E-01,-1.3181E-03
1.9000E+00,-3.4629E-01,-3.4994E-01,-3.6502E-03
2.0000E+00,-3.4507E-01,-3.4923E-01,-4.1572E-03
2.1000E+00,-3.4872E-01,-3.4923E-01,-5.0697E-04
2.2000E+00,-3.4954E-01,-3.4943E-01,1.0139E-04
2.3000E+00,-3.5217E-01,-3.5359E-01,-1.4195E-03
2.4000E+00,-3.5298E-01,-3.5501E-01,-2.0279E-03
2.5000E+00,-3.5288E-01,-3.5562E-01,-2.7377E-03
2.6000E+00,-3.5967E-01,-3.5765E-01,2.0279E-03
2.7000E+00,-3.5248E-01,-3.5095E-01,1.5209E-03
2.8000E+00,-3.5359E-01,-3.4893E-01,4.6642E-03
2.9000E+00,-3.5481E-01,-3.5481E-01,0.0000E+00
3.0000E+00,-3.5602E-01,-3.5511E-01,9.1255E-04
3.1000E+00,-3.5045E-01,-3.5531E-01,-4.8669E-03
3.2000E+00,-3.5704E-01,-3.5258E-01,4.4614E-03
3.3000E+00,-3.4974E-01,-3.5410E-01,-4.3600E-03
3.4000E+00,-3.5329E-01,-3.4923E-01,4.0558E-03
3.5000E+00,-3.5805E-01,-3.5035E-01,7.7060E-03
3.6000E+00,-3.5805E-01,-3.5643E-01,1.6223E-03
3.7000E+00,-3.6038E-01,-3.5319E-01,7.1990E-03
3.8000E+00,-3.6262E-01,-3.5694E-01,5.6781E-03
3.9000E+00,-3.6180E-01,-3.5755E-01,4.2586E-03
4.0000E+00,-3.6038E-01,-3.5177E-01,8.6186E-03
4.1000E+00,-3.5531E-01,-3.4791E-01,7.4018E-03
4.2000E+00,-3.5562E-01,-3.4497E-01,1.0646E-02
4.3000E+00,-3.5430E-01,-3.3929E-01,1.5006E-02
4.4000E+00,-3.5025E-01,-3.3696E-01,1.3283E-02
4.5000E+00,-3.4761E-01,-3.3676E-01,1.0849E-02
4.6000E+00,-3.4741E-01,-3.2885E-01,1.8555E-02
4.7000E+00,-3.3818E-01,-3.2530E-01,1.2877E-02
4.8000E+00,-3.3605E-01,-3.1760E-01,1.8454E-02
4.9000E+00,-3.3493E-01,-3.1993E-01,1.5006E-02
5.0000E+00,-3.3737E-01,-3.1932E-01,1.8048E-02
5.1000E+00,-3.3068E-01,-3.1435E-01,1.6325E-02
5.2000E+00,-3.3230E-01,-3.1344E-01,1.8859E-02
5.3000E+00,-3.3321E-01,-3.1516E-01,1.8048E-02
5.4000E+00,-3.3220E-01,-3.1689E-01,1.5311E-02
5.5000E+00,-3.3331E-01,-3.1952E-01,1.3790E-02
5.6000E+00,-3.3706E-01,-3.2672E-01,1.0342E-02
5.7000E+00,-3.3666E-01,-3.2845E-01,8.2130E-03
5.8000E+00,-3.3929E-01,-3.3524E-01,4.0558E-03
5.9000E+00,-3.3747E-01,-3.3270E-01,4.7656E-03
6.0000E+00,-3.3676E-01,-3.3422E-01,2.5349E-03
6.1000E+00,-3.4122E-01,-3.3706E-01,4.1572E-03
6.2000E+00,-3.4274E-01,-3.4142E-01,1.3181E-03
6.3000E+00,-3.4416E-01,-3.3706E-01,7.0976E-03
6.4000E+00,-3.3950E-01,-3.4082E-01,-1.3181E-03
6.5000E+00,-3.4589E-01,-3.4558E-01,3.0418E-04
6.6000E+00,-3.4710E-01,-3.4467E-01,2.4335E-03
6.7000E+00,-3.4710E-01,-3.4984E-01,-2.7377E-03
6.8000E+00,-3.5146E-01,-3.5400E-01,-2.5349E-03
6.9000E+00,-3.5430E-01,-3.5430E-01,0.0000E+00
7.0000E+00,-3.5481E-01,-3.6008E-01,-5.2725E-03
7.1000E+00,-3.5704E-01,-3.5897E-01,-1.9265E-03
7.2000E+00,-3.6201E-01,-3.6525E-01,-3.2446E-03
7.3000E+00,-3.6109E-01,-3.6687E-01,-5.7795E-03
7.4000E+00,-3.6353E-01,-3.6566E-01,-2.1293E-03
7.5000E+00,-3.6779E-01,-3.6708E-01,7.0976E-04
7.6000E+00,-3.6789E-01,-3.6576E-01,2.1293E-03
7.7000E+00,-3.6799E-01,-3.7032E-01,-2.3321E-03
7.8000E+00,-3.6353E-01,-3.6485E-01,-1.3181E-03
7.9000E+00,-3.6333E-01,-3.6140E-01,1.9265E-03
8.0000E+00,-3.6069E-01,-3.5917E-01,1.5209E-03
8.1000E+00,-3.5694E-01,-3.5653E-01,4.0558E-04
8.2000E+00,-3.5177E-01,-3.5136E-01,4.0558E-04
8.3000E+00,-3.5116E-01,-3.4649E-01,4.6642E-03
8.4000E+00,-3.3990E-01,-3.4061E-01,-7.0976E-04
8.5000E+00,-3.3656E-01,-3.3757E-01,-1.0139E-03
8.6000E+00,-3.3473E-01,-3.3301E-01,1.7237E-03
8.7000E+00,-3.3260E-01,-3.2936E-01,3.2446E-03
8.8000E+00,-3.2287E-01,-3.2317E-01,-3.0418E-04
8.9000E+00,-3.1668E-01,-3.1719E-01,-5.0697E-04
9.0000E+00,-3.1973E-01,-3.1547E-01,4.2586E-03
9.1000E+00,-3.1273E-01,-3.1395E-01,-1.2167E-03
9.2000E+00,-3.1101E-01,-3.0898E-01,2.0279E-03
9.3000E+00,-3.0827E-01,-3.0168E-01,6.5907E-03
9.4000E+00,-2.9803E-01,-3.0127E-01,-3.2446E-03
9.5000E+00,-2.9853E-01,-3.0056E-01,-2.0279E-03
9.6000E+00,-2.9803E-01,-2.9833E-01,-3.0418E-04
9.7000E+00,-2.9539E-01,-2.9600E-01,-6.0837E-04
9.8000E+00,-2.9499E-01,-2.9722E-01,-2.2307E-03
9.9000E+00,-2.8971E-01,-2.8981E-01,-1.0139E-04
