x_length,laser_off,laser_on,dV
0.0000E+00,-3.8715E-01,-3.8665E-01,5.0697E-04
1.0000E-01,-3.8340E-01,-3.8502E-01,-1.6223E-03
2.0000E-01,-3.8087E-01,-3.8502E-01,-4.1572E-03
3.0000E-01,-3.8654E-01,-3.8330E-01,3.2446E-03
4.0000E-01,-3.8431E-01,-3.8300E-01,1.3181E-03
5.0000E-01,-3.8472E-01,-3.8665E-01,-1.9265E-03
6.0000E-01,-3.8594E-01,-3.8888E-01,-2.9404E-03
7.0000E-01,-3.9080E-01,-3.9019E-01,6.0837E-04
8.0000E-01,-3.9435E-01,-3.9364E-01,7.0976E-04
9.0000E-01,-3.9526E-01,-3.9476E-01,5.0697E-04
1.0000E+00,-3.9030E-01,-3.9111E-01,-8.1116E-04
1.1000E+00,-3.9101E-01,-3.9060E-01,4.0558E-04
1.2000E+00,-3.9567E-01,-3.9131E-01,4.3600E-03
1.3000E+00,-4.0064E-01,-3.9597E-01,4.6642E-03
1.4000E+00,-4.0439E-01,-3.9810E-01,6.2865E-03
1.5000E+00,-4.1118E-01,-4.0966E-01,1.5209E-03
1.6000E+00,-4.1575E-01,-4.1270E-01,3.0418E-03
1.7000E+00,-4.1757E-01,-4.1524E-01,2.3321E-03
1.8000E+00,-4.1514E-01,-4.1585E-01,-7.0976E-04
1.9000E+00,-4.1919E-01,-4.1118E-01,8.0102E-03
2.0000E+00,-4.1544E-01,-4.1362E-01,1.8251E-03
2.1000E+00,-4.1696E-01,-4.1615E-01,8.1116E-04
2.2000E+00,-4.1463E-01,-4.1544E-01,-8.1116E-04
2.3000E+00,-4.1301E-01,-4.1139E-01,1.6223E-03
2.4000E+00,-4.0774E-01,-4.1108E-01,-3.3460E-03
2.5000E+00,-4.1321E-01,-4.1139E-01,1.8251E-03
2.6000E+00,-4.1686E-01,-4.1159E-01,5.2725E-03
2.7000E+00,-4.1189E-01,-4.1250E-01,-6.0837E-04
2.8000E+00,-4.1656E-01,-4.1463E-01,1.9265E-03
2.9000E+00,-4.1534E-01,-4.1767E-01,-2.3321E-03
3.0000E+00,-4.2386E-01,-4.2548E-01,-1.6223E-03
3.1000E+00,-4.3035E-01,-4.3167E-01,-1.3181E-03
3.2000E+00,-4.3106E-01,-4.3420E-01,-3.1432E-03
3.3000E+00,-4.3065E-01,-4.2852E-01,2.1293E-03
3.4000E+00,-4.1808E-01,-4.1666E-01,1.4195E-03
3.5000E+00,-4.0044E-01,-3.9861E-01,1.8251E-03
3.6000E+00,-3.9557E-01,-3.9314E-01,2.4335E-03
3.7000E+00,-3.9354E-01,-3.8695E-01,6.5907E-03
3.8000E+00,-3.9182E-01,-3.8746E-01,4.3600E-03
3.9000E+00,-3.9486E-01,-3.9192E-01,2.9404E-03
4.0000E+00,-3.9881E-01,-3.8685E-01,1.1965E-02
4.1000E+00,-3.9739E-01,-3.8807E-01,9.3283E-03
