x_length,laser_off,laser_on,dV
0.0000E+00,1.3827E-01,1.3959E-01,1.3181E-03
1.0000E-01,1.3625E-01,1.4030E-01,4.0558E-03
2.0000E-01,1.4547E-01,1.4213E-01,-3.3460E-03
3.0000E-01,1.4710E-01,1.4537E-01,-1.7237E-03
4.0000E-01,1.4568E-01,1.4547E-01,-2.0279E-04
5.0000E-01,1.4405E-01,1.4416E-01,1.0139E-04
6.0000E-01,1.4243E-01,1.4274E-01,3.0418E-04
7.0000E-01,1.4263E-01,1.4142E-01,-1.2167E-03
8.0000E-01,1.4426E-01,1.4507E-01,8.1116E-04
9.0000E-01,1.4628E-01,1.4750E-01,1.2167E-03
1.0000E+00,1.4902E-01,1.4923E-01,2.0279E-04
1.1000E+00,1.4710E-01,1.5004E-01,2.9404E-03
1.2000E+00,1.4973E-01,1.4933E-01,-4.0558E-04
1.3000E+00,1.4669E-01,1.4831E-01,1.6223E-03
1.4000E+00,1.4933E-01,1.4730E-01,-2.0279E-03
1.5000E+00,1.4618E-01,1.4669E-01,5.0697E-04
1.6000E+00,1.4416E-01,1.4507E-01,9.1255E-04
1.7000E+00,1.4405E-01,1.4487E-01,8.1116E-04
1.8000E+00,1.4111E-01,1.4020E-01,-9.1255E-04
1.9000E+00,1.4030E-01,1.3838E-01,-1.9265E-03
2.0000E+00,1.4030E-01,1.3827E-01,-2.0279E-03
2.1000E+00,1.3483E-01,1.3310E-01,-1.7237E-03
2.2000E+00,1.2844E-01,1.3006E-01,1.6223E-03
2.3000E+00,1.2915E-01,1.2864E-01,-5.0697E-04
2.4000E+00,1.3067E-01,1.3087E-01,2.0279E-04
2.5000E+00,1.3270E-01,1.3554E-01,2.8391E-03
2.6000E+00,1.3706E-01,1.3462E-01,-2.4335E-03
2.7000E+00,1.4030E-01,1.3868E-01,-1.6223E-03
2.8000E+00,1.4416E-01,1.4284E-01,-1.3181E-03
2.9000E+00,1.4770E-01,1.4902E-01,1.3181E-03
3.0000E+00,1.5237E-01,1.5166E-01,-7.0976E-04
3.1000E+00,1.5602E-01,1.5683E-01,8.1116E-04
3.2000E+00,1.5987E-01,1.5997E-01,1.0139E-04
