x_length,laser_off,laser_on,dV
0.0000E+00,-2.6538E-01,-2.6345E-01,1.9265E-03
1.0000E-01,-2.6497E-01,-2.6568E-01,-7.0976E-04
2.0000E-01,-2.6528E-01,-2.6264E-01,2.6363E-03
3.0000E-01,-2.6355E-01,-2.6639E-01,-2.8391E-03
4.0000E-01,-2.6588E-01,-2.6619E-01,-3.0418E-04
5.0000E-01,-2.6670E-01,-2.6548E-01,1.2167E-03
6.0000E-01,-2.6426E-01,-2.6507E-01,-8.1116E-04
7.0000E-01,-2.6396E-01,-2.6639E-01,-2.4335E-03
8.0000E-01,-2.6244E-01,-2.6467E-01,-2.2307E-03
9.0000E-01,-2.6578E-01,-2.6741E-01,-1.6223E-03
1.0000E+00,-2.6558E-01,-2.6497E-01,6.0837E-04
1.1000E+00,-2.6457E-01,-2.6315E-01,1.4195E-03
1.2000E+00,-2.6416E-01,-2.6447E-01,-3.0418E-04
1.3000E+00,-2.6487E-01,-2.6619E-01,-1.3181E-03
1.4000E+00,-2.6730E-01,-2.7055E-01,-3.2446E-03
1.5000E+00,-2.7106E-01,-2.7166E-01,-6.0837E-04
1.6000E+00,-2.6822E-01,-2.6700E-01,1.2167E-03
1.7000E+00,-2.6609E-01,-2.6568E-01,4.0558E-04
1.8000E+00,-2.7166E-01,-2.7085E-01,8.1116E-04
1.9000E+00,-2.7430E-01,-2.7572E-01,-1.4195E-03
2.0000E+00,-2.7146E-01,-2.6923E-01,2.2307E-03
2.1000E+00,-2.7430E-01,-2.7389E-01,4.0558E-04
2.2000E+00,-2.7410E-01,-2.7562E-01,-1.5209E-03
2.3000E+00,-2.7400E-01,-2.7166E-01,2.3321E-03
2.4000E+00,-2.7268E-01,-2.7511E-01,-2.4335E-03
2.5000E+00,-2.7552E-01,-2.7450E-01,1.0139E-03
2.6000E+00,-2.7744E-01,-2.7562E-01,1.8251E-03
2.7000E+00,-2.7501E-01,-2.7491E-01,1.0139E-04
2.8000E+00,-2.7237E-01,-2.7369E-01,-1.3181E-03
2.9000E+00,-2.7298E-01,-2.7430E-01,-1.3181E-03
3.0000E+00,-2.7572E-01,-2.7613E-01,-4.0558E-04
3.1000E+00,-2.7410E-01,-2.7562E-01,-1.5209E-03
3.2000E+00,-2.8018E-01,-2.7795E-01,2.2307E-03
3.3000E+00,-2.8089E-01,-2.8038E-01,5.0697E-04
3.4000E+00,-2.7765E-01,-2.7755E-01,1.0139E-04
3.5000E+00,-2.7633E-01,-2.7805E-01,-1.7237E-03
3.6000E+00,-2.7542E-01,-2.7511E-01,3.0418E-04
3.7000E+00,-2.7410E-01,-2.7531E-01,-1.2167E-03
3.8000E+00,-2.7805E-01,-2.7825E-01,-2.0279E-04
3.9000E+00,-2.7886E-01,-2.7481E-01,4.0558E-03
4.0000E+00,-2.7775E-01,-2.7643E-01,1.3181E-03
4.1000E+00,-2.7684E-01,-2.7613E-01,7.0976E-04
4.2000E+00,-2.7410E-01,-2.7075E-01,3.3460E-03
4.3000E+00,-2.7369E-01,-2.7116E-01,2.5349E-03
4.4000E+00,-2.7237E-01,-2.6771E-01,4.6642E-03
4.5000E+00,-2.7197E-01,-2.6426E-01,7.7060E-03
4.6000E+00,-2.7440E-01,-2.6568E-01,8.7199E-03
4.7000E+00,-2.7308E-01,-2.6426E-01,8.8213E-03
4.8000E+00,-2.7339E-01,-2.6517E-01,8.2130E-03
4.9000E+00,-2.6822E-01,-2.6325E-01,4.9683E-03
5.0000E+00,-2.6852E-01,-2.5727E-01,1.1255E-02
5.1000E+00,-2.6690E-01,-2.5757E-01,9.3283E-03
5.2000E+00,-2.6528E-01,-2.5625E-01,9.0241E-03
5.3000E+00,-2.6609E-01,-2.5544E-01,1.0646E-02
5.4000E+00,-2.6832E-01,-2.5838E-01,9.9367E-03
5.5000E+00,-2.7440E-01,-2.6791E-01,6.4893E-03
5.6000E+00,-2.7623E-01,-2.7237E-01,3.8530E-03
5.7000E+00,-2.7613E-01,-2.7329E-01,2.8391E-03
5.8000E+00,-2.7967E-01,-2.7552E-01,4.1572E-03
5.9000E+00,-2.8292E-01,-2.8332E-01,-4.0558E-04
6.0000E+00,-2.9164E-01,-2.9083E-01,8.1116E-04
6.1000E+00,-2.8931E-01,-2.9174E-01,-2.4335E-03
6.2000E+00,-2.8829E-01,-2.8748E-01,8.1116E-04
6.3000E+00,-2.8586E-01,-2.8525E-01,6.0837E-04
6.4000E+00,-2.8758E-01,-2.8748E-01,1.0139E-04
6.5000E+00,-2.8748E-01,-2.8637E-01,1.1153E-03
6.6000E+00,-2.8708E-01,-2.8677E-01,3.0418E-04
6.7000E+00,-2.8890E-01,-2.8910E-01,-2.0279E-04
6.8000E+00,-2.9113E-01,-2.9225E-01,-1.1153E-03
