x_length,laser_off,laser_on,dV
0.0000E+00,-5.2637E-01,-5.1613E-01,1.0241E-02
1.0000E-01,-5.2343E-01,-5.1390E-01,9.5311E-03
2.0000E-01,-5.2485E-01,-5.1866E-01,6.1851E-03
3.0000E-01,-5.2789E-01,-5.2028E-01,7.6046E-03
4.0000E-01,-5.2475E-01,-5.2120E-01,3.5488E-03
5.0000E-01,-5.2728E-01,-4.9392E-01,3.3359E-02
6.0000E-01,-4.8642E-01,-4.8023E-01,6.1851E-03
7.0000E-01,-4.8764E-01,-4.8054E-01,7.0976E-03
8.0000E-01,-4.9382E-01,-4.8905E-01,4.7656E-03
9.0000E-01,-4.9940E-01,-4.9321E-01,6.1851E-03
1.0000E+00,-5.0031E-01,-4.9027E-01,1.0038E-02
1.1000E+00,-5.0376E-01,-5.0173E-01,2.0279E-03
1.2000E+00,-5.1004E-01,-5.0619E-01,3.8530E-03
1.3000E+00,-5.1674E-01,-5.0893E-01,7.8074E-03
1.4000E+00,-5.1745E-01,-5.1704E-01,4.0558E-04
1.5000E+00,-5.2921E-01,-5.2373E-01,5.4753E-03
1.6000E+00,-5.3397E-01,-5.2404E-01,9.9367E-03
1.7000E+00,-5.3701E-01,-5.3296E-01,4.0558E-03
1.8000E+00,-5.4148E-01,-5.4016E-01,1.3181E-03
1.9000E+00,-5.4634E-01,-5.4056E-01,5.7795E-03
2.0000E+00,-5.5131E-01,-5.4878E-01,2.5349E-03
2.1000E+00,-5.5952E-01,-5.5810E-01,1.4195E-03
2.2000E+00,-5.6753E-01,-5.6054E-01,6.9962E-03
2.3000E+00,-5.7169E-01,-5.6652E-01,5.1711E-03
2.4000E+00,-5.7747E-01,-5.7149E-01,5.9823E-03
2.5000E+00,-5.7281E-01,-5.6034E-01,1.2472E-02
2.6000E+00,-5.6845E-01,-5.6480E-01,3.6502E-03
2.7000E+00,-5.8102E-01,-5.7281E-01,8.2130E-03
2.8000E+00,-5.8883E-01,-5.8548E-01,3.3460E-03
2.9000E+00,-6.0201E-01,-5.9978E-01,2.2307E-03
3.0000E+00,-6.1701E-01,-6.0921E-01,7.8074E-03
3.1000E+00,-6.1975E-01,-6.1681E-01,2.9404E-03
3.2000E+00,-6.2401E-01,-6.1286E-01,1.1153E-02
3.3000E+00,-6.1833E-01,-6.1600E-01,2.3321E-03
3.4000E+00,-6.2229E-01,-6.0799E-01,1.4297E-02
3.5000E+00,-6.1803E-01,-6.1255E-01,5.4753E-03
3.6000E+00,-6.2219E-01,-6.1347E-01,8.7199E-03
3.7000E+00,-6.1691E-01,-6.0688E-01,1.0038E-02
3.8000E+00,-6.1884E-01,-6.1032E-01,8.5172E-03
3.9000E+00,-6.2411E-01,-6.1772E-01,6.3879E-03
4.0000E+00,-6.2290E-01,-6.1418E-01,8.7199E-03
4.1000E+00,-6.2026E-01,-6.0779E-01,1.2472E-02
4.2000E+00,-6.0201E-01,-5.8568E-01,1.6325E-02
4.3000E+00,-5.9420E-01,-5.8447E-01,9.7339E-03
4.4000E+00,-5.9765E-01,-5.8862E-01,9.0241E-03
4.5000E+00,-6.0160E-01,-5.9471E-01,6.8948E-03
4.6000E+00,-6.0840E-01,-6.0089E-01,7.5032E-03
4.7000E+00,-6.1610E-01,-6.0464E-01,1.1458E-02
4.8000E+00,-6.1833E-01,-6.0759E-01,1.0748E-02
4.9000E+00,-6.2077E-01,-6.0515E-01,1.5615E-02
5.0000E+00,-6.2107E-01,-6.0546E-01,1.5615E-02
5.1000E+00,-6.1671E-01,-5.9805E-01,1.8657E-02
5.2000E+00,-6.1012E-01,-5.9207E-01,1.8048E-02
5.3000E+00,-6.0860E-01,-5.9258E-01,1.6020E-02
5.4000E+00,-6.0982E-01,-5.8964E-01,2.0178E-02
5.5000E+00,-6.0911E-01,-5.9390E-01,1.5209E-02
5.6000E+00,-6.1002E-01,-5.8933E-01,2.0685E-02
5.7000E+00,-6.1073E-01,-5.9217E-01,1.8555E-02
5.8000E+00,-6.0799E-01,-5.9298E-01,1.5006E-02
5.9000E+00,-6.1042E-01,-5.8102E-01,2.9404E-02
6.0000E+00,-5.9704E-01,-5.8213E-01,1.4905E-02
6.1000E+00,-6.0454E-01,-5.8994E-01,1.4601E-02
6.2000E+00,-6.1549E-01,-6.0099E-01,1.4499E-02
6.3000E+00,-6.2269E-01,-6.0434E-01,1.8352E-02
6.4000E+00,-6.2604E-01,-6.0292E-01,2.3118E-02
6.5000E+00,-6.2127E-01,-6.0170E-01,1.9569E-02
6.6000E+00,-6.2584E-01,-6.0120E-01,2.4639E-02
6.7000E+00,-6.2502E-01,-6.0941E-01,1.5615E-02
6.8000E+00,-6.3233E-01,-6.1265E-01,1.9671E-02
6.9000E+00,-6.3587E-01,-6.0688E-01,2.8999E-02
7.0000E+00,-6.2837E-01,-6.0738E-01,2.0989E-02
7.1000E+00,-6.3476E-01,-6.1752E-01,1.7237E-02
7.2000E+00,-6.4186E-01,-6.1996E-01,2.1901E-02
7.3000E+00,-6.4378E-01,-6.2340E-01,2.0380E-02
7.4000E+00,-6.5037E-01,-6.2766E-01,2.2712E-02
7.5000E+00,-6.4246E-01,-6.1063E-01,3.1838E-02
7.6000E+00,-6.3151E-01,-6.1083E-01,2.0685E-02
7.7000E+00,-6.4226E-01,-6.2695E-01,1.5311E-02
7.8000E+00,-6.5372E-01,-6.3557E-01,1.8150E-02
7.9000E+00,-6.5656E-01,-6.2705E-01,2.9506E-02
8.0000E+00,-6.4916E-01,-6.3750E-01,1.1660E-02
8.1000E+00,-6.5788E-01,-6.4044E-01,1.7440E-02
8.2000E+00,-6.5778E-01,-6.4176E-01,1.6020E-02
8.3000E+00,-6.6051E-01,-6.4003E-01,2.0482E-02
8.4000E+00,-6.6203E-01,-6.4246E-01,1.9569E-02
8.5000E+00,-6.6061E-01,-6.3993E-01,2.0685E-02
8.6000E+00,-6.6437E-01,-6.3912E-01,2.5247E-02
8.7000E+00,-6.6031E-01,-6.3810E-01,2.2205E-02
8.8000E+00,-6.5595E-01,-6.3689E-01,1.9062E-02
8.9000E+00,-6.6122E-01,-6.4206E-01,1.9164E-02
9.0000E+00,-6.6214E-01,-6.4044E-01,2.1698E-02
9.1000E+00,-6.6072E-01,-6.3942E-01,2.1293E-02
9.2000E+00,-6.5960E-01,-6.3963E-01,1.9975E-02
9.3000E+00,-6.6497E-01,-6.4622E-01,1.8758E-02
9.4000E+00,-6.6579E-01,-6.4682E-01,1.8961E-02
9.5000E+00,-6.5990E-01,-6.4084E-01,1.9062E-02
9.6000E+00,-6.6173E-01,-6.4956E-01,1.2167E-02
9.7000E+00,-6.6143E-01,-6.4287E-01,1.8555E-02
9.8000E+00,-6.5767E-01,-6.4693E-01,1.0748E-02
9.9000E+00,-6.5859E-01,-6.4723E-01,1.1356E-02
