x_length,laser_off,laser_on,dV
0.0000E+00,-7.0766E-01,-7.0685E-01,8.1116E-04
1.0000E-01,-7.0026E-01,-7.0219E-01,-1.9265E-03
2.0000E-01,-6.9813E-01,-6.9124E-01,6.8948E-03
3.0000E-01,-6.9286E-01,-6.9458E-01,-1.7237E-03
4.0000E-01,-7.0158E-01,-7.0249E-01,-9.1255E-04
5.0000E-01,-7.0208E-01,-6.9732E-01,4.7656E-03
6.0000E-01,-7.0097E-01,-7.0259E-01,-1.6223E-03
7.0000E-01,-7.0097E-01,-7.0432E-01,-3.3460E-03
8.0000E-01,-7.0229E-01,-7.0685E-01,-4.5628E-03
9.0000E-01,-7.1395E-01,-7.1202E-01,1.9265E-03
1.0000E+00,-7.1496E-01,-7.2034E-01,-5.3739E-03
1.1000E+00,-7.2074E-01,-7.2226E-01,-1.5209E-03
1.2000E+00,-7.1669E-01,-7.2257E-01,-5.8809E-03
1.3000E+00,-7.1750E-01,-7.0969E-01,7.8074E-03
1.4000E+00,-7.1141E-01,-7.0969E-01,1.7237E-03
1.5000E+00,-7.1141E-01,-7.1030E-01,1.1153E-03
1.6000E+00,-7.0614E-01,-7.0898E-01,-2.8391E-03
1.7000E+00,-7.0989E-01,-7.1030E-01,-4.0558E-04
1.8000E+00,-7.0959E-01,-7.0442E-01,5.1711E-03
1.9000E+00,-7.0786E-01,-7.0452E-01,3.3460E-03
2.0000E+00,-7.0188E-01,-7.0655E-01,-4.6642E-03
2.1000E+00,-7.0411E-01,-7.0320E-01,9.1255E-04
2.2000E+00,-7.0249E-01,-7.0026E-01,2.2307E-03
2.3000E+00,-7.0208E-01,-6.9833E-01,3.7516E-03
2.4000E+00,-7.0989E-01,-7.1222E-01,-2.3321E-03
2.5000E+00,-7.0878E-01,-7.0492E-01,3.8530E-03
2.6000E+00,-7.1222E-01,-7.1222E-01,3.3307E-16
2.7000E+00,-7.1020E-01,-7.0766E-01,2.5349E-03
2.8000E+00,-7.0776E-01,-7.0330E-01,4.4614E-03
2.9000E+00,-7.0715E-01,-6.9752E-01,9.6325E-03
3.0000E+00,-7.0523E-01,-7.0969E-01,-4.4614E-03
3.1000E+00,-7.0928E-01,-7.0949E-01,-2.0279E-04
3.2000E+00,-7.0279E-01,-7.0908E-01,-6.2865E-03
3.3000E+00,-7.0361E-01,-7.0127E-01,2.3321E-03
3.4000E+00,-6.9843E-01,-6.9762E-01,8.1116E-04
3.5000E+00,-7.0340E-01,-7.0087E-01,2.5349E-03
3.6000E+00,-6.9681E-01,-6.9914E-01,-2.3321E-03
3.7000E+00,-6.9438E-01,-7.0442E-01,-1.0038E-02
3.8000E+00,-6.9772E-01,-6.9468E-01,3.0418E-03
3.9000E+00,-6.9681E-01,-7.0310E-01,-6.2865E-03
4.0000E+00,-6.9276E-01,-6.9904E-01,-6.2865E-03
