x_length,laser_off,laser_on,dV
0.0000E+00,-4.5691E-01,-4.6137E-01,-4.4614E-03
1.0000E-01,-4.6462E-01,-4.6938E-01,-4.7656E-03
2.0000E-01,-4.6695E-01,-4.6371E-01,3.2446E-03
3.0000E-01,-4.6523E-01,-4.7253E-01,-7.3004E-03
4.0000E-01,-4.7577E-01,-4.7760E-01,-1.8251E-03
5.0000E-01,-4.7050E-01,-4.7182E-01,-1.3181E-03
6.0000E-01,-4.8145E-01,-4.8591E-01,-4.4614E-03
7.0000E-01,-4.8764E-01,-4.8987E-01,-2.2307E-03
8.0000E-01,-4.9453E-01,-5.0082E-01,-6.2865E-03
9.0000E-01,-4.9930E-01,-4.9879E-01,5.0697E-04
1.0000E+00,-5.0163E-01,-5.0021E-01,1.4195E-03
1.1000E+00,-5.0376E-01,-4.9352E-01,1.0241E-02
1.2000E+00,-5.0416E-01,-5.0619E-01,-2.0279E-03
1.3000E+00,-5.0680E-01,-4.9980E-01,6.9962E-03
1.4000E+00,-5.0203E-01,-5.0193E-01,1.0139E-04
1.5000E+00,-4.9960E-01,-4.9585E-01,3.7516E-03
1.6000E+00,-4.9494E-01,-4.9798E-01,-3.0418E-03
1.7000E+00,-4.9524E-01,-5.0244E-01,-7.1990E-03
1.8000E+00,-4.9869E-01,-4.9595E-01,2.7377E-03
1.9000E+00,-4.9930E-01,-5.0041E-01,-1.1153E-03
2.0000E+00,-5.0132E-01,-5.0731E-01,-5.9823E-03
2.1000E+00,-5.0355E-01,-4.9980E-01,3.7516E-03
2.2000E+00,-5.0771E-01,-5.0690E-01,8.1116E-04
2.3000E+00,-5.0629E-01,-5.0609E-01,2.0279E-04
2.4000E+00,-5.1065E-01,-5.0649E-01,4.1572E-03
2.5000E+00,-5.1491E-01,-5.0984E-01,5.0697E-03
2.6000E+00,-5.1420E-01,-5.1542E-01,-1.2167E-03
2.7000E+00,-5.1379E-01,-5.1238E-01,1.4195E-03
2.8000E+00,-5.1501E-01,-5.1978E-01,-4.7656E-03
2.9000E+00,-5.0984E-01,-5.1410E-01,-4.2586E-03
3.0000E+00,-5.1369E-01,-5.1501E-01,-1.3181E-03
3.1000E+00,-5.1329E-01,-5.1998E-01,-6.6921E-03
3.2000E+00,-5.0943E-01,-5.1390E-01,-4.4614E-03
3.3000E+00,-5.1096E-01,-5.1866E-01,-7.7060E-03
3.4000E+00,-5.1268E-01,-5.2677E-01,-1.4094E-02
3.5000E+00,-5.1572E-01,-5.2525E-01,-9.5311E-03
3.6000E+00,-5.1491E-01,-5.2667E-01,-1.1762E-02
3.7000E+00,-5.1826E-01,-5.3042E-01,-1.2167E-02
3.8000E+00,-5.2039E-01,-5.3489E-01,-1.4499E-02
3.9000E+00,-5.1156E-01,-5.3478E-01,-2.3219E-02
4.0000E+00,-5.1917E-01,-5.3752E-01,-1.8352E-02
4.1000E+00,-5.1815E-01,-5.4665E-01,-2.8492E-02
4.2000E+00,-5.1592E-01,-5.5080E-01,-3.4880E-02
