x_length,laser_off,laser_on,dV
0.0000E+00,-1.2373E-01,-1.2353E-01,2.0279E-04
1.0000E-01,-1.3002E-01,-1.3113E-01,-1.1153E-03
2.0000E-01,-1.3265E-01,-1.3204E-01,6.0837E-04
3.0000E-01,-1.3498E-01,-1.3478E-01,2.0279E-04
4.0000E-01,-1.3377E-01,-1.3336E-01,4.0558E-04
5.0000E-01,-1.3052E-01,-1.2910E-01,1.4195E-03
6.0000E-01,-1.1744E-01,-1.1582E-01,1.6223E-03
7.0000E-01,-1.0801E-01,-1.0740E-01,6.0837E-04
8.0000E-01,-1.0964E-01,-1.1024E-01,-6.0837E-04
9.0000E-01,-1.1278E-01,-1.1450E-01,-1.7237E-03
1.0000E+00,-1.1805E-01,-1.1866E-01,-6.0837E-04
1.1000E+00,-1.3042E-01,-1.3062E-01,-2.0279E-04
1.2000E+00,-1.3296E-01,-1.3519E-01,-2.2307E-03
1.3000E+00,-1.3711E-01,-1.3661E-01,5.0697E-04
1.4000E+00,-1.3711E-01,-1.3843E-01,-1.3181E-03
1.5000E+00,-1.4117E-01,-1.4279E-01,-1.6223E-03
1.6000E+00,-1.4421E-01,-1.4259E-01,1.6223E-03
1.7000E+00,-1.4208E-01,-1.4087E-01,1.2167E-03
1.8000E+00,-1.4320E-01,-1.4472E-01,-1.5209E-03
1.9000E+00,-1.4320E-01,-1.4320E-01,0.0000E+00
2.0000E+00,-1.4360E-01,-1.4320E-01,4.0558E-04
2.1000E+00,-1.4076E-01,-1.4228E-01,-1.5209E-03
2.2000E+00,-1.4817E-01,-1.4269E-01,5.4753E-03
2.3000E+00,-1.5161E-01,-1.5293E-01,-1.3181E-03
2.4000E+00,-1.5739E-01,-1.6023E-01,-2.8391E-03
2.5000E+00,-1.6327E-01,-1.6429E-01,-1.0139E-03
2.6000E+00,-1.6581E-01,-1.6540E-01,4.0558E-04
2.7000E+00,-1.6895E-01,-1.7199E-01,-3.0418E-03
2.8000E+00,-1.7392E-01,-1.7321E-01,7.0976E-04
2.9000E+00,-1.7615E-01,-1.7493E-01,1.2167E-03
3.0000E+00,-1.7899E-01,-1.7818E-01,8.1116E-04
3.1000E+00,-1.8102E-01,-1.8325E-01,-2.2307E-03
3.2000E+00,-1.8355E-01,-1.8223E-01,1.3181E-03
3.3000E+00,-1.8284E-01,-1.8152E-01,1.3181E-03
3.4000E+00,-1.8173E-01,-1.8335E-01,-1.6223E-03
3.5000E+00,-1.8081E-01,-1.8071E-01,1.0139E-04
3.6000E+00,-1.8081E-01,-1.8203E-01,-1.2167E-03
3.7000E+00,-1.7828E-01,-1.7737E-01,9.1255E-04
3.8000E+00,-1.7524E-01,-1.7676E-01,-1.5209E-03
3.9000E+00,-1.7280E-01,-1.7118E-01,1.6223E-03
4.0000E+00,-1.7068E-01,-1.7027E-01,4.0558E-04
4.1000E+00,-1.7138E-01,-1.7331E-01,-1.9265E-03
4.2000E+00,-1.7716E-01,-1.7970E-01,-2.5349E-03
4.3000E+00,-1.7909E-01,-1.8102E-01,-1.9265E-03
4.4000E+00,-1.8163E-01,-1.8244E-01,-8.1116E-04
4.5000E+00,-1.7940E-01,-1.7990E-01,-5.0697E-04
4.6000E+00,-1.7585E-01,-1.7686E-01,-1.0139E-03
4.7000E+00,-1.6956E-01,-1.7078E-01,-1.2167E-03
4.8000E+00,-1.6966E-01,-1.6976E-01,-1.0139E-04
4.9000E+00,-1.6439E-01,-1.6317E-01,1.2167E-03
5.0000E+00,-1.6571E-01,-1.6490E-01,8.1116E-04
5.1000E+00,-1.6611E-01,-1.6723E-01,-1.1153E-03
5.2000E+00,-1.7007E-01,-1.7169E-01,-1.6223E-03
5.3000E+00,-1.7321E-01,-1.7483E-01,-1.6223E-03
5.4000E+00,-1.7960E-01,-1.7869E-01,9.1255E-04
5.5000E+00,-1.8010E-01,-1.8213E-01,-2.0279E-03
5.6000E+00,-1.8264E-01,-1.8173E-01,9.1255E-04
5.7000E+00,-1.8041E-01,-1.7889E-01,1.5209E-03
5.8000E+00,-1.8193E-01,-1.8213E-01,-2.0279E-04
5.9000E+00,-1.7879E-01,-1.7929E-01,-5.0697E-04
6.0000E+00,-1.7656E-01,-1.7625E-01,3.0418E-04
6.1000E+00,-1.7564E-01,-1.7189E-01,3.7516E-03
6.2000E+00,-1.7108E-01,-1.6946E-01,1.6223E-03
6.3000E+00,-1.6469E-01,-1.6277E-01,1.9265E-03
6.4000E+00,-1.6145E-01,-1.6216E-01,-7.0976E-04
6.5000E+00,-1.5709E-01,-1.5567E-01,1.4195E-03
6.6000E+00,-1.4786E-01,-1.4786E-01,2.7756E-17
6.7000E+00,-1.4401E-01,-1.4320E-01,8.1116E-04
6.8000E+00,-1.4259E-01,-1.4208E-01,5.0697E-04
6.9000E+00,-1.4208E-01,-1.4056E-01,1.5209E-03
7.0000E+00,-1.4026E-01,-1.4299E-01,-2.7377E-03
