x_length,laser_off,laser_on,dV
0.0000E+00,-6.8165E-02,-6.8165E-02,0.0000E+00
1.0000E-01,-7.1308E-02,-7.1815E-02,-5.0697E-04
2.0000E-01,-7.2626E-02,-7.1410E-02,1.2167E-03
3.0000E-01,-7.3133E-02,-7.0396E-02,2.7377E-03
4.0000E-01,-7.2626E-02,-7.1714E-02,9.1255E-04
5.0000E-01,-6.9179E-02,-6.7354E-02,1.8251E-03
6.0000E-01,-6.4413E-02,-6.0256E-02,4.1572E-03
7.0000E-01,-6.2284E-02,-6.2588E-02,-3.0418E-04
8.0000E-01,-6.4515E-02,-6.4413E-02,1.0139E-04
9.0000E-01,-7.3742E-02,-7.4249E-02,-5.0697E-04
1.0000E+00,-9.2500E-02,-9.3514E-02,-1.0139E-03
1.1000E+00,-1.0832E-01,-1.1379E-01,-5.4753E-03
1.2000E+00,-1.2525E-01,-1.2789E-01,-2.6363E-03
1.3000E+00,-1.2779E-01,-1.2799E-01,-2.0279E-04
1.4000E+00,-1.1815E-01,-1.2038E-01,-2.2307E-03
1.5000E+00,-1.0781E-01,-1.0528E-01,2.5349E-03
1.6000E+00,-9.5846E-02,-9.2196E-02,3.6502E-03
1.7000E+00,-7.5871E-02,-7.5465E-02,4.0558E-04
1.8000E+00,-6.0966E-02,-5.8735E-02,2.2307E-03
1.9000E+00,-4.4337E-02,-4.2005E-02,2.3321E-03
2.0000E+00,-3.4198E-02,-3.1967E-02,2.2307E-03
2.1000E+00,-2.2233E-02,-2.1219E-02,1.0139E-03
2.2000E+00,-1.2296E-02,-1.1992E-02,3.0418E-04
2.3000E+00,-8.2407E-03,-8.1393E-03,1.0139E-04
2.4000E+00,-3.6779E-03,-5.7058E-03,-2.0279E-03
2.5000E+00,-1.4472E-03,-2.8667E-03,-1.4195E-03
2.6000E+00,-2.1570E-03,7.8347E-04,2.9404E-03
2.7000E+00,7.3708E-05,-1.3458E-03,-1.4195E-03
2.8000E+00,-3.7793E-03,-2.5626E-03,1.2167E-03
2.9000E+00,-2.9681E-03,-1.5486E-03,1.4195E-03
3.0000E+00,-1.7514E-03,2.7650E-04,2.0279E-03
3.1000E+00,-1.5486E-03,7.3708E-05,1.6223E-03
3.2000E+00,7.8347E-04,1.7510E-04,-6.0837E-04
3.3000E+00,3.4197E-03,3.7239E-03,3.0418E-04
3.4000E+00,3.7239E-03,6.0560E-03,2.3321E-03
3.5000E+00,7.1713E-03,6.6644E-03,-5.0697E-04
3.6000E+00,8.5909E-03,7.8811E-03,-7.0976E-04
3.7000E+00,9.0978E-03,8.7937E-03,-3.0418E-04
3.8000E+00,1.1531E-02,1.0010E-02,-1.5209E-03
3.9000E+00,1.0315E-02,1.0619E-02,3.0418E-04
4.0000E+00,9.9090E-03,1.0517E-02,6.0837E-04
4.1000E+00,8.4895E-03,1.1227E-02,2.7377E-03
4.2000E+00,6.2588E-03,7.3741E-03,1.1153E-03
4.3000E+00,2.6086E-03,6.0560E-03,3.4474E-03
4.4000E+00,3.3183E-03,4.4337E-03,1.1153E-03
4.5000E+00,-1.7514E-03,-4.1849E-03,-2.4335E-03
4.6000E+00,-3.8807E-03,-3.4751E-03,4.0558E-04
4.7000E+00,-5.3466E-04,-9.4024E-04,-4.0558E-04
4.8000E+00,2.8114E-03,2.7100E-03,-1.0139E-04
4.9000E+00,6.4616E-03,7.7797E-03,1.3181E-03
5.0000E+00,1.0010E-02,1.1937E-02,1.9265E-03
5.1000E+00,1.4269E-02,1.3356E-02,-9.1255E-04
5.2000E+00,1.4573E-02,1.5384E-02,8.1116E-04
5.3000E+00,1.4472E-02,1.4168E-02,-3.0418E-04
5.4000E+00,1.5689E-02,1.5587E-02,-1.0139E-04
5.5000E+00,1.7209E-02,1.6500E-02,-7.0976E-04
5.6000E+00,2.1265E-02,2.1569E-02,3.0418E-04
5.7000E+00,2.4206E-02,2.1874E-02,-2.3321E-03
5.8000E+00,2.2076E-02,2.6538E-02,4.4614E-03
5.9000E+00,2.2989E-02,2.3395E-02,4.0558E-04
6.0000E+00,2.2482E-02,2.3699E-02,1.2167E-03
6.1000E+00,2.4713E-02,2.3597E-02,-1.1153E-03
6.2000E+00,2.2482E-02,2.2888E-02,4.0558E-04
6.3000E+00,2.4104E-02,2.3901E-02,-2.0279E-04
6.4000E+00,2.4003E-02,2.2786E-02,-1.2167E-03
6.5000E+00,2.0758E-02,2.2888E-02,2.1293E-03
6.6000E+00,2.0150E-02,1.8629E-02,-1.5209E-03
6.7000E+00,1.6601E-02,1.4573E-02,-2.0279E-03
6.8000E+00,1.5080E-02,1.4573E-02,-5.0697E-04
6.9000E+00,1.9035E-02,1.8832E-02,-2.0279E-04
7.0000E+00,2.2685E-02,2.3597E-02,9.1255E-04
7.1000E+00,2.6943E-02,2.7349E-02,4.0558E-04
7.2000E+00,3.0087E-02,3.2520E-02,2.4335E-03
7.3000E+00,3.5055E-02,3.4345E-02,-7.0976E-04
7.4000E+00,3.6677E-02,3.6677E-02,-6.9389E-18
7.5000E+00,4.2153E-02,4.1240E-02,-9.1255E-04
7.6000E+00,4.4180E-02,4.3673E-02,-5.0697E-04
7.7000E+00,4.5093E-02,4.5803E-02,7.0976E-04
7.8000E+00,4.3876E-02,4.4180E-02,3.0418E-04
7.9000E+00,4.2457E-02,4.0530E-02,-1.9265E-03
8.0000E+00,3.6474E-02,3.7286E-02,8.1116E-04
8.1000E+00,3.6880E-02,3.6779E-02,-1.0139E-04
8.2000E+00,3.5765E-02,3.4852E-02,-9.1255E-04
8.3000E+00,3.5258E-02,3.3737E-02,-1.5209E-03
8.4000E+00,3.7590E-02,3.8807E-02,1.2167E-03
8.5000E+00,3.7083E-02,3.9111E-02,2.0279E-03
8.6000E+00,3.7793E-02,3.7590E-02,-2.0279E-04
8.7000E+00,3.5967E-02,3.7387E-02,1.4195E-03
8.8000E+00,3.4447E-02,3.3635E-02,-8.1116E-04
8.9000E+00,3.3635E-02,3.1101E-02,-2.5349E-03
9.0000E+00,3.1506E-02,3.3027E-02,1.5209E-03
9.1000E+00,3.5967E-02,3.5663E-02,-3.0418E-04
9.2000E+00,3.4244E-02,3.3635E-02,-6.0837E-04
9.3000E+00,3.6880E-02,3.5156E-02,-1.7237E-03
9.4000E+00,3.9212E-02,4.0632E-02,1.4195E-03
9.5000E+00,4.0530E-02,3.8807E-02,-1.7237E-03
9.6000E+00,4.0226E-02,4.2153E-02,1.9265E-03
9.7000E+00,4.3673E-02,4.2964E-02,-7.0976E-04
9.8000E+00,4.5904E-02,4.0733E-02,-5.1711E-03
9.9000E+00,4.4282E-02,4.5904E-02,1.6223E-03
