x_length,laser_off,laser_on,dV
0.0000E+00,-1.5445E-01,-1.5405E-01,4.0558E-04
1.0000E-01,-1.6388E-01,-1.5861E-01,5.2725E-03
2.0000E-01,-1.6327E-01,-1.6287E-01,4.0558E-04
3.0000E-01,-1.6682E-01,-1.6915E-01,-2.3321E-03
4.0000E-01,-1.6885E-01,-1.7057E-01,-1.7237E-03
5.0000E-01,-1.7230E-01,-1.7047E-01,1.8251E-03
6.0000E-01,-1.7078E-01,-1.7280E-01,-2.0279E-03
7.0000E-01,-1.6905E-01,-1.7199E-01,-2.9404E-03
8.0000E-01,-1.7605E-01,-1.7027E-01,5.7795E-03
9.0000E-01,-1.7605E-01,-1.7189E-01,4.1572E-03
1.0000E+00,-1.7493E-01,-1.7118E-01,3.7516E-03
1.1000E+00,-1.7250E-01,-1.7260E-01,-1.0139E-04
1.2000E+00,-1.5668E-01,-1.5841E-01,-1.7237E-03
1.3000E+00,-1.5202E-01,-1.5253E-01,-5.0697E-04
1.4000E+00,-1.4847E-01,-1.4766E-01,8.1116E-04
1.5000E+00,-1.4381E-01,-1.4462E-01,-8.1116E-04
1.6000E+00,-1.4583E-01,-1.4614E-01,-3.0418E-04
1.7000E+00,-1.5770E-01,-1.6084E-01,-3.1432E-03
1.8000E+00,-1.6915E-01,-1.7382E-01,-4.6642E-03
1.9000E+00,-1.8325E-01,-1.7858E-01,4.6642E-03
2.0000E+00,-1.8345E-01,-1.8680E-01,-3.3460E-03
2.1000E+00,-1.9237E-01,-1.9542E-01,-3.0418E-03
2.2000E+00,-1.9754E-01,-1.9329E-01,4.2586E-03
2.3000E+00,-1.8842E-01,-1.8882E-01,-4.0558E-04
2.4000E+00,-1.8913E-01,-1.8497E-01,4.1572E-03
2.5000E+00,-1.8355E-01,-1.8730E-01,-3.7516E-03
2.6000E+00,-1.8882E-01,-1.9724E-01,-8.4158E-03
2.7000E+00,-2.1823E-01,-2.1448E-01,3.7516E-03
2.8000E+00,-2.3912E-01,-2.4135E-01,-2.2307E-03
2.9000E+00,-2.6264E-01,-2.6517E-01,-2.5349E-03
3.0000E+00,-2.9438E-01,-3.0066E-01,-6.2865E-03
3.1000E+00,-3.5055E-01,-3.5420E-01,-3.6502E-03
3.2000E+00,-3.9476E-01,-3.9121E-01,3.5488E-03
3.3000E+00,-4.2903E-01,-4.2619E-01,2.8391E-03
3.4000E+00,-4.6847E-01,-4.5924E-01,9.2269E-03
3.5000E+00,-4.9372E-01,-4.8855E-01,5.1711E-03
3.6000E+00,-5.2059E-01,-5.1359E-01,6.9962E-03
3.7000E+00,-5.3205E-01,-5.1917E-01,1.2877E-02
3.8000E+00,-5.3428E-01,-5.2079E-01,1.3486E-02
3.9000E+00,-5.3418E-01,-5.1917E-01,1.5006E-02
4.0000E+00,-5.3316E-01,-5.1734E-01,1.5818E-02
4.1000E+00,-5.3377E-01,-5.1410E-01,1.9671E-02
4.2000E+00,-5.3823E-01,-5.1045E-01,2.7782E-02
4.3000E+00,-5.3570E-01,-5.0822E-01,2.7478E-02
4.4000E+00,-5.4249E-01,-5.1085E-01,3.1635E-02
4.5000E+00,-5.4259E-01,-5.0447E-01,3.8124E-02
4.6000E+00,-5.4148E-01,-5.0284E-01,3.8631E-02
4.7000E+00,-5.4624E-01,-5.0021E-01,4.6033E-02
4.8000E+00,-6.6822E-01,-6.2117E-01,4.7047E-02
4.9000E+00,-6.7501E-01,-6.2229E-01,5.2725E-02
5.0000E+00,-6.7745E-01,-6.1843E-01,5.9012E-02
5.1000E+00,-6.6923E-01,-6.1367E-01,5.5564E-02
5.2000E+00,-6.7319E-01,-6.0890E-01,6.4284E-02
5.3000E+00,-6.7106E-01,-6.0961E-01,6.1445E-02
5.4000E+00,-6.8201E-01,-6.0870E-01,7.3308E-02
5.5000E+00,-6.8901E-01,-6.1600E-01,7.3004E-02
5.6000E+00,-6.9468E-01,-6.1600E-01,7.8682E-02
5.7000E+00,-6.8971E-01,-6.1286E-01,7.6857E-02
5.8000E+00,-6.8647E-01,-6.0170E-01,8.4766E-02
5.9000E+00,-6.6913E-01,-5.8345E-01,8.5679E-02
6.0000E+00,-6.4348E-01,-5.7818E-01,6.5298E-02
6.1000E+00,-6.1925E-01,-5.5344E-01,6.5805E-02
6.2000E+00,-5.8720E-01,-5.3600E-01,5.1204E-02
6.3000E+00,-5.6510E-01,-5.1957E-01,4.5526E-02
6.4000E+00,-5.4066E-01,-5.0761E-01,3.3055E-02
6.5000E+00,-5.2606E-01,-4.9696E-01,2.9100E-02
6.6000E+00,-5.1876E-01,-4.9179E-01,2.6971E-02
6.7000E+00,-5.0710E-01,-4.9027E-01,1.6832E-02
6.8000E+00,-5.1562E-01,-4.9838E-01,1.7237E-02
6.9000E+00,-5.3407E-01,-5.1288E-01,2.1192E-02
7.0000E+00,-5.4695E-01,-5.3194E-01,1.5006E-02
7.1000E+00,-5.5648E-01,-5.4371E-01,1.2776E-02
7.2000E+00,-5.5983E-01,-5.5009E-01,9.7339E-03
7.3000E+00,-5.5608E-01,-5.5020E-01,5.8809E-03
7.4000E+00,-5.5182E-01,-5.4066E-01,1.1153E-02
7.5000E+00,-5.3519E-01,-5.2880E-01,6.3879E-03
7.6000E+00,-5.1704E-01,-5.0974E-01,7.3004E-03
7.7000E+00,-5.1603E-01,-5.1167E-01,4.3600E-03
7.8000E+00,-5.0376E-01,-5.0943E-01,-5.6781E-03
7.9000E+00,-4.9899E-01,-4.9889E-01,1.0139E-04
8.0000E+00,-5.0001E-01,-4.9676E-01,3.2446E-03
8.1000E+00,-4.9088E-01,-4.9402E-01,-3.1432E-03
8.2000E+00,-4.8297E-01,-4.7810E-01,4.8669E-03
8.3000E+00,-4.5529E-01,-4.5407E-01,1.2167E-03
8.4000E+00,-4.2528E-01,-4.2436E-01,9.1255E-04
8.5000E+00,-3.9101E-01,-3.9496E-01,-3.9544E-03
8.6000E+00,-3.4791E-01,-3.4619E-01,1.7237E-03
8.7000E+00,-2.9782E-01,-2.9438E-01,3.4474E-03
8.8000E+00,-2.5017E-01,-2.5362E-01,-3.4474E-03
8.9000E+00,-2.2746E-01,-2.3293E-01,-5.4753E-03
9.0000E+00,-2.3242E-01,-2.2959E-01,2.8391E-03
9.1000E+00,-2.3668E-01,-2.3739E-01,-7.0976E-04
9.2000E+00,-2.6092E-01,-2.5402E-01,6.8948E-03
9.3000E+00,-2.8241E-01,-2.8282E-01,-4.0558E-04
9.4000E+00,-3.1678E-01,-3.1425E-01,2.5349E-03
9.5000E+00,-3.4872E-01,-3.5410E-01,-5.3739E-03
9.6000E+00,-3.8654E-01,-3.8239E-01,4.1572E-03
9.7000E+00,-4.1321E-01,-4.0540E-01,7.8074E-03
9.8000E+00,-4.3775E-01,-4.3308E-01,4.6642E-03
9.9000E+00,-4.5529E-01,-4.5326E-01,2.0279E-03
