x_length,laser_off,laser_on,dV
0.0000E+00,-6.9042E-01,-6.9458E-01,-4.1572E-03
1.0000E-01,-6.8688E-01,-6.9083E-01,-3.9544E-03
2.0000E-01,-6.9235E-01,-6.9093E-01,1.4195E-03
3.0000E-01,-6.8434E-01,-6.8465E-01,-3.0418E-04
4.0000E-01,-6.8525E-01,-6.8505E-01,2.0279E-04
5.0000E-01,-6.8941E-01,-6.8901E-01,4.0558E-04
6.0000E-01,-6.8231E-01,-6.8718E-01,-4.8669E-03
7.0000E-01,-6.8515E-01,-6.8596E-01,-8.1116E-04
8.0000E-01,-6.8333E-01,-6.8647E-01,-3.1432E-03
9.0000E-01,-6.8444E-01,-6.8617E-01,-1.7237E-03
1.0000E+00,-6.8961E-01,-6.8383E-01,5.7795E-03
1.1000E+00,-6.7917E-01,-6.8373E-01,-4.5628E-03
1.2000E+00,-6.8191E-01,-6.8110E-01,8.1116E-04
1.3000E+00,-6.8394E-01,-6.8282E-01,1.1153E-03
1.4000E+00,-6.8059E-01,-6.7958E-01,1.0139E-03
1.5000E+00,-6.7958E-01,-6.7836E-01,1.2167E-03
1.6000E+00,-6.7653E-01,-6.7633E-01,2.0279E-04
1.7000E+00,-6.7015E-01,-6.7613E-01,-5.9823E-03
1.8000E+00,-6.7410E-01,-6.7298E-01,1.1153E-03
1.9000E+00,-6.7207E-01,-6.7268E-01,-6.0837E-04
2.0000E+00,-6.6933E-01,-6.7238E-01,-3.0418E-03
2.1000E+00,-6.7309E-01,-6.7136E-01,1.7237E-03
2.2000E+00,-6.7613E-01,-6.8181E-01,-5.6781E-03
2.3000E+00,-6.8099E-01,-6.8140E-01,-4.0558E-04
2.4000E+00,-6.8201E-01,-6.8160E-01,4.0558E-04
2.5000E+00,-6.8617E-01,-6.8718E-01,-1.0139E-03
2.6000E+00,-6.9691E-01,-6.9042E-01,6.4893E-03
2.7000E+00,-6.9073E-01,-6.9215E-01,-1.4195E-03
2.8000E+00,-6.9651E-01,-6.9560E-01,9.1255E-04
2.9000E+00,-6.9854E-01,-7.0229E-01,-3.7516E-03
3.0000E+00,-7.0350E-01,-7.0411E-01,-6.0837E-04
3.1000E+00,-7.0736E-01,-7.1020E-01,-2.8391E-03
3.2000E+00,-7.1354E-01,-7.1131E-01,2.2307E-03
3.3000E+00,-7.1101E-01,-7.1151E-01,-5.0697E-04
3.4000E+00,-7.1435E-01,-7.1516E-01,-8.1116E-04
3.5000E+00,-7.1658E-01,-7.2094E-01,-4.3600E-03
3.6000E+00,-7.2500E-01,-7.2409E-01,9.1255E-04
3.7000E+00,-7.3250E-01,-7.2622E-01,6.2865E-03
3.8000E+00,-7.3696E-01,-7.4051E-01,-3.5488E-03
3.9000E+00,-7.4751E-01,-7.4822E-01,-7.0976E-04
4.0000E+00,-7.5319E-01,-7.5197E-01,1.2167E-03
4.1000E+00,-7.5369E-01,-7.6039E-01,-6.6921E-03
4.2000E+00,-7.6819E-01,-7.6465E-01,3.5488E-03
4.3000E+00,-7.6921E-01,-7.7306E-01,-3.8530E-03
4.4000E+00,-7.8127E-01,-7.7945E-01,1.8251E-03
4.5000E+00,-7.9293E-01,-7.9608E-01,-3.1432E-03
4.6000E+00,-8.1027E-01,-8.1078E-01,-5.0697E-04
4.7000E+00,-8.2437E-01,-8.2508E-01,-7.0976E-04
4.8000E+00,-8.3268E-01,-8.3643E-01,-3.7516E-03
4.9000E+00,-8.3633E-01,-8.3745E-01,-1.1153E-03
5.0000E+00,-8.4018E-01,-8.3410E-01,6.0837E-03
5.1000E+00,-8.3410E-01,-8.3430E-01,-2.0279E-04
5.2000E+00,-8.3096E-01,-8.3055E-01,4.0558E-04
5.3000E+00,-8.3167E-01,-8.3167E-01,-1.1102E-16
5.4000E+00,-8.3248E-01,-8.3451E-01,-2.0279E-03
5.5000E+00,-8.3481E-01,-8.3887E-01,-4.0558E-03
5.6000E+00,-8.3572E-01,-8.3339E-01,2.3321E-03
5.7000E+00,-8.3187E-01,-8.3370E-01,-1.8251E-03
5.8000E+00,-8.3532E-01,-8.2934E-01,5.9823E-03
5.9000E+00,-8.2883E-01,-8.2974E-01,-9.1255E-04
6.0000E+00,-8.2852E-01,-8.2467E-01,3.8530E-03
6.1000E+00,-8.2416E-01,-8.2244E-01,1.7237E-03
6.2000E+00,-8.2133E-01,-8.2082E-01,5.0697E-04
6.3000E+00,-8.1930E-01,-8.2092E-01,-1.6223E-03
6.4000E+00,-8.1940E-01,-8.1879E-01,6.0837E-04
6.5000E+00,-8.1838E-01,-8.1615E-01,2.2307E-03
6.6000E+00,-8.1098E-01,-8.1372E-01,-2.7377E-03
6.7000E+00,-8.0784E-01,-8.0672E-01,1.1153E-03
6.8000E+00,-8.0267E-01,-8.0216E-01,5.0697E-04
6.9000E+00,-7.9304E-01,-7.8574E-01,7.3004E-03
7.0000E+00,-7.7134E-01,-7.7124E-01,1.0139E-04
