x_length,laser_off,laser_on,dV
0.0000E+00,-3.4447E-01,-3.4518E-01,-7.0976E-04
1.0000E-01,-3.4426E-01,-3.4538E-01,-1.1153E-03
2.0000E-01,-3.4497E-01,-3.4406E-01,9.1255E-04
3.0000E-01,-3.4142E-01,-3.4092E-01,5.0697E-04
4.0000E-01,-3.3767E-01,-3.3544E-01,2.2307E-03
5.0000E-01,-3.2794E-01,-3.2986E-01,-1.9265E-03
6.0000E-01,-3.2429E-01,-3.2500E-01,-7.0976E-04
7.0000E-01,-3.1962E-01,-3.1749E-01,2.1293E-03
8.0000E-01,-3.1587E-01,-3.1303E-01,2.8391E-03
9.0000E-01,-3.1202E-01,-3.1496E-01,-2.9404E-03
1.0000E+00,-3.1638E-01,-3.1780E-01,-1.4195E-03
1.1000E+00,-3.2074E-01,-3.1983E-01,9.1255E-04
1.2000E+00,-3.2429E-01,-3.2540E-01,-1.1153E-03
1.3000E+00,-3.2956E-01,-3.2804E-01,1.5209E-03
1.4000E+00,-3.3402E-01,-3.3169E-01,2.3321E-03
1.5000E+00,-3.3281E-01,-3.3402E-01,-1.2167E-03
1.6000E+00,-3.3250E-01,-3.3301E-01,-5.0697E-04
1.7000E+00,-3.3057E-01,-3.3128E-01,-7.0976E-04
1.8000E+00,-3.2713E-01,-3.2763E-01,-5.0697E-04
1.9000E+00,-3.2439E-01,-3.2642E-01,-2.0279E-03
2.0000E+00,-3.2175E-01,-3.2054E-01,1.2167E-03
2.1000E+00,-3.1881E-01,-3.1831E-01,5.0697E-04
2.2000E+00,-3.1557E-01,-3.1719E-01,-1.6223E-03
2.3000E+00,-3.1435E-01,-3.1384E-01,5.0697E-04
2.4000E+00,-3.1030E-01,-3.1070E-01,-4.0558E-04
2.5000E+00,-3.0817E-01,-3.0665E-01,1.5209E-03
2.6000E+00,-3.0604E-01,-3.0523E-01,8.1116E-04
2.7000E+00,-3.0462E-01,-3.0553E-01,-9.1255E-04
2.8000E+00,-3.0665E-01,-3.0523E-01,1.4195E-03
2.9000E+00,-3.0705E-01,-3.0938E-01,-2.3321E-03
3.0000E+00,-3.0989E-01,-3.0999E-01,-1.0139E-04
3.1000E+00,-3.0827E-01,-3.0928E-01,-1.0139E-03
3.2000E+00,-3.0756E-01,-3.0979E-01,-2.2307E-03
3.3000E+00,-3.1040E-01,-3.0827E-01,2.1293E-03
3.4000E+00,-3.1121E-01,-3.1080E-01,4.0558E-04
3.5000E+00,-3.1222E-01,-3.1547E-01,-3.2446E-03
3.6000E+00,-3.1770E-01,-3.1820E-01,-5.0697E-04
3.7000E+00,-3.2094E-01,-3.2267E-01,-1.7237E-03
3.8000E+00,-3.2550E-01,-3.2601E-01,-5.0697E-04
3.9000E+00,-3.3210E-01,-3.3159E-01,5.0697E-04
4.0000E+00,-3.3524E-01,-3.3422E-01,1.0139E-03
4.1000E+00,-3.3585E-01,-3.3595E-01,-1.0139E-04
4.2000E+00,-3.3554E-01,-3.3382E-01,1.7237E-03
4.3000E+00,-3.3108E-01,-3.3139E-01,-3.0418E-04
4.4000E+00,-3.2946E-01,-3.2997E-01,-5.0697E-04
4.5000E+00,-3.2601E-01,-3.2449E-01,1.5209E-03
4.6000E+00,-3.2317E-01,-3.2439E-01,-1.2167E-03
4.7000E+00,-3.2540E-01,-3.2480E-01,6.0837E-04
4.8000E+00,-3.2398E-01,-3.2206E-01,1.9265E-03
4.9000E+00,-3.2196E-01,-3.2145E-01,5.0697E-04
5.0000E+00,-3.2125E-01,-3.2084E-01,4.0558E-04
5.1000E+00,-3.1881E-01,-3.2155E-01,-2.7377E-03
5.2000E+00,-3.1831E-01,-3.1820E-01,1.0139E-04
5.3000E+00,-3.1770E-01,-3.1557E-01,2.1293E-03
5.4000E+00,-3.1172E-01,-3.1293E-01,-1.2167E-03
5.5000E+00,-3.1101E-01,-3.1131E-01,-3.0418E-04
5.6000E+00,-3.0877E-01,-3.0786E-01,9.1255E-04
5.7000E+00,-3.0685E-01,-3.0573E-01,1.1153E-03
5.8000E+00,-3.0370E-01,-3.0239E-01,1.3181E-03
5.9000E+00,-3.0330E-01,-3.0401E-01,-7.0976E-04
6.0000E+00,-2.9975E-01,-3.0087E-01,-1.1153E-03
6.1000E+00,-2.9752E-01,-2.9853E-01,-1.0139E-03
6.2000E+00,-2.9569E-01,-2.9681E-01,-1.1153E-03
6.3000E+00,-2.9499E-01,-2.9509E-01,-1.0139E-04
6.4000E+00,-2.9610E-01,-2.9630E-01,-2.0279E-04
6.5000E+00,-2.9722E-01,-2.9701E-01,2.0279E-04
6.6000E+00,-2.9275E-01,-2.9417E-01,-1.4195E-03
6.7000E+00,-2.9265E-01,-2.9549E-01,-2.8391E-03
6.8000E+00,-2.9772E-01,-2.9519E-01,2.5349E-03
6.9000E+00,-2.9519E-01,-2.9448E-01,7.0976E-04
7.0000E+00,-2.9215E-01,-2.9164E-01,5.0697E-04
7.1000E+00,-2.8809E-01,-2.8728E-01,8.1116E-04
7.2000E+00,-2.8221E-01,-2.8332E-01,-1.1153E-03
7.3000E+00,-2.7582E-01,-2.7491E-01,9.1255E-04
7.4000E+00,-2.6862E-01,-2.6578E-01,2.8391E-03
7.5000E+00,-2.5940E-01,-2.6183E-01,-2.4335E-03
7.6000E+00,-2.5605E-01,-2.5686E-01,-8.1116E-04
7.7000E+00,-2.5260E-01,-2.5220E-01,4.0558E-04
7.8000E+00,-2.4926E-01,-2.4703E-01,2.2307E-03
7.9000E+00,-2.4774E-01,-2.4784E-01,-1.0139E-04
8.0000E+00,-2.4652E-01,-2.5068E-01,-4.1572E-03
8.1000E+00,-2.4905E-01,-2.4844E-01,6.0837E-04
8.2000E+00,-2.5017E-01,-2.5108E-01,-9.1255E-04
8.3000E+00,-2.5402E-01,-2.5483E-01,-8.1116E-04
8.4000E+00,-2.5514E-01,-2.5514E-01,-1.1102E-16
8.5000E+00,-2.5595E-01,-2.5504E-01,9.1255E-04
8.6000E+00,-2.5564E-01,-2.5483E-01,8.1116E-04
8.7000E+00,-2.5524E-01,-2.5443E-01,8.1116E-04
