x_length,laser_off,laser_on,dV
0.0000E+00,-4.5549E-01,-4.5580E-01,-3.0418E-04
1.0000E-01,-4.5691E-01,-4.5661E-01,3.0418E-04
2.0000E-01,-4.5610E-01,-4.5336E-01,2.7377E-03
3.0000E-01,-4.4667E-01,-4.4464E-01,2.0279E-03
4.0000E-01,-4.3978E-01,-4.3704E-01,2.7377E-03
5.0000E-01,-4.3805E-01,-4.3349E-01,4.5628E-03
6.0000E-01,-4.3714E-01,-4.3734E-01,-2.0279E-04
7.0000E-01,-4.3978E-01,-4.4109E-01,-1.3181E-03
8.0000E-01,-4.4262E-01,-4.4545E-01,-2.8391E-03
9.0000E-01,-4.4444E-01,-4.4627E-01,-1.8251E-03
1.0000E+00,-4.4525E-01,-4.4495E-01,3.0418E-04
1.1000E+00,-4.4647E-01,-4.4231E-01,4.1572E-03
1.2000E+00,-4.4292E-01,-4.4312E-01,-2.0279E-04
1.3000E+00,-4.3876E-01,-4.3623E-01,2.5349E-03
1.4000E+00,-4.3075E-01,-4.3106E-01,-3.0418E-04
1.5000E+00,-4.2497E-01,-4.2264E-01,2.3321E-03
1.6000E+00,-4.1899E-01,-4.1737E-01,1.6223E-03
1.7000E+00,-4.1179E-01,-4.1341E-01,-1.6223E-03
1.8000E+00,-4.1504E-01,-4.1321E-01,1.8251E-03
1.9000E+00,-4.1666E-01,-4.1575E-01,9.1255E-04
2.0000E+00,-4.1859E-01,-4.1960E-01,-1.0139E-03
2.1000E+00,-4.2082E-01,-4.1929E-01,1.5209E-03
2.2000E+00,-4.2254E-01,-4.2355E-01,-1.0139E-03
2.3000E+00,-4.2142E-01,-4.1960E-01,1.8251E-03
2.4000E+00,-4.1423E-01,-4.1159E-01,2.6363E-03
2.5000E+00,-4.0480E-01,-4.0530E-01,-5.0697E-04
2.6000E+00,-3.9445E-01,-3.9192E-01,2.5349E-03
2.7000E+00,-3.8178E-01,-3.8107E-01,7.0976E-04
2.8000E+00,-3.7144E-01,-3.7113E-01,3.0418E-04
2.9000E+00,-3.6403E-01,-3.6414E-01,-1.0139E-04
3.0000E+00,-3.5897E-01,-3.5765E-01,1.3181E-03
3.1000E+00,-3.5643E-01,-3.5288E-01,3.5488E-03
3.2000E+00,-3.5116E-01,-3.4923E-01,1.9265E-03
