x_length,laser_off,laser_on,dV
0.0000E+00,-3.7397E-01,-3.4619E-01,2.7782E-02
1.0000E-01,-3.7539E-01,-3.4822E-01,2.7174E-02
2.0000E-01,-3.7843E-01,-3.4710E-01,3.1331E-02
3.0000E-01,-3.8289E-01,-3.4883E-01,3.4069E-02
4.0000E-01,-3.8543E-01,-3.5207E-01,3.3359E-02
5.0000E-01,-3.8867E-01,-3.5349E-01,3.5184E-02
6.0000E-01,-3.8736E-01,-3.4943E-01,3.7922E-02
7.0000E-01,-3.8888E-01,-3.4751E-01,4.1369E-02
8.0000E-01,-3.8918E-01,-3.4436E-01,4.4816E-02
9.0000E-01,-3.8695E-01,-3.4274E-01,4.4208E-02
1.0000E+00,-3.8512E-01,-3.4021E-01,4.4918E-02
1.1000E+00,-3.8776E-01,-3.3879E-01,4.8974E-02
1.2000E+00,-3.7975E-01,-3.3321E-01,4.6540E-02
1.3000E+00,-3.8391E-01,-3.3453E-01,4.9379E-02
1.4000E+00,-3.8188E-01,-3.3331E-01,4.8568E-02
1.5000E+00,-3.8289E-01,-3.3108E-01,5.1813E-02
1.6000E+00,-3.8117E-01,-3.2986E-01,5.1306E-02
1.7000E+00,-3.7580E-01,-3.2287E-01,5.2928E-02
1.8000E+00,-3.7833E-01,-3.3078E-01,4.7554E-02
1.9000E+00,-3.7732E-01,-3.2540E-01,5.1914E-02
2.0000E+00,-3.7701E-01,-3.2327E-01,5.3739E-02
2.1000E+00,-3.7732E-01,-3.2338E-01,5.3942E-02
2.2000E+00,-3.7742E-01,-3.2256E-01,5.4855E-02
2.3000E+00,-3.7590E-01,-3.1729E-01,5.8606E-02
2.4000E+00,-3.7529E-01,-3.1760E-01,5.7694E-02
2.5000E+00,-3.7711E-01,-3.1800E-01,5.9113E-02
2.6000E+00,-3.7732E-01,-3.1689E-01,6.0431E-02
2.7000E+00,-3.7833E-01,-3.1881E-01,5.9519E-02
2.8000E+00,-3.7184E-01,-3.0969E-01,6.2155E-02
2.9000E+00,-3.7630E-01,-3.1222E-01,6.4081E-02
