x_length,laser_off,laser_on,dV
0.0000E+00,-3.1952E-01,-3.2084E-01,-1.3181E-03
1.0000E-01,-3.2155E-01,-3.2226E-01,-7.0976E-04
2.0000E-01,-3.2267E-01,-3.1932E-01,3.3460E-03
3.0000E-01,-3.2044E-01,-3.1212E-01,8.3144E-03
4.0000E-01,-3.0908E-01,-3.0553E-01,3.5488E-03
5.0000E-01,-3.0066E-01,-2.9580E-01,4.8669E-03
6.0000E-01,-2.9387E-01,-2.9661E-01,-2.7377E-03
7.0000E-01,-2.8768E-01,-2.7886E-01,8.8213E-03
8.0000E-01,-2.7613E-01,-2.7258E-01,3.5488E-03
9.0000E-01,-2.6203E-01,-2.6092E-01,1.1153E-03
1.0000E+00,-2.3902E-01,-2.3618E-01,2.8391E-03
1.1000E+00,-2.2594E-01,-2.1529E-01,1.0646E-02
1.2000E+00,-2.1509E-01,-2.1083E-01,4.2586E-03
1.3000E+00,-2.0606E-01,-2.0292E-01,3.1432E-03
1.4000E+00,-2.0616E-01,-2.0282E-01,3.3460E-03
1.5000E+00,-2.1346E-01,-2.1458E-01,-1.1153E-03
1.6000E+00,-2.2158E-01,-2.2239E-01,-8.1116E-04
1.7000E+00,-2.3050E-01,-2.3415E-01,-3.6502E-03
1.8000E+00,-2.3689E-01,-2.4175E-01,-4.8669E-03
1.9000E+00,-2.4713E-01,-2.5118E-01,-4.0558E-03
2.0000E+00,-2.5828E-01,-2.5737E-01,9.1255E-04
2.1000E+00,-2.6710E-01,-2.6528E-01,1.8251E-03
2.2000E+00,-2.7592E-01,-2.7329E-01,2.6363E-03
2.3000E+00,-2.7430E-01,-2.7724E-01,-2.9404E-03
2.4000E+00,-2.8180E-01,-2.8231E-01,-5.0697E-04
2.5000E+00,-2.8525E-01,-2.8231E-01,2.9404E-03
2.6000E+00,-2.7978E-01,-2.7298E-01,6.7934E-03
2.7000E+00,-2.7227E-01,-2.7106E-01,1.2167E-03
2.8000E+00,-2.7572E-01,-2.7339E-01,2.3321E-03
2.9000E+00,-2.7795E-01,-2.8140E-01,-3.4474E-03
3.0000E+00,-2.7886E-01,-2.7957E-01,-7.0976E-04
3.1000E+00,-2.7937E-01,-2.7775E-01,1.6223E-03
3.2000E+00,-2.7602E-01,-2.7268E-01,3.3460E-03
3.3000E+00,-2.7288E-01,-2.6548E-01,7.4018E-03
3.4000E+00,-2.6801E-01,-2.6467E-01,3.3460E-03
3.5000E+00,-2.5899E-01,-2.5422E-01,4.7656E-03
3.6000E+00,-2.5372E-01,-2.5412E-01,-4.0558E-04
3.7000E+00,-2.4936E-01,-2.4824E-01,1.1153E-03
3.8000E+00,-2.4621E-01,-2.3709E-01,9.1255E-03
3.9000E+00,-2.4571E-01,-2.5291E-01,-7.1990E-03
4.0000E+00,-2.6386E-01,-2.6386E-01,5.5511E-17
4.1000E+00,-2.7227E-01,-2.7430E-01,-2.0279E-03
4.2000E+00,-2.8596E-01,-2.8829E-01,-2.3321E-03
4.3000E+00,-2.9640E-01,-2.9488E-01,1.5209E-03
4.4000E+00,-3.0512E-01,-3.0401E-01,1.1153E-03
4.5000E+00,-3.1050E-01,-3.1506E-01,-4.5628E-03
4.6000E+00,-3.1891E-01,-3.1699E-01,1.9265E-03
4.7000E+00,-3.2327E-01,-3.3007E-01,-6.7934E-03
4.8000E+00,-3.2378E-01,-3.2175E-01,2.0279E-03
4.9000E+00,-3.1699E-01,-3.1303E-01,3.9544E-03
5.0000E+00,-3.1618E-01,-3.1435E-01,1.8251E-03
5.1000E+00,-3.1597E-01,-3.2054E-01,-4.5628E-03
5.2000E+00,-3.1861E-01,-3.1861E-01,1.1102E-16
5.3000E+00,-3.1952E-01,-3.1861E-01,9.1255E-04
5.4000E+00,-3.1902E-01,-3.2064E-01,-1.6223E-03
5.5000E+00,-3.2165E-01,-3.2074E-01,9.1255E-04
5.6000E+00,-3.2449E-01,-3.2561E-01,-1.1153E-03
5.7000E+00,-3.2621E-01,-3.2561E-01,6.0837E-04
5.8000E+00,-3.3189E-01,-3.2672E-01,5.1711E-03
5.9000E+00,-3.2135E-01,-3.2135E-01,0.0000E+00
6.0000E+00,-3.2277E-01,-3.2135E-01,1.4195E-03
6.1000E+00,-3.1253E-01,-3.1121E-01,1.3181E-03
6.2000E+00,-3.0705E-01,-3.0370E-01,3.3460E-03
6.3000E+00,-3.0421E-01,-3.0279E-01,1.4195E-03
6.4000E+00,-3.0715E-01,-3.0877E-01,-1.6223E-03
6.5000E+00,-3.1648E-01,-3.1891E-01,-2.4335E-03
6.6000E+00,-3.3007E-01,-3.2956E-01,5.0697E-04
6.7000E+00,-3.3595E-01,-3.3564E-01,3.0418E-04
6.8000E+00,-3.4406E-01,-3.4213E-01,1.9265E-03
6.9000E+00,-3.4548E-01,-3.4629E-01,-8.1116E-04
7.0000E+00,-3.5197E-01,-3.5430E-01,-2.3321E-03
7.1000E+00,-3.6028E-01,-3.6201E-01,-1.7237E-03
7.2000E+00,-3.6545E-01,-3.6667E-01,-1.2167E-03
7.3000E+00,-3.7722E-01,-3.7762E-01,-4.0558E-04
7.4000E+00,-3.8188E-01,-3.8594E-01,-4.0558E-03
7.5000E+00,-3.8239E-01,-3.8198E-01,4.0558E-04
7.6000E+00,-3.9141E-01,-3.8959E-01,1.8251E-03
7.7000E+00,-3.9212E-01,-3.9303E-01,-9.1255E-04
7.8000E+00,-3.8888E-01,-3.8796E-01,9.1255E-04
7.9000E+00,-3.9253E-01,-3.9608E-01,-3.5488E-03
8.0000E+00,-3.9962E-01,-3.9841E-01,1.2167E-03
8.1000E+00,-4.0033E-01,-3.9273E-01,7.6046E-03
8.2000E+00,-3.8665E-01,-3.8117E-01,5.4753E-03
8.3000E+00,-3.7884E-01,-3.7407E-01,4.7656E-03
