x_length,laser_off,laser_on,dV
0.0000E+00,-3.6677E-01,-3.6809E-01,-1.3181E-03
1.0000E-01,-3.6850E-01,-3.7022E-01,-1.7237E-03
2.0000E-01,-3.6860E-01,-3.7275E-01,-4.1572E-03
3.0000E-01,-3.7002E-01,-3.6819E-01,1.8251E-03
4.0000E-01,-3.7265E-01,-3.7194E-01,7.0976E-04
5.0000E-01,-3.7306E-01,-3.7610E-01,-3.0418E-03
6.0000E-01,-3.7651E-01,-3.7367E-01,2.8391E-03
7.0000E-01,-3.7833E-01,-3.7336E-01,4.9683E-03
8.0000E-01,-3.7397E-01,-3.7722E-01,-3.2446E-03
9.0000E-01,-3.7762E-01,-3.7620E-01,1.4195E-03
1.0000E+00,-3.7752E-01,-3.7823E-01,-7.0976E-04
1.1000E+00,-3.8158E-01,-3.7864E-01,2.9404E-03
1.2000E+00,-3.7833E-01,-3.8198E-01,-3.6502E-03
1.3000E+00,-3.8654E-01,-3.8198E-01,4.5628E-03
1.4000E+00,-3.8208E-01,-3.8259E-01,-5.0697E-04
1.5000E+00,-3.8553E-01,-3.8401E-01,1.5209E-03
1.6000E+00,-3.8563E-01,-3.8482E-01,8.1116E-04
1.7000E+00,-3.8898E-01,-3.8269E-01,6.2865E-03
1.8000E+00,-3.8178E-01,-3.8056E-01,1.2167E-03
1.9000E+00,-3.8492E-01,-3.8705E-01,-2.1293E-03
2.0000E+00,-3.8512E-01,-3.8320E-01,1.9265E-03
2.1000E+00,-3.8350E-01,-3.8786E-01,-4.3600E-03
2.2000E+00,-3.8715E-01,-3.8695E-01,2.0279E-04
2.3000E+00,-3.8837E-01,-3.8736E-01,1.0139E-03
2.4000E+00,-3.9019E-01,-3.8188E-01,8.3144E-03
2.5000E+00,-3.8137E-01,-3.8076E-01,6.0837E-04
2.6000E+00,-3.7772E-01,-3.8066E-01,-2.9404E-03
2.7000E+00,-3.7904E-01,-3.8168E-01,-2.6363E-03
2.8000E+00,-3.7904E-01,-3.8442E-01,-5.3739E-03
