x_length,laser_off,laser_on,dV
0.0000E+00,-1.8751E-01,-1.8761E-01,-1.0139E-04
1.0000E-01,-1.9369E-01,-1.9359E-01,1.0139E-04
2.0000E-01,-1.8568E-01,-1.8355E-01,2.1293E-03
3.0000E-01,-1.7230E-01,-1.7057E-01,1.7237E-03
4.0000E-01,-1.6054E-01,-1.5699E-01,3.5488E-03
5.0000E-01,-1.5638E-01,-1.5962E-01,-3.2446E-03
6.0000E-01,-1.6256E-01,-1.6185E-01,7.0976E-04
7.0000E-01,-1.6408E-01,-1.6206E-01,2.0279E-03
8.0000E-01,-1.6023E-01,-1.5993E-01,3.0418E-04
9.0000E-01,-1.5506E-01,-1.5587E-01,-8.1116E-04
1.0000E+00,-1.6064E-01,-1.5861E-01,2.0279E-03
1.1000E+00,-1.6895E-01,-1.7260E-01,-3.6502E-03
1.2000E+00,-1.8132E-01,-1.8639E-01,-5.0697E-03
1.3000E+00,-2.0069E-01,-2.0312E-01,-2.4335E-03
1.4000E+00,-2.1580E-01,-2.1691E-01,-1.1153E-03
1.5000E+00,-2.3425E-01,-2.3435E-01,-1.0139E-04
1.6000E+00,-2.4895E-01,-2.5230E-01,-3.3460E-03
1.7000E+00,-2.6376E-01,-2.6609E-01,-2.3321E-03
1.8000E+00,-2.7420E-01,-2.7369E-01,5.0697E-04
1.9000E+00,-2.8079E-01,-2.8120E-01,-4.0558E-04
2.0000E+00,-2.8525E-01,-2.8434E-01,9.1255E-04
2.1000E+00,-2.8322E-01,-2.8241E-01,8.1116E-04
2.2000E+00,-2.7846E-01,-2.7623E-01,2.2307E-03
2.3000E+00,-2.6781E-01,-2.6315E-01,4.6642E-03
2.4000E+00,-2.4936E-01,-2.4520E-01,4.1572E-03
2.5000E+00,-2.3182E-01,-2.2999E-01,1.8251E-03
2.6000E+00,-2.1559E-01,-2.1529E-01,3.0418E-04
2.7000E+00,-1.9896E-01,-1.9785E-01,1.1153E-03
