x_length,laser_off,laser_on,dV
0.0000E+00,-6.9560E-01,-6.9732E-01,-1.7237E-03
1.0000E-01,-6.8323E-01,-6.7227E-01,1.0951E-02
2.0000E-01,-6.6355E-01,-6.6639E-01,-2.8391E-03
3.0000E-01,-6.6305E-01,-6.6538E-01,-2.3321E-03
4.0000E-01,-6.6437E-01,-6.6528E-01,-9.1255E-04
5.0000E-01,-6.6183E-01,-6.6548E-01,-3.6502E-03
6.0000E-01,-6.6619E-01,-6.6599E-01,2.0279E-04
7.0000E-01,-6.6913E-01,-6.6710E-01,2.0279E-03
8.0000E-01,-6.6650E-01,-6.6873E-01,-2.2307E-03
9.0000E-01,-6.6751E-01,-6.6812E-01,-6.0837E-04
1.0000E+00,-6.6650E-01,-6.6416E-01,2.3321E-03
1.1000E+00,-6.6721E-01,-6.6741E-01,-2.0279E-04
1.2000E+00,-6.6954E-01,-6.7035E-01,-8.1116E-04
1.3000E+00,-6.6781E-01,-6.6873E-01,-9.1255E-04
1.4000E+00,-6.6791E-01,-6.6639E-01,1.5209E-03
1.5000E+00,-6.6964E-01,-6.6568E-01,3.9544E-03
1.6000E+00,-6.6802E-01,-6.6619E-01,1.8251E-03
1.7000E+00,-6.6731E-01,-6.6852E-01,-1.2167E-03
1.8000E+00,-6.6650E-01,-6.6913E-01,-2.6363E-03
1.9000E+00,-6.6822E-01,-6.7146E-01,-3.2446E-03
2.0000E+00,-6.7157E-01,-6.7136E-01,2.0279E-04
2.1000E+00,-6.7116E-01,-6.7136E-01,-2.0279E-04
2.2000E+00,-6.7167E-01,-6.7481E-01,-3.1432E-03
2.3000E+00,-6.7278E-01,-6.7329E-01,-5.0697E-04
2.4000E+00,-6.7765E-01,-6.7451E-01,3.1432E-03
2.5000E+00,-6.7836E-01,-6.7805E-01,3.0418E-04
2.6000E+00,-6.7633E-01,-6.7927E-01,-2.9404E-03
2.7000E+00,-6.8059E-01,-6.8150E-01,-9.1255E-04
2.8000E+00,-6.8160E-01,-6.8049E-01,1.1153E-03
2.9000E+00,-6.8049E-01,-6.8434E-01,-3.8530E-03
3.0000E+00,-6.8181E-01,-6.8465E-01,-2.8391E-03
3.1000E+00,-6.8566E-01,-6.8525E-01,4.0558E-04
3.2000E+00,-6.8708E-01,-6.8819E-01,-1.1153E-03
3.3000E+00,-6.8606E-01,-6.8627E-01,-2.0279E-04
3.4000E+00,-6.8779E-01,-6.8728E-01,5.0697E-04
3.5000E+00,-6.8951E-01,-6.8657E-01,2.9404E-03
3.6000E+00,-6.9083E-01,-6.8860E-01,2.2307E-03
3.7000E+00,-6.9134E-01,-6.9124E-01,1.0139E-04
3.8000E+00,-6.9144E-01,-6.9022E-01,1.2167E-03
3.9000E+00,-6.9326E-01,-6.9458E-01,-1.3181E-03
4.0000E+00,-6.9661E-01,-6.9205E-01,4.5628E-03
4.1000E+00,-6.9407E-01,-6.9590E-01,-1.8251E-03
4.2000E+00,-6.9539E-01,-6.9458E-01,8.1116E-04
4.3000E+00,-6.9093E-01,-6.9154E-01,-6.0837E-04
4.4000E+00,-6.9407E-01,-6.9549E-01,-1.4195E-03
4.5000E+00,-6.9570E-01,-6.9722E-01,-1.5209E-03
4.6000E+00,-6.9965E-01,-6.9772E-01,1.9265E-03
4.7000E+00,-6.9651E-01,-6.9813E-01,-1.6223E-03
4.8000E+00,-7.0067E-01,-6.9996E-01,7.0976E-04
4.9000E+00,-6.9722E-01,-6.9783E-01,-6.0837E-04
5.0000E+00,-6.9570E-01,-6.9925E-01,-3.5488E-03
5.1000E+00,-6.9499E-01,-6.9438E-01,6.0837E-04
5.2000E+00,-6.9397E-01,-6.9407E-01,-1.0139E-04
5.3000E+00,-6.9367E-01,-6.9529E-01,-1.6223E-03
5.4000E+00,-6.9225E-01,-6.9286E-01,-6.0837E-04
5.5000E+00,-6.9610E-01,-6.9407E-01,2.0279E-03
5.6000E+00,-6.9397E-01,-6.9387E-01,1.0139E-04
5.7000E+00,-6.9854E-01,-6.9529E-01,3.2446E-03
5.8000E+00,-6.9803E-01,-6.9499E-01,3.0418E-03
5.9000E+00,-6.9509E-01,-6.9387E-01,1.2167E-03
6.0000E+00,-6.9387E-01,-6.9073E-01,3.1432E-03
6.1000E+00,-6.9438E-01,-6.9590E-01,-1.5209E-03
6.2000E+00,-6.9407E-01,-6.9063E-01,3.4474E-03
6.3000E+00,-6.9509E-01,-6.9641E-01,-1.3181E-03
6.4000E+00,-6.9235E-01,-6.9103E-01,1.3181E-03
6.5000E+00,-6.9184E-01,-6.8982E-01,2.0279E-03
6.6000E+00,-6.8951E-01,-6.9215E-01,-2.6363E-03
6.7000E+00,-6.9053E-01,-6.8951E-01,1.0139E-03
6.8000E+00,-6.8535E-01,-6.8667E-01,-1.3181E-03
6.9000E+00,-6.8769E-01,-6.8880E-01,-1.1153E-03
7.0000E+00,-6.8688E-01,-6.8830E-01,-1.4195E-03
7.1000E+00,-6.8819E-01,-6.8596E-01,2.2307E-03
7.2000E+00,-6.8485E-01,-6.8576E-01,-9.1255E-04
7.3000E+00,-6.8718E-01,-6.8353E-01,3.6502E-03
7.4000E+00,-6.8333E-01,-6.8252E-01,8.1116E-04
7.5000E+00,-6.8282E-01,-6.8556E-01,-2.7377E-03
7.6000E+00,-6.8677E-01,-6.8566E-01,1.1153E-03
7.7000E+00,-6.8475E-01,-6.8657E-01,-1.8251E-03
7.8000E+00,-6.8617E-01,-6.8495E-01,1.2167E-03
7.9000E+00,-6.8373E-01,-6.8535E-01,-1.6223E-03
8.0000E+00,-6.8627E-01,-6.8444E-01,1.8251E-03
8.1000E+00,-6.8688E-01,-6.8769E-01,-8.1116E-04
8.2000E+00,-6.8465E-01,-6.8728E-01,-2.6363E-03
8.3000E+00,-6.8708E-01,-6.8667E-01,4.0558E-04
8.4000E+00,-6.8576E-01,-6.8525E-01,5.0697E-04
8.5000E+00,-6.8809E-01,-6.8830E-01,-2.0279E-04
8.6000E+00,-6.9164E-01,-6.8870E-01,2.9404E-03
8.7000E+00,-6.8951E-01,-6.9266E-01,-3.1432E-03
8.8000E+00,-6.8992E-01,-6.9205E-01,-2.1293E-03
8.9000E+00,-6.9377E-01,-6.9438E-01,-6.0837E-04
9.0000E+00,-6.9641E-01,-6.9499E-01,1.4195E-03
9.1000E+00,-6.9631E-01,-6.9631E-01,0.0000E+00
9.2000E+00,-6.9762E-01,-6.9195E-01,5.6781E-03
9.3000E+00,-6.9874E-01,-6.9651E-01,2.2307E-03
9.4000E+00,-6.9965E-01,-7.0127E-01,-1.6223E-03
9.5000E+00,-7.0138E-01,-6.9975E-01,1.6223E-03
9.6000E+00,-7.0077E-01,-7.0016E-01,6.0837E-04
9.7000E+00,-7.0229E-01,-6.9985E-01,2.4335E-03
9.8000E+00,-7.0411E-01,-7.0097E-01,3.1432E-03
9.9000E+00,-7.0239E-01,-7.0016E-01,2.2307E-03
