x_length,laser_off,laser_on,dV
0.0000E+00,6.7252E-01,6.7313E-01,6.0837E-04
1.0000E-01,6.7171E-01,6.6685E-01,-4.8669E-03
2.0000E-01,6.6735E-01,6.6512E-01,-2.2307E-03
3.0000E-01,6.6634E-01,6.6867E-01,2.3321E-03
4.0000E-01,6.7425E-01,6.7557E-01,1.3181E-03
5.0000E-01,6.7709E-01,6.7668E-01,-4.0558E-04
6.0000E-01,6.7283E-01,6.7516E-01,2.3321E-03
7.0000E-01,6.7192E-01,6.7607E-01,4.1572E-03
8.0000E-01,6.8520E-01,6.8185E-01,-3.3460E-03
9.0000E-01,6.7810E-01,6.8216E-01,4.0558E-03
1.0000E+00,6.8358E-01,6.8043E-01,-3.1432E-03
1.1000E+00,6.8165E-01,6.8003E-01,-1.6223E-03
1.2000E+00,6.8074E-01,6.8175E-01,1.0139E-03
1.3000E+00,6.8266E-01,6.7780E-01,-4.8669E-03
1.4000E+00,6.8510E-01,6.8145E-01,-3.6502E-03
1.5000E+00,6.8500E-01,6.8195E-01,-3.0418E-03
1.6000E+00,6.8439E-01,6.8287E-01,-1.5209E-03
1.7000E+00,6.8996E-01,6.8875E-01,-1.2167E-03
1.8000E+00,6.9169E-01,6.8571E-01,-5.9823E-03
1.9000E+00,6.8976E-01,6.8662E-01,-3.1432E-03
2.0000E+00,6.8753E-01,6.8753E-01,-1.1102E-16
2.1000E+00,6.9017E-01,6.8915E-01,-1.0139E-03
2.2000E+00,6.8439E-01,6.8702E-01,2.6363E-03
2.3000E+00,6.9057E-01,6.9057E-01,1.1102E-16
2.4000E+00,6.9250E-01,6.9088E-01,-1.6223E-03
2.5000E+00,6.9361E-01,6.8986E-01,-3.7516E-03
2.6000E+00,6.8996E-01,6.9128E-01,1.3181E-03
2.7000E+00,6.8986E-01,6.9453E-01,4.6642E-03
2.8000E+00,6.9392E-01,6.9321E-01,-7.0976E-04
2.9000E+00,6.9605E-01,6.9453E-01,-1.5209E-03
3.0000E+00,6.9047E-01,6.9250E-01,2.0279E-03
3.1000E+00,6.9372E-01,6.9463E-01,9.1255E-04
3.2000E+00,6.9808E-01,6.9574E-01,-2.3321E-03
3.3000E+00,6.9757E-01,7.0000E-01,2.4335E-03
3.4000E+00,6.9767E-01,7.0193E-01,4.2586E-03
3.5000E+00,7.0396E-01,7.0000E-01,-3.9544E-03
3.6000E+00,6.9960E-01,6.9848E-01,-1.1153E-03
3.7000E+00,7.0304E-01,7.0477E-01,1.7237E-03
3.8000E+00,7.0314E-01,7.0375E-01,6.0837E-04
3.9000E+00,7.0548E-01,7.0598E-01,5.0697E-04
4.0000E+00,7.0730E-01,7.0548E-01,-1.8251E-03
4.1000E+00,7.1065E-01,7.1207E-01,1.4195E-03
4.2000E+00,7.0943E-01,7.0781E-01,-1.6223E-03
4.3000E+00,7.0791E-01,7.0953E-01,1.6223E-03
4.4000E+00,7.1146E-01,7.1754E-01,6.0837E-03
4.5000E+00,7.1389E-01,7.1399E-01,1.0139E-04
4.6000E+00,7.1257E-01,7.1136E-01,-1.2167E-03
4.7000E+00,7.1308E-01,7.1045E-01,-2.6363E-03
4.8000E+00,7.1399E-01,7.1359E-01,-4.0558E-04
4.9000E+00,7.1197E-01,7.1166E-01,-3.0418E-04
5.0000E+00,7.0609E-01,7.1227E-01,6.1851E-03
5.1000E+00,7.1237E-01,7.1207E-01,-3.0418E-04
5.2000E+00,7.0963E-01,7.1612E-01,6.4893E-03
5.3000E+00,7.1034E-01,7.1197E-01,1.6223E-03
5.4000E+00,7.0953E-01,7.0963E-01,1.0139E-04
5.5000E+00,7.0872E-01,7.1176E-01,3.0418E-03
5.6000E+00,7.1389E-01,7.0821E-01,-5.6781E-03
5.7000E+00,7.0842E-01,7.1004E-01,1.6223E-03
5.8000E+00,7.0974E-01,7.1268E-01,2.9404E-03
5.9000E+00,7.1359E-01,7.1186E-01,-1.7237E-03
6.0000E+00,7.1156E-01,7.0872E-01,-2.8391E-03
6.1000E+00,7.0933E-01,7.0680E-01,-2.5349E-03
6.2000E+00,7.0609E-01,7.0527E-01,-8.1116E-04
6.3000E+00,7.0700E-01,7.0659E-01,-4.0558E-04
6.4000E+00,7.0649E-01,7.0801E-01,1.5209E-03
6.5000E+00,6.9960E-01,7.0091E-01,1.3181E-03
6.6000E+00,7.0538E-01,6.9919E-01,-6.1851E-03
6.7000E+00,7.0548E-01,7.0244E-01,-3.0418E-03
6.8000E+00,7.0010E-01,6.9757E-01,-2.5349E-03
6.9000E+00,6.9605E-01,6.9331E-01,-2.7377E-03
