x_length,laser_off,laser_on,dV
0.0000E+00,-3.0533E-01,-3.0533E-01,0.0000E+00
1.0000E-01,-3.0918E-01,-3.0918E-01,0.0000E+00
2.0000E-01,-3.1283E-01,-3.1283E-01,0.0000E+00
3.0000E-01,-3.1415E-01,-3.1415E-01,0.0000E+00
4.0000E-01,-3.1567E-01,-3.1567E-01,0.0000E+00
5.0000E-01,-3.0938E-01,-3.0938E-01,0.0000E+00
6.0000E-01,-3.0462E-01,-3.0462E-01,0.0000E+00
7.0000E-01,-3.0604E-01,-3.0604E-01,0.0000E+00
8.0000E-01,-2.9742E-01,-2.9742E-01,0.0000E+00
9.0000E-01,-2.9864E-01,-2.9864E-01,0.0000E+00
1.0000E+00,-2.9438E-01,-2.9438E-01,0.0000E+00
1.1000E+00,-2.8839E-01,-2.8839E-01,0.0000E+00
1.2000E+00,-2.8485E-01,-2.8485E-01,0.0000E+00
1.3000E+00,-2.8586E-01,-2.8586E-01,0.0000E+00
1.4000E+00,-2.8758E-01,-2.8758E-01,0.0000E+00
1.5000E+00,-2.9316E-01,-2.9316E-01,0.0000E+00
1.6000E+00,-2.8931E-01,-2.8931E-01,0.0000E+00
1.7000E+00,-2.8657E-01,-2.8657E-01,0.0000E+00
1.8000E+00,-2.8718E-01,-2.8718E-01,0.0000E+00
1.9000E+00,-2.8779E-01,-2.8779E-01,0.0000E+00
2.0000E+00,-2.8505E-01,-2.8505E-01,0.0000E+00
2.1000E+00,-2.8718E-01,-2.8718E-01,0.0000E+00
2.2000E+00,-2.8211E-01,-2.8211E-01,0.0000E+00
2.3000E+00,-2.8606E-01,-2.8606E-01,0.0000E+00
2.4000E+00,-2.8708E-01,-2.8708E-01,0.0000E+00
2.5000E+00,-2.8687E-01,-2.8687E-01,0.0000E+00
2.6000E+00,-2.8677E-01,-2.8677E-01,0.0000E+00
2.7000E+00,-2.8495E-01,-2.8495E-01,0.0000E+00
2.8000E+00,-2.8211E-01,-2.8211E-01,0.0000E+00
2.9000E+00,-2.8596E-01,-2.8596E-01,0.0000E+00
3.0000E+00,-2.9113E-01,-2.9113E-01,0.0000E+00
3.1000E+00,-2.9164E-01,-2.9164E-01,0.0000E+00
3.2000E+00,-2.9194E-01,-2.9194E-01,0.0000E+00
3.3000E+00,-2.9174E-01,-2.9174E-01,0.0000E+00
3.4000E+00,-2.9002E-01,-2.9002E-01,0.0000E+00
3.5000E+00,-2.9255E-01,-2.9255E-01,0.0000E+00
3.6000E+00,-2.9174E-01,-2.9174E-01,0.0000E+00
3.7000E+00,-2.9174E-01,-2.9174E-01,0.0000E+00
3.8000E+00,-2.9336E-01,-2.9336E-01,0.0000E+00
3.9000E+00,-2.9123E-01,-2.9123E-01,0.0000E+00
4.0000E+00,-2.8647E-01,-2.8647E-01,0.0000E+00
4.1000E+00,-2.8485E-01,-2.8485E-01,0.0000E+00
4.2000E+00,-2.8393E-01,-2.8393E-01,0.0000E+00
4.3000E+00,-2.8038E-01,-2.8038E-01,0.0000E+00
4.4000E+00,-2.8109E-01,-2.8109E-01,0.0000E+00
4.5000E+00,-2.8130E-01,-2.8130E-01,0.0000E+00
4.6000E+00,-2.8708E-01,-2.8708E-01,0.0000E+00
4.7000E+00,-2.8941E-01,-2.8941E-01,0.0000E+00
4.8000E+00,-2.8637E-01,-2.8637E-01,0.0000E+00
4.9000E+00,-2.8647E-01,-2.8647E-01,0.0000E+00
5.0000E+00,-2.7876E-01,-2.7876E-01,0.0000E+00
5.1000E+00,-2.7542E-01,-2.7542E-01,0.0000E+00
5.2000E+00,-2.7126E-01,-2.7126E-01,0.0000E+00
5.3000E+00,-2.6700E-01,-2.6700E-01,0.0000E+00
5.4000E+00,-2.6964E-01,-2.6964E-01,0.0000E+00
5.5000E+00,-2.6710E-01,-2.6710E-01,0.0000E+00
5.6000E+00,-2.6852E-01,-2.6852E-01,0.0000E+00
5.7000E+00,-2.6720E-01,-2.6720E-01,0.0000E+00
5.8000E+00,-2.6761E-01,-2.6761E-01,0.0000E+00
5.9000E+00,-2.6903E-01,-2.6903E-01,0.0000E+00
6.0000E+00,-2.6730E-01,-2.6730E-01,0.0000E+00
6.1000E+00,-2.7095E-01,-2.7095E-01,0.0000E+00
6.2000E+00,-2.7035E-01,-2.7035E-01,0.0000E+00
6.3000E+00,-2.6619E-01,-2.6619E-01,0.0000E+00
6.4000E+00,-2.6771E-01,-2.6771E-01,0.0000E+00
6.5000E+00,-2.7045E-01,-2.7045E-01,0.0000E+00
6.6000E+00,-2.6376E-01,-2.6376E-01,0.0000E+00
6.7000E+00,-2.6852E-01,-2.6852E-01,0.0000E+00
6.8000E+00,-2.6031E-01,-2.6031E-01,0.0000E+00
6.9000E+00,-2.5615E-01,-2.5615E-01,0.0000E+00
7.0000E+00,-2.6000E-01,-2.6000E-01,0.0000E+00
7.1000E+00,-2.5818E-01,-2.5818E-01,0.0000E+00
7.2000E+00,-2.6274E-01,-2.6274E-01,0.0000E+00
7.3000E+00,-2.6599E-01,-2.6599E-01,0.0000E+00
