x_length,laser_off,laser_on,dV
0.0000E+00,1.7893E-01,1.7954E-01,6.0837E-04
1.0000E-01,1.8502E-01,1.8390E-01,-1.1153E-03
2.0000E-01,1.8451E-01,1.8563E-01,1.1153E-03
3.0000E-01,1.8319E-01,1.8421E-01,1.0139E-03
4.0000E-01,1.8025E-01,1.8015E-01,-1.0139E-04
5.0000E-01,1.7468E-01,1.7660E-01,1.9265E-03
6.0000E-01,1.7113E-01,1.6829E-01,-2.8391E-03
7.0000E-01,1.6687E-01,1.6646E-01,-4.0558E-04
8.0000E-01,1.6535E-01,1.6555E-01,2.0279E-04
9.0000E-01,1.6393E-01,1.6170E-01,-2.2307E-03
1.0000E+00,1.6454E-01,1.6403E-01,-5.0697E-04
1.1000E+00,1.6322E-01,1.6494E-01,1.7237E-03
1.2000E+00,1.6180E-01,1.6139E-01,-4.0558E-04
1.3000E+00,1.5784E-01,1.5703E-01,-8.1116E-04
1.4000E+00,1.5288E-01,1.5186E-01,-1.0139E-03
1.5000E+00,1.4699E-01,1.4730E-01,3.0418E-04
1.6000E+00,1.4466E-01,1.4456E-01,-1.0139E-04
1.7000E+00,1.3756E-01,1.3797E-01,4.0558E-04
1.8000E+00,1.2864E-01,1.2753E-01,-1.1153E-03
1.9000E+00,1.1871E-01,1.1779E-01,-9.1255E-04
2.0000E+00,1.0796E-01,1.0836E-01,4.0558E-04
2.1000E+00,9.7007E-02,9.9339E-02,2.3321E-03
2.2000E+00,9.3864E-02,9.0923E-02,-2.9404E-03
2.3000E+00,8.9200E-02,8.9504E-02,3.0418E-04
2.4000E+00,8.6665E-02,8.5854E-02,-8.1116E-04
2.5000E+00,8.1190E-02,8.4333E-02,3.1432E-03
2.6000E+00,8.2305E-02,8.2609E-02,3.0418E-04
2.7000E+00,8.0581E-02,8.0277E-02,-3.0418E-04
2.8000E+00,7.9263E-02,7.8553E-02,-7.0976E-04
2.9000E+00,7.7032E-02,7.6323E-02,-7.0976E-04
3.0000E+00,7.4295E-02,7.4193E-02,-1.0139E-04
3.1000E+00,7.3382E-02,7.3686E-02,3.0418E-04
3.2000E+00,7.3078E-02,7.3078E-02,2.7756E-17
3.3000E+00,7.5714E-02,7.3382E-02,-2.3321E-03
3.4000E+00,7.9871E-02,7.6830E-02,-3.0418E-03
3.5000E+00,8.5144E-02,8.5043E-02,-1.0139E-04
3.6000E+00,9.0315E-02,8.8896E-02,-1.4195E-03
3.7000E+00,9.6196E-02,9.5993E-02,-2.0279E-04
3.8000E+00,9.7920E-02,9.7413E-02,-5.0697E-04
3.9000E+00,9.8325E-02,9.8122E-02,-2.0279E-04
4.0000E+00,9.8325E-02,9.8832E-02,5.0697E-04
4.1000E+00,9.7514E-02,9.5892E-02,-1.6223E-03
4.2000E+00,9.7818E-02,9.5689E-02,-2.1293E-03
4.3000E+00,9.9339E-02,9.9948E-02,6.0837E-04
4.4000E+00,1.0410E-01,1.0532E-01,1.2167E-03
4.5000E+00,1.0867E-01,1.1191E-01,3.2446E-03
4.6000E+00,1.1789E-01,1.1678E-01,-1.1153E-03
4.7000E+00,1.2469E-01,1.2296E-01,-1.7237E-03
4.8000E+00,1.2449E-01,1.2560E-01,1.1153E-03
4.9000E+00,1.2763E-01,1.2712E-01,-5.0697E-04
5.0000E+00,1.3199E-01,1.3077E-01,-1.2167E-03
5.1000E+00,1.3473E-01,1.3625E-01,1.5209E-03
5.2000E+00,1.4051E-01,1.4000E-01,-5.0697E-04
5.3000E+00,1.4537E-01,1.4862E-01,3.2446E-03
5.4000E+00,1.5186E-01,1.4994E-01,-1.9265E-03
5.5000E+00,1.5805E-01,1.5622E-01,-1.8251E-03
5.6000E+00,1.6261E-01,1.6332E-01,7.0976E-04
5.7000E+00,1.6859E-01,1.6981E-01,1.2167E-03
5.8000E+00,1.8045E-01,1.8269E-01,2.2307E-03
5.9000E+00,1.9911E-01,1.9506E-01,-4.0558E-03
6.0000E+00,2.1209E-01,2.1128E-01,-8.1116E-04
6.1000E+00,2.1746E-01,2.1544E-01,-2.0279E-03
6.2000E+00,2.1483E-01,2.1523E-01,4.0558E-04
6.3000E+00,2.1209E-01,2.1168E-01,-4.0558E-04
6.4000E+00,2.1037E-01,2.0976E-01,-6.0837E-04
6.5000E+00,2.0986E-01,2.0895E-01,-9.1255E-04
6.6000E+00,2.1037E-01,2.0996E-01,-4.0558E-04
6.7000E+00,2.1361E-01,2.1493E-01,1.3181E-03
6.8000E+00,2.1260E-01,2.1138E-01,-1.2167E-03
6.9000E+00,2.1361E-01,2.1371E-01,1.0139E-04
7.0000E+00,2.1422E-01,2.1392E-01,-3.0418E-04
7.1000E+00,2.0885E-01,2.0945E-01,6.0837E-04
7.2000E+00,2.0185E-01,2.0114E-01,-7.0976E-04
7.3000E+00,1.9982E-01,2.0053E-01,7.0976E-04
7.4000E+00,1.9648E-01,1.9587E-01,-6.0837E-04
7.5000E+00,1.9161E-01,1.9191E-01,3.0418E-04
7.6000E+00,1.9627E-01,1.9242E-01,-3.8530E-03
7.7000E+00,1.9323E-01,1.9364E-01,4.0558E-04
7.8000E+00,1.8907E-01,1.9059E-01,1.5209E-03
7.9000E+00,1.8867E-01,1.8522E-01,-3.4474E-03
8.0000E+00,1.8552E-01,1.8593E-01,4.0558E-04
8.1000E+00,1.8005E-01,1.7924E-01,-8.1116E-04
8.2000E+00,1.7366E-01,1.7315E-01,-5.0697E-04
8.3000E+00,1.6423E-01,1.6302E-01,-1.2167E-03
8.4000E+00,1.4679E-01,1.4618E-01,-6.0837E-04
8.5000E+00,1.2885E-01,1.2550E-01,-3.3460E-03
8.6000E+00,1.0816E-01,1.0623E-01,-1.9265E-03
8.7000E+00,9.0112E-02,9.0619E-02,5.0697E-04
8.8000E+00,8.6665E-02,8.5245E-02,-1.4195E-03
8.9000E+00,8.5549E-02,8.4840E-02,-7.0976E-04
9.0000E+00,8.7070E-02,8.5752E-02,-1.3181E-03
9.1000E+00,8.7070E-02,8.6665E-02,-4.0558E-04
9.2000E+00,8.7679E-02,8.5854E-02,-1.8251E-03
9.3000E+00,8.3420E-02,8.3319E-02,-1.0139E-04
9.4000E+00,8.2406E-02,7.9060E-02,-3.3460E-03
9.5000E+00,7.4903E-02,7.5004E-02,1.0139E-04
9.6000E+00,7.0340E-02,6.8515E-02,-1.8251E-03
9.7000E+00,5.9897E-02,6.3851E-02,3.9544E-03
9.8000E+00,5.4523E-02,5.5334E-02,8.1116E-04
9.9000E+00,4.8135E-02,4.8743E-02,6.0837E-04
