x_length,laser_off,laser_on,dV
0.0000E+00,-5.9258E-01,-5.8031E-01,1.2269E-02
1.0000E-01,-5.5841E-01,-5.4959E-01,8.8213E-03
2.0000E-01,-5.5232E-01,-5.4675E-01,5.5767E-03
3.0000E-01,-5.5232E-01,-5.5151E-01,8.1116E-04
4.0000E-01,-5.5101E-01,-5.4979E-01,1.2167E-03
5.0000E-01,-5.4148E-01,-5.4726E-01,-5.7795E-03
6.0000E-01,-5.4300E-01,-5.4421E-01,-1.2167E-03
7.0000E-01,-5.4077E-01,-5.3833E-01,2.4335E-03
8.0000E-01,-5.4513E-01,-5.4158E-01,3.5488E-03
9.0000E-01,-5.4178E-01,-5.3843E-01,3.3460E-03
1.0000E+00,-5.3793E-01,-5.3499E-01,2.9404E-03
1.1000E+00,-5.3874E-01,-5.3164E-01,7.0976E-03
1.2000E+00,-5.3265E-01,-5.3276E-01,-1.0139E-04
1.3000E+00,-5.3580E-01,-5.4046E-01,-4.6642E-03
1.4000E+00,-5.3164E-01,-5.3174E-01,-1.0139E-04
1.5000E+00,-5.3509E-01,-5.3438E-01,7.0976E-04
1.6000E+00,-5.3610E-01,-5.3762E-01,-1.5209E-03
1.7000E+00,-5.3924E-01,-5.4046E-01,-1.2167E-03
1.8000E+00,-5.4665E-01,-5.4563E-01,1.0139E-03
1.9000E+00,-5.4786E-01,-5.4655E-01,1.3181E-03
2.0000E+00,-5.5243E-01,-5.4928E-01,3.1432E-03
2.1000E+00,-5.5415E-01,-5.5405E-01,1.0139E-04
2.2000E+00,-5.5719E-01,-5.4726E-01,9.9367E-03
2.3000E+00,-5.5435E-01,-5.4878E-01,5.5767E-03
2.4000E+00,-5.4229E-01,-5.5101E-01,-8.7199E-03
2.5000E+00,-5.4715E-01,-5.4847E-01,-1.3181E-03
2.6000E+00,-5.4776E-01,-5.4208E-01,5.6781E-03
2.7000E+00,-5.5050E-01,-5.4543E-01,5.0697E-03
2.8000E+00,-5.5121E-01,-5.5598E-01,-4.7656E-03
2.9000E+00,-5.6044E-01,-5.6003E-01,4.0558E-04
3.0000E+00,-5.6581E-01,-5.6936E-01,-3.5488E-03
3.1000E+00,-5.6540E-01,-5.6530E-01,1.0139E-04
