x_length,laser_off,laser_on,dV
0.0000E+00,-2.3405E-01,-2.3050E-01,3.5488E-03
1.0000E-01,-2.3060E-01,-2.2634E-01,4.2586E-03
2.0000E-01,-2.2654E-01,-2.2614E-01,4.0558E-04
3.0000E-01,-2.2411E-01,-2.1904E-01,5.0697E-03
4.0000E-01,-2.2016E-01,-2.1853E-01,1.6223E-03
5.0000E-01,-2.2076E-01,-2.1468E-01,6.0837E-03
6.0000E-01,-2.1569E-01,-2.1427E-01,1.4195E-03
7.0000E-01,-2.1539E-01,-2.1194E-01,3.4474E-03
8.0000E-01,-2.1316E-01,-2.1184E-01,1.3181E-03
9.0000E-01,-2.1083E-01,-2.0596E-01,4.8669E-03
1.0000E+00,-2.0768E-01,-2.0454E-01,3.1432E-03
1.1000E+00,-2.0393E-01,-2.0008E-01,3.8530E-03
1.2000E+00,-2.0059E-01,-1.9714E-01,3.4474E-03
1.3000E+00,-1.9531E-01,-1.8984E-01,5.4753E-03
1.4000E+00,-1.8629E-01,-1.8142E-01,4.8669E-03
1.5000E+00,-1.7716E-01,-1.7585E-01,1.3181E-03
1.6000E+00,-1.6946E-01,-1.6398E-01,5.4753E-03
1.7000E+00,-1.6337E-01,-1.6023E-01,3.1432E-03
1.8000E+00,-1.6378E-01,-1.6135E-01,2.4335E-03
1.9000E+00,-1.7321E-01,-1.6804E-01,5.1711E-03
2.0000E+00,-1.8528E-01,-1.8244E-01,2.8391E-03
2.1000E+00,-2.0211E-01,-1.9623E-01,5.8809E-03
2.2000E+00,-2.1590E-01,-2.1235E-01,3.5488E-03
2.3000E+00,-2.2817E-01,-2.2482E-01,3.3460E-03
2.4000E+00,-2.3577E-01,-2.3445E-01,1.3181E-03
2.5000E+00,-2.4114E-01,-2.3638E-01,4.7656E-03
2.6000E+00,-2.4479E-01,-2.4196E-01,2.8391E-03
2.7000E+00,-2.4895E-01,-2.4226E-01,6.6921E-03
2.8000E+00,-2.4581E-01,-2.3841E-01,7.4018E-03
2.9000E+00,-2.3749E-01,-2.3587E-01,1.6223E-03
3.0000E+00,-2.3405E-01,-2.2928E-01,4.7656E-03
3.1000E+00,-2.3100E-01,-2.2218E-01,8.8213E-03
3.2000E+00,-2.2350E-01,-2.1458E-01,8.9227E-03
3.3000E+00,-2.1904E-01,-2.0728E-01,1.1762E-02
3.4000E+00,-2.1580E-01,-2.0272E-01,1.3080E-02
3.5000E+00,-2.1711E-01,-2.0261E-01,1.4499E-02
3.6000E+00,-2.1306E-01,-1.9694E-01,1.6122E-02
3.7000E+00,-2.1235E-01,-1.9582E-01,1.6527E-02
3.8000E+00,-2.1062E-01,-1.8801E-01,2.2611E-02
3.9000E+00,-2.0880E-01,-1.8365E-01,2.5146E-02
4.0000E+00,-2.0363E-01,-1.8071E-01,2.2915E-02
4.1000E+00,-2.0302E-01,-1.7625E-01,2.6768E-02
4.2000E+00,-2.0140E-01,-1.7078E-01,3.0621E-02
4.3000E+00,-2.0059E-01,-1.6175E-01,3.8834E-02
4.4000E+00,-1.9775E-01,-1.5678E-01,4.0963E-02
4.5000E+00,-1.9785E-01,-1.5445E-01,4.3397E-02
4.6000E+00,-1.9907E-01,-1.4583E-01,5.3232E-02
4.7000E+00,-1.9825E-01,-1.3640E-01,6.1851E-02
4.8000E+00,-1.9471E-01,-1.3174E-01,6.2966E-02
4.9000E+00,-1.9308E-01,-1.1724E-01,7.5843E-02
5.0000E+00,-1.8811E-01,-9.9293E-02,8.8822E-02
5.1000E+00,-1.8649E-01,-8.8444E-02,9.8049E-02
5.2000E+00,-1.8193E-01,-8.4591E-02,9.7339E-02
5.3000E+00,-1.8355E-01,-8.8444E-02,9.5108E-02
5.4000E+00,-1.8406E-01,-9.7164E-02,8.6895E-02
5.5000E+00,-1.8132E-01,-1.1126E-01,7.0064E-02
