x_length,laser_off,laser_on,dV
0.0000E+00,-6.8971E-01,-6.8394E-01,5.7795E-03
1.0000E-01,-6.9580E-01,-7.0006E-01,-4.2586E-03
2.0000E-01,-7.1060E-01,-7.1496E-01,-4.3600E-03
3.0000E-01,-7.1942E-01,-7.1800E-01,1.4195E-03
4.0000E-01,-7.2642E-01,-7.2358E-01,2.8391E-03
5.0000E-01,-7.3788E-01,-7.3696E-01,9.1255E-04
6.0000E-01,-7.4376E-01,-7.4366E-01,1.0139E-04
7.0000E-01,-7.5288E-01,-7.5055E-01,2.3321E-03
8.0000E-01,-7.5268E-01,-7.4650E-01,6.1851E-03
9.0000E-01,-7.4508E-01,-7.3808E-01,6.9962E-03
1.0000E+00,-7.3514E-01,-7.2794E-01,7.1990E-03
1.1000E+00,-7.2936E-01,-7.2459E-01,4.7656E-03
1.2000E+00,-7.2814E-01,-7.2358E-01,4.5628E-03
1.3000E+00,-7.2936E-01,-7.3078E-01,-1.4195E-03
1.4000E+00,-7.2895E-01,-7.2216E-01,6.7934E-03
1.5000E+00,-7.2226E-01,-7.1912E-01,3.1432E-03
1.6000E+00,-7.1608E-01,-7.1121E-01,4.8669E-03
1.7000E+00,-7.1628E-01,-7.0999E-01,6.2865E-03
1.8000E+00,-7.1030E-01,-7.0979E-01,5.0697E-04
1.9000E+00,-7.0208E-01,-6.9093E-01,1.1153E-02
2.0000E+00,-6.8576E-01,-6.7988E-01,5.8809E-03
2.1000E+00,-6.7268E-01,-6.6305E-01,9.6325E-03
2.2000E+00,-6.5676E-01,-6.4672E-01,1.0038E-02
2.3000E+00,-6.4287E-01,-6.3547E-01,7.4018E-03
2.4000E+00,-6.2847E-01,-6.2046E-01,8.0102E-03
2.5000E+00,-6.3760E-01,-6.4470E-01,-7.0976E-03
2.6000E+00,-6.4601E-01,-6.4297E-01,3.0418E-03
2.7000E+00,-6.6072E-01,-6.6771E-01,-6.9962E-03
2.8000E+00,-6.8302E-01,-6.8424E-01,-1.2167E-03
2.9000E+00,-6.9570E-01,-7.0087E-01,-5.1711E-03
3.0000E+00,-7.0807E-01,-7.0756E-01,5.0697E-04
3.1000E+00,-7.0675E-01,-6.9793E-01,8.8213E-03
3.2000E+00,-7.0371E-01,-6.9996E-01,3.7516E-03
3.3000E+00,-7.0117E-01,-6.9925E-01,1.9265E-03
3.4000E+00,-7.1892E-01,-7.2571E-01,-6.7934E-03
3.5000E+00,-7.2419E-01,-7.1669E-01,7.5032E-03
