x_length,laser_off,laser_on,dV
0.0000E+00,-6.6847E-02,-6.8875E-02,-2.0279E-03
1.0000E-01,-6.5427E-02,-5.8431E-02,6.9962E-03
2.0000E-01,-6.0865E-02,-6.2791E-02,-1.9265E-03
3.0000E-01,-6.5529E-02,-6.5529E-02,-1.3878E-17
4.0000E-01,-6.3501E-02,-6.7252E-02,-3.7516E-03
5.0000E-01,-5.9749E-02,-5.9851E-02,-1.0139E-04
6.0000E-01,-5.6200E-02,-5.2550E-02,3.6502E-03
7.0000E-01,-3.4806E-02,-4.3932E-02,-9.1255E-03
8.0000E-01,-5.4984E-02,-5.9039E-02,-4.0558E-03
9.0000E-01,-6.0966E-02,-5.7417E-02,3.5488E-03
1.0000E+00,-5.8330E-02,-5.4781E-02,3.5488E-03
1.1000E+00,-5.8025E-02,-5.7012E-02,1.0139E-03
1.2000E+00,-5.6403E-02,-5.7417E-02,-1.0139E-03
1.3000E+00,-5.6910E-02,-5.6707E-02,2.0279E-04
1.4000E+00,-5.4578E-02,-5.1840E-02,2.7377E-03
1.5000E+00,-5.1840E-02,-5.5592E-02,-3.7516E-03
1.6000E+00,-5.0725E-02,-5.1840E-02,-1.1153E-03
1.7000E+00,-4.9711E-02,-5.4172E-02,-4.4614E-03
1.8000E+00,-5.1638E-02,-5.3260E-02,-1.6223E-03
1.9000E+00,-5.2145E-02,-5.0725E-02,1.4195E-03
2.0000E+00,-5.0624E-02,-5.3767E-02,-3.1432E-03
2.1000E+00,-4.7886E-02,-5.1840E-02,-3.9544E-03
2.2000E+00,-5.8532E-02,-5.9648E-02,-1.1153E-03
2.3000E+00,-5.5896E-02,-5.9344E-02,-3.4474E-03
2.4000E+00,-6.2385E-02,-6.1270E-02,1.1153E-03
2.5000E+00,-6.1270E-02,-5.5795E-02,5.4753E-03
2.6000E+00,-5.9242E-02,-5.9546E-02,-3.0418E-04
2.7000E+00,-5.8735E-02,-5.8735E-02,-1.3878E-17
2.8000E+00,-5.9648E-02,-6.0662E-02,-1.0139E-03
2.9000E+00,-5.9039E-02,-6.6543E-02,-7.5032E-03
3.0000E+00,-7.0903E-02,-6.9787E-02,1.1153E-03
3.1000E+00,-7.2322E-02,-7.9318E-02,-6.9962E-03
3.2000E+00,-7.5567E-02,-8.3374E-02,-7.8074E-03
3.3000E+00,-7.0700E-02,-8.4794E-02,-1.4094E-02
3.4000E+00,-7.0903E-02,-8.3273E-02,-1.2370E-02
3.5000E+00,-8.0332E-02,-8.4591E-02,-4.2586E-03
3.6000E+00,-7.4350E-02,-8.4996E-02,-1.0646E-02
3.7000E+00,-8.1955E-02,-9.6251E-02,-1.4297E-02
3.8000E+00,-7.7392E-02,-9.6353E-02,-1.8961E-02
3.9000E+00,-8.3780E-02,-1.0406E-01,-2.0279E-02
4.0000E+00,-8.0231E-02,-1.0426E-01,-2.4031E-02
4.1000E+00,-7.6175E-02,-1.0274E-01,-2.6565E-02
4.2000E+00,-8.7430E-02,-1.1136E-01,-2.3929E-02
4.3000E+00,-7.7392E-02,-1.0832E-01,-3.0925E-02
4.4000E+00,-7.8304E-02,-1.0771E-01,-2.9404E-02
4.5000E+00,-7.5060E-02,-1.1136E-01,-3.6299E-02
4.6000E+00,-7.2322E-02,-1.0923E-01,-3.6908E-02
4.7000E+00,-7.0294E-02,-1.1247E-01,-4.2180E-02
4.8000E+00,-6.2994E-02,-1.0528E-01,-4.2282E-02
4.9000E+00,-6.4008E-02,-1.0203E-01,-3.8023E-02
5.0000E+00,-5.6505E-02,-1.0680E-01,-5.0292E-02
5.1000E+00,-5.5896E-02,-1.0223E-01,-4.6337E-02
5.2000E+00,-5.7924E-02,-9.8279E-02,-4.0355E-02
5.3000E+00,-5.5389E-02,-9.9293E-02,-4.3904E-02
5.4000E+00,-5.9749E-02,-1.0213E-01,-4.2383E-02
5.5000E+00,-5.4274E-02,-1.0558E-01,-5.1306E-02
5.6000E+00,-5.5288E-02,-1.0375E-01,-4.8467E-02
5.7000E+00,-5.3767E-02,-9.4021E-02,-4.0254E-02
5.8000E+00,-4.6162E-02,-9.5339E-02,-4.9176E-02
5.9000E+00,-5.7316E-02,-9.0979E-02,-3.3663E-02
6.0000E+00,-6.2892E-02,-9.1486E-02,-2.8593E-02
6.1000E+00,-5.8330E-02,-8.4996E-02,-2.6667E-02
6.2000E+00,-5.8025E-02,-9.4629E-02,-3.6604E-02
6.3000E+00,-6.6238E-02,-8.7734E-02,-2.1496E-02
6.4000E+00,-6.1878E-02,-9.4933E-02,-3.3055E-02
6.5000E+00,-7.7493E-02,-1.0000E-01,-2.2510E-02
6.6000E+00,-8.1752E-02,-1.0254E-01,-2.0786E-02
6.7000E+00,-8.0028E-02,-1.0345E-01,-2.3422E-02
6.8000E+00,-8.0130E-02,-1.0842E-01,-2.8289E-02
6.9000E+00,-9.1689E-02,-1.0558E-01,-1.3891E-02
7.0000E+00,-9.3919E-02,-1.0193E-01,-8.0102E-03
7.1000E+00,-9.7671E-02,-1.0893E-01,-1.1255E-02
7.2000E+00,-9.4730E-02,-1.0933E-01,-1.4601E-02
7.3000E+00,-9.9699E-02,-1.0548E-01,-5.7795E-03
7.4000E+00,-1.0487E-01,-1.1258E-01,-7.7060E-03
7.5000E+00,-1.1612E-01,-1.1471E-01,1.4195E-03
7.6000E+00,-1.1744E-01,-1.1836E-01,-9.1255E-04
