x_length,laser_off,laser_on,dV
0.0000E+00,1.4192E-01,1.4507E-01,3.1432E-03
1.0000E-01,1.4476E-01,1.4426E-01,-5.0697E-04
2.0000E-01,1.4801E-01,1.4365E-01,-4.3600E-03
3.0000E-01,1.4659E-01,1.4578E-01,-8.1116E-04
4.0000E-01,1.4689E-01,1.5014E-01,3.2446E-03
5.0000E-01,1.4791E-01,1.4781E-01,-1.0139E-04
6.0000E-01,1.4466E-01,1.4750E-01,2.8391E-03
7.0000E-01,1.4608E-01,1.4355E-01,-2.5349E-03
8.0000E-01,1.4801E-01,1.4497E-01,-3.0418E-03
9.0000E-01,1.4558E-01,1.4446E-01,-1.1153E-03
1.0000E+00,1.4010E-01,1.4517E-01,5.0697E-03
1.1000E+00,1.4111E-01,1.4081E-01,-3.0418E-04
1.2000E+00,1.3959E-01,1.3969E-01,1.0139E-04
1.3000E+00,1.3838E-01,1.4030E-01,1.9265E-03
1.4000E+00,1.3827E-01,1.3848E-01,2.0279E-04
1.5000E+00,1.3381E-01,1.3554E-01,1.7237E-03
1.6000E+00,1.3797E-01,1.3767E-01,-3.0418E-04
1.7000E+00,1.3848E-01,1.3503E-01,-3.4474E-03
1.8000E+00,1.3179E-01,1.3057E-01,-1.2167E-03
1.9000E+00,1.2814E-01,1.2935E-01,1.2167E-03
2.0000E+00,1.2935E-01,1.3006E-01,7.0976E-04
2.1000E+00,1.3097E-01,1.2925E-01,-1.7237E-03
2.2000E+00,1.3037E-01,1.2885E-01,-1.5209E-03
2.3000E+00,1.2844E-01,1.2590E-01,-2.5349E-03
2.4000E+00,1.2550E-01,1.2408E-01,-1.4195E-03
2.5000E+00,1.2530E-01,1.2469E-01,-6.0837E-04
2.6000E+00,1.2327E-01,1.2337E-01,1.0139E-04
2.7000E+00,1.2083E-01,1.1810E-01,-2.7377E-03
2.8000E+00,1.1668E-01,1.1637E-01,-3.0418E-04
2.9000E+00,1.1536E-01,1.1252E-01,-2.8391E-03
3.0000E+00,1.1222E-01,1.1597E-01,3.7516E-03
3.1000E+00,1.1364E-01,1.1404E-01,4.0558E-04
3.2000E+00,1.1526E-01,1.1009E-01,-5.1711E-03
3.3000E+00,1.1597E-01,1.1110E-01,-4.8669E-03
3.4000E+00,1.1435E-01,1.1678E-01,2.4335E-03
3.5000E+00,1.1972E-01,1.1597E-01,-3.7516E-03
3.6000E+00,1.1769E-01,1.1850E-01,8.1116E-04
3.7000E+00,1.1982E-01,1.1921E-01,-6.0837E-04
3.8000E+00,1.2013E-01,1.1749E-01,-2.6363E-03
3.9000E+00,1.1860E-01,1.1972E-01,1.1153E-03
4.0000E+00,1.1769E-01,1.2094E-01,3.2446E-03
4.1000E+00,1.1850E-01,1.2175E-01,3.2446E-03
4.2000E+00,1.2033E-01,1.1729E-01,-3.0418E-03
4.3000E+00,1.1587E-01,1.1891E-01,3.0418E-03
4.4000E+00,1.1455E-01,1.1658E-01,2.0279E-03
4.5000E+00,1.1455E-01,1.1678E-01,2.2307E-03
4.6000E+00,1.1566E-01,1.2165E-01,5.9823E-03
4.7000E+00,1.1617E-01,1.2225E-01,6.0837E-03
4.8000E+00,1.1607E-01,1.2286E-01,6.7934E-03
4.9000E+00,1.1688E-01,1.2307E-01,6.1851E-03
5.0000E+00,1.1637E-01,1.2317E-01,6.7934E-03
5.1000E+00,1.1191E-01,1.2165E-01,9.7339E-03
5.2000E+00,1.1293E-01,1.1860E-01,5.6781E-03
5.3000E+00,1.1019E-01,1.1222E-01,2.0279E-03
5.4000E+00,1.0745E-01,1.1059E-01,3.1432E-03
5.5000E+00,1.0542E-01,1.0360E-01,-1.8251E-03
5.6000E+00,1.0045E-01,1.0076E-01,3.0418E-04
5.7000E+00,9.9238E-02,9.6297E-02,-2.9404E-03
5.8000E+00,9.6703E-02,9.9441E-02,2.7377E-03
5.9000E+00,9.7514E-02,9.9542E-02,2.0279E-03
6.0000E+00,9.9441E-02,9.6906E-02,-2.5349E-03
6.1000E+00,9.8427E-02,1.0167E-01,3.2446E-03
6.2000E+00,1.0045E-01,1.0238E-01,1.9265E-03
6.3000E+00,1.0603E-01,1.0877E-01,2.7377E-03
6.4000E+00,1.0786E-01,1.1161E-01,3.7516E-03
6.5000E+00,1.1384E-01,1.1587E-01,2.0279E-03
6.6000E+00,1.1840E-01,1.1566E-01,-2.7377E-03
