x_length,laser_off,laser_on,dV
0.0000E+00,-2.3374E-01,-2.3415E-01,-4.0558E-04
1.0000E-01,-2.3019E-01,-2.2938E-01,8.1116E-04
2.0000E-01,-2.1904E-01,-2.2117E-01,-2.1293E-03
3.0000E-01,-2.1600E-01,-2.1336E-01,2.6363E-03
4.0000E-01,-2.1204E-01,-2.1458E-01,-2.5349E-03
5.0000E-01,-2.1488E-01,-2.1397E-01,9.1255E-04
6.0000E-01,-2.1377E-01,-2.1326E-01,5.0697E-04
7.0000E-01,-2.1336E-01,-2.1194E-01,1.4195E-03
8.0000E-01,-2.1144E-01,-2.1326E-01,-1.8251E-03
9.0000E-01,-2.1509E-01,-2.1346E-01,1.6223E-03
1.0000E+00,-2.1782E-01,-2.1752E-01,3.0418E-04
1.1000E+00,-2.2066E-01,-2.1793E-01,2.7377E-03
1.2000E+00,-2.2127E-01,-2.2249E-01,-1.2167E-03
1.3000E+00,-2.2563E-01,-2.2614E-01,-5.0697E-04
1.4000E+00,-2.2837E-01,-2.2989E-01,-1.5209E-03
1.5000E+00,-2.3212E-01,-2.3090E-01,1.2167E-03
1.6000E+00,-2.2948E-01,-2.2867E-01,8.1116E-04
1.7000E+00,-2.2938E-01,-2.2938E-01,5.5511E-17
1.8000E+00,-2.2969E-01,-2.2675E-01,2.9404E-03
1.9000E+00,-2.2553E-01,-2.2675E-01,-1.2167E-03
2.0000E+00,-2.2888E-01,-2.2452E-01,4.3600E-03
2.1000E+00,-2.2644E-01,-2.2756E-01,-1.1153E-03
2.2000E+00,-2.2735E-01,-2.2614E-01,1.2167E-03
2.3000E+00,-2.2512E-01,-2.2239E-01,2.7377E-03
2.4000E+00,-2.2299E-01,-2.1995E-01,3.0418E-03
2.5000E+00,-2.2178E-01,-2.2218E-01,-4.0558E-04
2.6000E+00,-2.2411E-01,-2.2158E-01,2.5349E-03
2.7000E+00,-2.1722E-01,-2.1488E-01,2.3321E-03
2.8000E+00,-2.2056E-01,-2.1995E-01,6.0837E-04
2.9000E+00,-2.2066E-01,-2.2269E-01,-2.0279E-03
3.0000E+00,-2.1955E-01,-2.2168E-01,-2.1293E-03
3.1000E+00,-2.2016E-01,-2.1782E-01,2.3321E-03
3.2000E+00,-2.1833E-01,-2.1853E-01,-2.0279E-04
3.3000E+00,-2.1843E-01,-2.1600E-01,2.4335E-03
3.4000E+00,-2.1610E-01,-2.1498E-01,1.1153E-03
3.5000E+00,-2.1559E-01,-2.1397E-01,1.6223E-03
3.6000E+00,-2.1691E-01,-2.1367E-01,3.2446E-03
3.7000E+00,-2.1651E-01,-2.1478E-01,1.7237E-03
3.8000E+00,-2.1306E-01,-2.1204E-01,1.0139E-03
3.9000E+00,-2.0850E-01,-2.0677E-01,1.7237E-03
4.0000E+00,-2.0606E-01,-2.0687E-01,-8.1116E-04
4.1000E+00,-2.0647E-01,-2.0353E-01,2.9404E-03
