x_length,laser_off,laser_on,dV
0.0000E+00,-1.9291E+00,-1.9067E+00,2.2408E-02
1.0000E-01,-1.8861E+00,-1.8654E+00,2.0685E-02
2.0000E-01,-1.8553E+00,-1.8360E+00,1.9366E-02
3.0000E-01,-1.8204E+00,-1.8046E+00,1.5818E-02
4.0000E-01,-1.7886E+00,-1.7718E+00,1.6832E-02
5.0000E-01,-1.7578E+00,-1.7446E+00,1.3181E-02
6.0000E-01,-1.7330E+00,-1.7162E+00,1.6730E-02
7.0000E-01,-1.7023E+00,-1.6857E+00,1.6629E-02
8.0000E-01,-1.6739E+00,-1.6593E+00,1.4601E-02
9.0000E-01,-1.6448E+00,-1.6316E+00,1.3181E-02
1.0000E+00,-1.6175E+00,-1.6001E+00,1.7339E-02
1.1000E+00,-1.5899E+00,-1.5659E+00,2.4031E-02
1.2000E+00,-1.5530E+00,-1.5353E+00,1.7643E-02
1.3000E+00,-1.5259E+00,-1.5123E+00,1.3587E-02
1.4000E+00,-1.5032E+00,-1.4858E+00,1.7440E-02
1.5000E+00,-1.4772E+00,-1.4616E+00,1.5615E-02
1.6000E+00,-1.4558E+00,-1.4423E+00,1.3486E-02
1.7000E+00,-1.4387E+00,-1.4293E+00,9.4297E-03
1.8000E+00,-1.4236E+00,-1.4106E+00,1.2979E-02
1.9000E+00,-1.4039E+00,-1.3913E+00,1.2674E-02
2.0000E+00,-1.3879E+00,-1.3768E+00,1.1153E-02
2.1000E+00,-1.3711E+00,-1.3633E+00,7.8074E-03
2.2000E+00,-1.3566E+00,-1.3497E+00,6.8948E-03
2.3000E+00,-1.3444E+00,-1.3358E+00,8.6186E-03
2.4000E+00,-1.3344E+00,-1.3231E+00,1.1255E-02
2.5000E+00,-1.3188E+00,-1.3088E+00,9.9367E-03
2.6000E+00,-1.3055E+00,-1.2788E+00,2.6667E-02
2.7000E+00,-1.2662E+00,-1.2556E+00,1.0646E-02
2.8000E+00,-1.2505E+00,-1.2390E+00,1.1559E-02
2.9000E+00,-1.2289E+00,-1.2227E+00,6.1851E-03
3.0000E+00,-1.2123E+00,-1.2086E+00,3.7516E-03
3.1000E+00,-1.2040E+00,-1.1901E+00,1.3891E-02
3.2000E+00,-1.1840E+00,-1.1728E+00,1.1255E-02
3.3000E+00,-1.1737E+00,-1.1655E+00,8.2130E-03
3.4000E+00,-1.1670E+00,-1.1605E+00,6.4893E-03
3.5000E+00,-1.1630E+00,-1.1562E+00,6.7934E-03
3.6000E+00,-1.1545E+00,-1.1479E+00,6.5907E-03
3.7000E+00,-1.1495E+00,-1.1418E+00,7.7060E-03
3.8000E+00,-1.1448E+00,-1.1396E+00,5.1711E-03
3.9000E+00,-1.1327E+00,-1.1268E+00,5.8809E-03
4.0000E+00,-1.1230E+00,-1.1174E+00,5.5767E-03
4.1000E+00,-1.1071E+00,-1.0941E+00,1.2979E-02
4.2000E+00,-1.0884E+00,-1.0726E+00,1.5818E-02
4.3000E+00,-1.0652E+00,-1.0563E+00,8.9227E-03
4.4000E+00,-1.0564E+00,-1.0513E+00,5.0697E-03
4.5000E+00,-1.0516E+00,-1.0482E+00,3.3460E-03
4.6000E+00,-1.0460E+00,-1.0411E+00,4.8669E-03
4.7000E+00,-1.0305E+00,-1.0222E+00,8.3144E-03
4.8000E+00,-1.0099E+00,-1.0022E+00,7.7060E-03
4.9000E+00,-9.9005E-01,-9.8143E-01,8.6186E-03
5.0000E+00,-9.6662E-01,-9.5902E-01,7.6046E-03
5.1000E+00,-9.5010E-01,-9.4148E-01,8.6186E-03
