x_length,laser_off,laser_on,dV
0.0000E+00,-1.0797E+00,-1.0731E+00,6.5907E-03
1.0000E-01,-1.0914E+00,-1.0945E+00,-3.0418E-03
2.0000E-01,-1.1064E+00,-1.1055E+00,9.1255E-04
3.0000E-01,-1.1114E+00,-1.1114E+00,0.0000E+00
4.0000E-01,-1.1163E+00,-1.1138E+00,2.4335E-03
5.0000E-01,-1.1210E+00,-1.1174E+00,3.6502E-03
6.0000E-01,-1.1226E+00,-1.1227E+00,-1.0139E-04
7.0000E-01,-1.1230E+00,-1.1195E+00,3.4474E-03
8.0000E-01,-1.1205E+00,-1.1210E+00,-5.0697E-04
9.0000E-01,-1.1191E+00,-1.1068E+00,1.2370E-02
1.0000E+00,-1.0646E+00,-1.0370E+00,2.7579E-02
1.1000E+00,-1.0298E+00,-1.0254E+00,4.3600E-03
1.2000E+00,-1.0187E+00,-1.0138E+00,4.9683E-03
1.3000E+00,-1.0116E+00,-1.0059E+00,5.7795E-03
1.4000E+00,-1.0030E+00,-9.9451E-01,8.5172E-03
1.5000E+00,-9.8964E-01,-9.8680E-01,2.8391E-03
1.6000E+00,-9.8457E-01,-9.7433E-01,1.0241E-02
1.7000E+00,-9.7301E-01,-9.6449E-01,8.5172E-03
1.8000E+00,-9.5730E-01,-9.4979E-01,7.5032E-03
1.9000E+00,-9.4452E-01,-9.3732E-01,7.1990E-03
2.0000E+00,-9.3164E-01,-9.2465E-01,6.9962E-03
2.1000E+00,-9.1552E-01,-9.1126E-01,4.2586E-03
2.2000E+00,-9.0893E-01,-9.0579E-01,3.1432E-03
2.3000E+00,-9.0711E-01,-9.0467E-01,2.4335E-03
2.4000E+00,-9.1420E-01,-9.1724E-01,-3.0418E-03
2.5000E+00,-9.3387E-01,-9.3245E-01,1.4195E-03
2.6000E+00,-9.4452E-01,-9.4655E-01,-2.0279E-03
2.7000E+00,-9.5780E-01,-9.5821E-01,-4.0558E-04
2.8000E+00,-9.5628E-01,-9.6145E-01,-5.1711E-03
2.9000E+00,-9.6835E-01,-9.7119E-01,-2.8391E-03
3.0000E+00,-9.7555E-01,-9.7585E-01,-3.0418E-04
3.1000E+00,-9.7534E-01,-9.6977E-01,5.5767E-03
3.2000E+00,-9.7778E-01,-9.7494E-01,2.8391E-03
3.3000E+00,-9.8102E-01,-9.7210E-01,8.9227E-03
3.4000E+00,-9.7311E-01,-9.7048E-01,2.6363E-03
3.5000E+00,-9.7321E-01,-9.6764E-01,5.5767E-03
3.6000E+00,-9.7068E-01,-9.6510E-01,5.5767E-03
3.7000E+00,-9.6612E-01,-9.5861E-01,7.5032E-03
3.8000E+00,-9.5679E-01,-9.4979E-01,6.9962E-03
3.9000E+00,-9.5415E-01,-9.4624E-01,7.9088E-03
4.0000E+00,-9.4939E-01,-9.4422E-01,5.1711E-03
4.1000E+00,-9.4310E-01,-9.4188E-01,1.2167E-03
