x_length,laser_off,laser_on,dV
0.0000E+00,-8.4414E-01,-8.3988E-01,4.2586E-03
1.0000E-01,-8.3015E-01,-8.2467E-01,5.4753E-03
2.0000E-01,-8.1210E-01,-8.0814E-01,3.9544E-03
3.0000E-01,-7.9283E-01,-7.8381E-01,9.0241E-03
4.0000E-01,-7.7620E-01,-7.6688E-01,9.3283E-03
5.0000E-01,-7.5623E-01,-7.5065E-01,5.5767E-03
6.0000E-01,-7.4143E-01,-7.3767E-01,3.7516E-03
7.0000E-01,-7.2399E-01,-7.2236E-01,1.6223E-03
8.0000E-01,-7.1375E-01,-7.0807E-01,5.6781E-03
9.0000E-01,-7.0127E-01,-7.0229E-01,-1.0139E-03
1.0000E+00,-6.9570E-01,-6.9174E-01,3.9544E-03
1.1000E+00,-6.8677E-01,-6.8444E-01,2.3321E-03
1.2000E+00,-6.8241E-01,-6.8211E-01,3.0418E-04
1.3000E+00,-6.7724E-01,-6.7136E-01,5.8809E-03
1.4000E+00,-6.6913E-01,-6.6984E-01,-7.0976E-04
1.5000E+00,-6.6386E-01,-6.5980E-01,4.0558E-03
1.6000E+00,-6.5930E-01,-6.5250E-01,6.7934E-03
1.7000E+00,-6.5402E-01,-6.4662E-01,7.4018E-03
1.8000E+00,-6.4409E-01,-6.4317E-01,9.1255E-04
1.9000E+00,-6.4246E-01,-6.3942E-01,3.0418E-03
2.0000E+00,-6.3719E-01,-6.3456E-01,2.6363E-03
2.1000E+00,-6.3405E-01,-6.3009E-01,3.9544E-03
2.2000E+00,-6.2807E-01,-6.2188E-01,6.1851E-03
2.3000E+00,-6.2391E-01,-6.2168E-01,2.2307E-03
2.4000E+00,-6.1762E-01,-6.1732E-01,3.0418E-04
2.5000E+00,-6.1529E-01,-6.1570E-01,-4.0558E-04
2.6000E+00,-6.0819E-01,-6.0789E-01,3.0418E-04
2.7000E+00,-6.0606E-01,-6.0485E-01,1.2167E-03
2.8000E+00,-6.0323E-01,-6.0252E-01,7.0976E-04
2.9000E+00,-6.0018E-01,-5.9846E-01,1.7237E-03
3.0000E+00,-5.9674E-01,-5.9663E-01,1.0139E-04
3.1000E+00,-5.9532E-01,-5.9562E-01,-3.0418E-04
3.2000E+00,-5.9207E-01,-5.8994E-01,2.1293E-03
3.3000E+00,-5.8913E-01,-5.8893E-01,2.0279E-04
3.4000E+00,-5.8619E-01,-5.8609E-01,1.0139E-04
3.5000E+00,-5.8203E-01,-5.8011E-01,1.9265E-03
3.6000E+00,-5.7646E-01,-5.7980E-01,-3.3460E-03
3.7000E+00,-5.7342E-01,-5.7412E-01,-7.0976E-04
3.8000E+00,-5.6439E-01,-5.6662E-01,-2.2307E-03
3.9000E+00,-5.6307E-01,-5.6409E-01,-1.0139E-03
4.0000E+00,-5.6226E-01,-5.6145E-01,8.1116E-04
4.1000E+00,-5.5952E-01,-5.6104E-01,-1.5209E-03
4.2000E+00,-5.5881E-01,-5.5912E-01,-3.0418E-04
4.3000E+00,-5.6044E-01,-5.6054E-01,-1.0139E-04
4.4000E+00,-5.6155E-01,-5.5821E-01,3.3460E-03
4.5000E+00,-5.5506E-01,-5.5283E-01,2.2307E-03
4.6000E+00,-5.5141E-01,-5.5425E-01,-2.8391E-03
4.7000E+00,-5.4665E-01,-5.4513E-01,1.5209E-03
4.8000E+00,-5.4350E-01,-5.4097E-01,2.5349E-03
4.9000E+00,-5.3904E-01,-5.3975E-01,-7.0976E-04
5.0000E+00,-5.3924E-01,-5.4259E-01,-3.3460E-03
5.1000E+00,-5.3955E-01,-5.3904E-01,5.0697E-04
5.2000E+00,-5.4036E-01,-5.3894E-01,1.4195E-03
5.3000E+00,-5.3955E-01,-5.3894E-01,6.0837E-04
5.4000E+00,-5.4117E-01,-5.3914E-01,2.0279E-03
5.5000E+00,-5.3955E-01,-5.3884E-01,7.0976E-04
5.6000E+00,-5.3813E-01,-5.3742E-01,7.0976E-04
5.7000E+00,-5.3914E-01,-5.3823E-01,9.1255E-04
5.8000E+00,-5.3894E-01,-5.3793E-01,1.0139E-03
5.9000E+00,-5.3539E-01,-5.3255E-01,2.8391E-03
6.0000E+00,-5.3144E-01,-5.3245E-01,-1.0139E-03
6.1000E+00,-5.2860E-01,-5.3063E-01,-2.0279E-03
6.2000E+00,-5.2971E-01,-5.3032E-01,-6.0837E-04
6.3000E+00,-5.2485E-01,-5.2799E-01,-3.1432E-03
6.4000E+00,-5.2718E-01,-5.2505E-01,2.1293E-03
6.5000E+00,-5.2444E-01,-5.2333E-01,1.1153E-03
6.6000E+00,-5.2221E-01,-5.2404E-01,-1.8251E-03
6.7000E+00,-5.2272E-01,-5.2393E-01,-1.2167E-03
6.8000E+00,-5.2130E-01,-5.1755E-01,3.7516E-03
6.9000E+00,-5.1603E-01,-5.1329E-01,2.7377E-03
7.0000E+00,-5.1359E-01,-5.1319E-01,4.0558E-04
7.1000E+00,-5.1471E-01,-5.1390E-01,8.1116E-04
7.2000E+00,-5.1592E-01,-5.1450E-01,1.4195E-03
7.3000E+00,-5.1917E-01,-5.1532E-01,3.8530E-03
7.4000E+00,-5.2262E-01,-5.1968E-01,2.9404E-03
7.5000E+00,-5.2464E-01,-5.2231E-01,2.3321E-03
7.6000E+00,-5.2069E-01,-5.1917E-01,1.5209E-03
7.7000E+00,-5.1785E-01,-5.1562E-01,2.2307E-03
7.8000E+00,-5.1369E-01,-5.1248E-01,1.2167E-03
7.9000E+00,-5.0832E-01,-5.0903E-01,-7.0976E-04
8.0000E+00,-5.0376E-01,-5.0680E-01,-3.0418E-03
8.1000E+00,-5.0051E-01,-5.0203E-01,-1.5209E-03
8.2000E+00,-4.9848E-01,-5.0061E-01,-2.1293E-03
8.3000E+00,-5.0011E-01,-4.9859E-01,1.5209E-03
8.4000E+00,-4.9909E-01,-4.9909E-01,0.0000E+00
8.5000E+00,-4.9767E-01,-4.9889E-01,-1.2167E-03
8.6000E+00,-4.9291E-01,-4.9859E-01,-5.6781E-03
8.7000E+00,-4.9362E-01,-4.9129E-01,2.3321E-03
8.8000E+00,-4.8743E-01,-4.8946E-01,-2.0279E-03
8.9000E+00,-4.8601E-01,-4.8409E-01,1.9265E-03
9.0000E+00,-4.8206E-01,-4.8074E-01,1.3181E-03
9.1000E+00,-4.8084E-01,-4.7942E-01,1.4195E-03
9.2000E+00,-4.7841E-01,-4.7800E-01,4.0558E-04
9.3000E+00,-4.7395E-01,-4.7861E-01,-4.6642E-03
9.4000E+00,-4.7902E-01,-4.7679E-01,2.2307E-03
9.5000E+00,-4.7881E-01,-4.7750E-01,1.3181E-03
9.6000E+00,-4.7841E-01,-4.7729E-01,1.1153E-03
9.7000E+00,-4.7750E-01,-4.7831E-01,-8.1116E-04
9.8000E+00,-4.7648E-01,-4.7587E-01,6.0837E-04
9.9000E+00,-4.7658E-01,-4.8054E-01,-3.9544E-03
