x_length,laser_off,laser_on,dV
0.0000E+00,-6.1164E-01,-6.1093E-01,7.0976E-04
1.0000E-01,-6.0708E-01,-6.0373E-01,3.3460E-03
2.0000E-01,-6.0799E-01,-6.0535E-01,2.6363E-03
3.0000E-01,-6.1691E-01,-6.1661E-01,3.0418E-04
4.0000E-01,-6.2726E-01,-6.2807E-01,-8.1116E-04
5.0000E-01,-6.3304E-01,-6.3435E-01,-1.3181E-03
6.0000E-01,-6.3344E-01,-6.3638E-01,-2.9404E-03
7.0000E-01,-6.3740E-01,-6.3587E-01,1.5209E-03
8.0000E-01,-6.3699E-01,-6.3537E-01,1.6223E-03
9.0000E-01,-6.3709E-01,-6.3567E-01,1.4195E-03
1.0000E+00,-6.4176E-01,-6.4186E-01,-1.0139E-04
1.1000E+00,-6.4439E-01,-6.4246E-01,1.9265E-03
1.2000E+00,-6.4672E-01,-6.4662E-01,1.0139E-04
1.3000E+00,-6.4206E-01,-6.3851E-01,3.5488E-03
1.4000E+00,-6.3374E-01,-6.3009E-01,3.6502E-03
1.5000E+00,-6.2604E-01,-6.2300E-01,3.0418E-03
1.6000E+00,-6.2006E-01,-6.2036E-01,-3.0418E-04
1.7000E+00,-6.1732E-01,-6.1560E-01,1.7237E-03
1.8000E+00,-6.1722E-01,-6.1448E-01,2.7377E-03
1.9000E+00,-6.2168E-01,-6.1874E-01,2.9404E-03
2.0000E+00,-6.2016E-01,-6.1884E-01,1.3181E-03
2.1000E+00,-6.0890E-01,-6.0708E-01,1.8251E-03
2.2000E+00,-5.8903E-01,-5.8731E-01,1.7237E-03
2.3000E+00,-5.5709E-01,-5.5050E-01,6.5907E-03
2.4000E+00,-5.1724E-01,-5.1004E-01,7.1990E-03
2.5000E+00,-4.7435E-01,-4.6563E-01,8.7199E-03
2.6000E+00,-4.4120E-01,-4.3542E-01,5.7795E-03
2.7000E+00,-4.1433E-01,-4.1585E-01,-1.5209E-03
2.8000E+00,-4.0611E-01,-4.0135E-01,4.7656E-03
2.9000E+00,-4.0267E-01,-4.0409E-01,-1.4195E-03
3.0000E+00,-4.0672E-01,-4.0409E-01,2.6363E-03
3.1000E+00,-4.1240E-01,-4.1291E-01,-5.0697E-04
3.2000E+00,-4.2051E-01,-4.2071E-01,-2.0279E-04
3.3000E+00,-4.2710E-01,-4.2660E-01,5.0697E-04
3.4000E+00,-4.3035E-01,-4.3167E-01,-1.3181E-03
3.5000E+00,-4.3613E-01,-4.3704E-01,-9.1255E-04
3.6000E+00,-4.4099E-01,-4.4130E-01,-3.0418E-04
3.7000E+00,-4.4333E-01,-4.4829E-01,-4.9683E-03
3.8000E+00,-4.4809E-01,-4.4860E-01,-5.0697E-04
3.9000E+00,-4.4302E-01,-4.4099E-01,2.0279E-03
4.0000E+00,-4.3623E-01,-4.3521E-01,1.0139E-03
4.1000E+00,-4.2943E-01,-4.2822E-01,1.2167E-03
4.2000E+00,-4.2771E-01,-4.2812E-01,-4.0558E-04
4.3000E+00,-4.3663E-01,-4.4049E-01,-3.8530E-03
4.4000E+00,-4.5641E-01,-4.5752E-01,-1.1153E-03
4.5000E+00,-4.8510E-01,-4.8642E-01,-1.3181E-03
4.6000E+00,-5.1349E-01,-5.1694E-01,-3.4474E-03
4.7000E+00,-5.4249E-01,-5.4796E-01,-5.4753E-03
4.8000E+00,-5.6267E-01,-5.6277E-01,-1.0139E-04
4.9000E+00,-5.7200E-01,-5.7260E-01,-6.0837E-04
5.0000E+00,-5.7240E-01,-5.7230E-01,1.0139E-04
5.1000E+00,-5.7747E-01,-5.7859E-01,-1.1153E-03
5.2000E+00,-5.8203E-01,-5.8041E-01,1.6223E-03
5.3000E+00,-5.8406E-01,-5.8274E-01,1.3181E-03
5.4000E+00,-5.8579E-01,-5.8477E-01,1.0139E-03
5.5000E+00,-5.7960E-01,-5.7919E-01,4.0558E-04
5.6000E+00,-5.7088E-01,-5.6733E-01,3.5488E-03
5.7000E+00,-5.5232E-01,-5.5030E-01,2.0279E-03
5.8000E+00,-5.3194E-01,-5.3113E-01,8.1116E-04
5.9000E+00,-5.0700E-01,-5.0305E-01,3.9544E-03
6.0000E+00,-4.8287E-01,-4.7942E-01,3.4474E-03
6.1000E+00,-4.4819E-01,-4.4475E-01,3.4474E-03
6.2000E+00,-4.1098E-01,-4.0601E-01,4.9683E-03
6.3000E+00,-3.4903E-01,-3.4386E-01,5.1711E-03
6.4000E+00,-2.7978E-01,-2.7481E-01,4.9683E-03
6.5000E+00,-1.9978E-01,-1.9481E-01,4.9683E-03
6.6000E+00,-1.3032E-01,-1.2657E-01,3.7516E-03
6.7000E+00,-7.6986E-02,-7.5161E-02,1.8251E-03
6.8000E+00,-6.0966E-02,-5.9445E-02,1.5209E-03
6.9000E+00,-4.4844E-02,-4.6162E-02,-1.3181E-03
7.0000E+00,-3.8254E-02,-3.6733E-02,1.5209E-03
7.1000E+00,-3.0953E-02,-2.9128E-02,1.8251E-03
7.2000E+00,-2.1929E-02,-2.1726E-02,2.0279E-04
7.3000E+00,-1.7569E-02,-1.8380E-02,-8.1116E-04
7.4000E+00,-1.3615E-02,-1.1688E-02,1.9265E-03
7.5000E+00,-6.1114E-03,-3.2723E-03,2.8391E-03
7.6000E+00,7.8347E-04,7.8347E-04,7.5894E-19
7.7000E+00,5.4476E-03,7.8811E-03,2.4335E-03
7.8000E+00,1.1633E-02,1.4168E-02,2.5349E-03
7.9000E+00,2.0353E-02,2.0758E-02,4.0558E-04
8.0000E+00,2.5422E-02,2.7349E-02,1.9265E-03
8.1000E+00,3.3230E-02,3.6474E-02,3.2446E-03
8.2000E+00,3.9313E-02,3.9516E-02,2.0279E-04
8.3000E+00,4.1950E-02,4.2457E-02,5.0697E-04
8.4000E+00,4.6614E-02,4.7324E-02,7.0976E-04
8.5000E+00,4.8439E-02,4.6513E-02,-1.9265E-03
8.6000E+00,4.3065E-02,4.4890E-02,1.8251E-03
8.7000E+00,4.4383E-02,4.1139E-02,-3.2446E-03
8.8000E+00,4.2355E-02,4.3775E-02,1.4195E-03
8.9000E+00,4.6208E-02,4.7831E-02,1.6223E-03
9.0000E+00,5.5232E-02,5.5435E-02,2.0279E-04
9.1000E+00,5.7159E-02,5.7970E-02,8.1116E-04
9.2000E+00,4.9352E-02,5.1278E-02,1.9265E-03
9.3000E+00,3.9212E-02,4.0834E-02,1.6223E-03
9.4000E+00,2.6132E-02,2.5727E-02,-4.0558E-04
9.5000E+00,1.4269E-02,9.5034E-03,-4.7656E-03
9.6000E+00,-1.3458E-03,1.7510E-04,1.5209E-03
9.7000E+00,-1.3209E-02,-9.0518E-03,4.1572E-03
9.8000E+00,-1.9800E-02,-2.0509E-02,-7.0976E-04
9.9000E+00,-2.1118E-02,-2.0915E-02,2.0279E-04
