x_length,laser_off,laser_on,dV
0.0000E+00,1.1835E-02,1.2140E-02,3.0418E-04
1.0000E-01,1.7108E-02,1.2951E-02,-4.1572E-03
2.0000E-01,1.0923E-02,1.4877E-02,3.9544E-03
3.0000E-01,1.7209E-02,1.3052E-02,-4.1572E-03
4.0000E-01,1.6601E-02,1.8832E-02,2.2307E-03
5.0000E-01,1.8325E-02,2.3901E-02,5.5767E-03
6.0000E-01,2.2583E-02,2.6639E-02,4.0558E-03
7.0000E-01,2.5220E-02,2.5220E-02,6.9389E-18
8.0000E-01,2.9782E-02,2.7450E-02,-2.3321E-03
9.0000E-01,2.4510E-02,2.8261E-02,3.7516E-03
1.0000E+00,2.6132E-02,2.3293E-02,-2.8391E-03
1.1000E+00,2.5929E-02,2.4814E-02,-1.1153E-03
1.2000E+00,2.7856E-02,2.5828E-02,-2.0279E-03
1.3000E+00,2.7349E-02,2.5321E-02,-2.0279E-03
1.4000E+00,2.3800E-02,2.4003E-02,2.0279E-04
1.5000E+00,1.8325E-02,2.1164E-02,2.8391E-03
1.6000E+00,2.0048E-02,2.3901E-02,3.8530E-03
1.7000E+00,2.5828E-02,2.4003E-02,-1.8251E-03
1.8000E+00,1.9035E-02,2.2279E-02,3.2446E-03
1.9000E+00,2.2786E-02,2.2888E-02,1.0139E-04
2.0000E+00,1.8528E-02,1.6804E-02,-1.7237E-03
2.1000E+00,2.0048E-02,1.9846E-02,-2.0279E-04
2.2000E+00,1.7716E-02,1.1937E-02,-5.7795E-03
2.3000E+00,1.3458E-02,1.6601E-02,3.1432E-03
2.4000E+00,1.4573E-02,1.3255E-02,-1.3181E-03
2.5000E+00,9.9090E-03,1.7818E-02,7.9088E-03
2.6000E+00,1.3863E-02,1.4472E-02,6.0837E-04
2.7000E+00,1.4370E-02,1.1734E-02,-2.6363E-03
2.8000E+00,1.4877E-02,1.2951E-02,-1.9265E-03
2.9000E+00,1.4573E-02,1.4066E-02,-5.0697E-04
3.0000E+00,1.4066E-02,1.2241E-02,-1.8251E-03
3.1000E+00,8.1853E-03,7.9825E-03,-2.0279E-04
3.2000E+00,3.2169E-03,1.0720E-02,7.5032E-03
3.3000E+00,4.4337E-03,4.4337E-03,-8.6736E-19
3.4000E+00,4.7929E-04,6.8208E-04,2.0279E-04
3.5000E+00,-5.3002E-03,2.9128E-03,8.2130E-03
3.6000E+00,-7.4295E-03,-3.7793E-03,3.6502E-03
3.7000E+00,-8.3421E-03,-5.9086E-03,2.4335E-03
3.8000E+00,-1.1587E-02,-4.8946E-03,6.6921E-03
