x_length,laser_off,laser_on,dV
0.0000E+00,-2.6112E-01,-2.6021E-01,9.1255E-04
1.0000E-01,-2.4256E-01,-2.4277E-01,-2.0279E-04
2.0000E-01,-2.3222E-01,-2.3232E-01,-1.0139E-04
3.0000E-01,-2.2766E-01,-2.2137E-01,6.2865E-03
4.0000E-01,-2.2776E-01,-2.2654E-01,1.2167E-03
5.0000E-01,-2.2908E-01,-2.3618E-01,-7.0976E-03
6.0000E-01,-2.4023E-01,-2.4358E-01,-3.3460E-03
7.0000E-01,-2.5676E-01,-2.4804E-01,8.7199E-03
8.0000E-01,-2.6142E-01,-2.6477E-01,-3.3460E-03
9.0000E-01,-2.7562E-01,-2.7207E-01,3.5488E-03
1.0000E+00,-2.7075E-01,-2.7298E-01,-2.2307E-03
1.1000E+00,-2.6112E-01,-2.5858E-01,2.5349E-03
1.2000E+00,-2.4561E-01,-2.4703E-01,-1.4195E-03
1.3000E+00,-2.3678E-01,-2.3597E-01,8.1116E-04
1.4000E+00,-2.3060E-01,-2.3232E-01,-1.7237E-03
1.5000E+00,-2.2837E-01,-2.3395E-01,-5.5767E-03
1.6000E+00,-2.3111E-01,-2.3141E-01,-3.0418E-04
1.7000E+00,-2.2127E-01,-2.2735E-01,-6.0837E-03
1.8000E+00,-2.1164E-01,-2.1600E-01,-4.3600E-03
1.9000E+00,-2.0353E-01,-2.0150E-01,2.0279E-03
2.0000E+00,-1.9967E-01,-1.9481E-01,4.8669E-03
2.1000E+00,-1.9957E-01,-1.9744E-01,2.1293E-03
2.2000E+00,-2.0495E-01,-2.0312E-01,1.8251E-03
2.3000E+00,-2.1945E-01,-2.1448E-01,4.9683E-03
2.4000E+00,-2.2999E-01,-2.2786E-01,2.1293E-03
2.5000E+00,-2.2350E-01,-2.2766E-01,-4.1572E-03
2.6000E+00,-2.1245E-01,-2.1255E-01,-1.0139E-04
2.7000E+00,-1.9471E-01,-2.0160E-01,-6.8948E-03
2.8000E+00,-1.9308E-01,-1.9247E-01,6.0837E-04
2.9000E+00,-1.9237E-01,-1.9359E-01,-1.2167E-03
3.0000E+00,-1.9136E-01,-1.9978E-01,-8.4158E-03
3.1000E+00,-1.8710E-01,-1.9511E-01,-8.0102E-03
3.2000E+00,-1.7980E-01,-1.7919E-01,6.0837E-04
3.3000E+00,-1.6865E-01,-1.6844E-01,2.0279E-04
3.4000E+00,-1.5719E-01,-1.6256E-01,-5.3739E-03
3.5000E+00,-1.6601E-01,-1.6378E-01,2.2307E-03
3.6000E+00,-1.7351E-01,-1.7382E-01,-3.0418E-04
3.7000E+00,-1.7493E-01,-1.7970E-01,-4.7656E-03
3.8000E+00,-1.7321E-01,-1.7159E-01,1.6223E-03
3.9000E+00,-1.6702E-01,-1.7108E-01,-4.0558E-03
4.0000E+00,-1.6246E-01,-1.6479E-01,-2.3321E-03
4.1000E+00,-1.6033E-01,-1.6317E-01,-2.8391E-03
4.2000E+00,-1.6561E-01,-1.6307E-01,2.5349E-03
4.3000E+00,-1.6287E-01,-1.6571E-01,-2.8391E-03
4.4000E+00,-1.6459E-01,-1.6591E-01,-1.3181E-03
4.5000E+00,-1.6206E-01,-1.5800E-01,4.0558E-03
4.6000E+00,-1.5760E-01,-1.5668E-01,9.1255E-04
4.7000E+00,-1.5841E-01,-1.5952E-01,-1.1153E-03
4.8000E+00,-1.5465E-01,-1.5506E-01,-4.0558E-04
4.9000E+00,-1.5567E-01,-1.4786E-01,7.8074E-03
5.0000E+00,-1.5455E-01,-1.5465E-01,-1.0139E-04
5.1000E+00,-1.5029E-01,-1.4857E-01,1.7237E-03
5.2000E+00,-1.5689E-01,-1.4898E-01,7.9088E-03
5.3000E+00,-1.6490E-01,-1.5019E-01,1.4702E-02
5.4000E+00,-1.6449E-01,-1.5405E-01,1.0444E-02
5.5000E+00,-1.6348E-01,-1.5486E-01,8.6186E-03
5.6000E+00,-1.6368E-01,-1.6135E-01,2.3321E-03
5.7000E+00,-1.6013E-01,-1.5962E-01,5.0697E-04
5.8000E+00,-1.7574E-01,-1.6337E-01,1.2370E-02
5.9000E+00,-1.9075E-01,-1.8345E-01,7.3004E-03
6.0000E+00,-2.2725E-01,-2.2249E-01,4.7656E-03
6.1000E+00,-2.5970E-01,-2.4915E-01,1.0545E-02
6.2000E+00,-2.7217E-01,-2.6791E-01,4.2586E-03
6.3000E+00,-2.8008E-01,-2.7653E-01,3.5488E-03
6.4000E+00,-2.7491E-01,-2.7815E-01,-3.2446E-03
6.5000E+00,-2.7177E-01,-2.6923E-01,2.5349E-03
6.6000E+00,-2.6416E-01,-2.6183E-01,2.3321E-03
6.7000E+00,-2.4804E-01,-2.3922E-01,8.8213E-03
6.8000E+00,-2.3131E-01,-2.2959E-01,1.7237E-03
6.9000E+00,-2.2046E-01,-2.2127E-01,-8.1116E-04
7.0000E+00,-2.1691E-01,-2.1164E-01,5.2725E-03
7.1000E+00,-2.1022E-01,-2.1448E-01,-4.2586E-03
7.2000E+00,-2.0819E-01,-2.1306E-01,-4.8669E-03
7.3000E+00,-2.1630E-01,-2.1062E-01,5.6781E-03
7.4000E+00,-2.2127E-01,-2.1377E-01,7.5032E-03
7.5000E+00,-2.2553E-01,-2.2370E-01,1.8251E-03
7.6000E+00,-2.3567E-01,-2.3354E-01,2.1293E-03
7.7000E+00,-2.3871E-01,-2.4033E-01,-1.6223E-03
7.8000E+00,-2.3618E-01,-2.3851E-01,-2.3321E-03
7.9000E+00,-2.3263E-01,-2.3597E-01,-3.3460E-03
8.0000E+00,-2.2462E-01,-2.2076E-01,3.8530E-03
8.1000E+00,-2.0850E-01,-2.0474E-01,3.7516E-03
8.2000E+00,-1.9957E-01,-2.0089E-01,-1.3181E-03
8.3000E+00,-1.9917E-01,-2.0099E-01,-1.8251E-03
8.4000E+00,-2.1397E-01,-2.1701E-01,-3.0418E-03
8.5000E+00,-2.3729E-01,-2.4236E-01,-5.0697E-03
8.6000E+00,-2.6345E-01,-2.6791E-01,-4.4614E-03
8.7000E+00,-2.9235E-01,-2.9306E-01,-7.0976E-04
8.8000E+00,-3.1242E-01,-3.1019E-01,2.2307E-03
8.9000E+00,-3.2033E-01,-3.2084E-01,-5.0697E-04
9.0000E+00,-3.2824E-01,-3.2986E-01,-1.6223E-03
9.1000E+00,-3.2378E-01,-3.3047E-01,-6.6921E-03
9.2000E+00,-3.2662E-01,-3.1993E-01,6.6921E-03
9.3000E+00,-3.2895E-01,-3.2500E-01,3.9544E-03
9.4000E+00,-3.4467E-01,-3.4923E-01,-4.5628E-03
9.5000E+00,-3.7509E-01,-3.7539E-01,-3.0418E-04
9.6000E+00,-3.9709E-01,-3.9415E-01,2.9404E-03
9.7000E+00,-4.0997E-01,-4.1260E-01,-2.6363E-03
9.8000E+00,-4.2224E-01,-4.2619E-01,-3.9544E-03
9.9000E+00,-4.2751E-01,-4.3014E-01,-2.6363E-03
