x_length,laser_off,laser_on,dV
0.0000E+00,-1.4506E+00,-1.4396E+00,1.0951E-02
1.0000E-01,-1.4496E+00,-1.4452E+00,4.3600E-03
2.0000E-01,-1.4481E+00,-1.4569E+00,-8.7199E-03
3.0000E-01,-1.4647E+00,-1.4727E+00,-8.0102E-03
4.0000E-01,-1.4748E+00,-1.4757E+00,-9.1255E-04
5.0000E-01,-1.4746E+00,-1.4747E+00,-1.0139E-04
6.0000E-01,-1.4814E+00,-1.4824E+00,-1.0139E-03
7.0000E-01,-1.4912E+00,-1.4920E+00,-7.0976E-04
8.0000E-01,-1.5026E+00,-1.5008E+00,1.8251E-03
9.0000E-01,-1.5069E+00,-1.5090E+00,-2.1293E-03
1.0000E+00,-1.5150E+00,-1.5191E+00,-4.1572E-03
1.1000E+00,-1.5225E+00,-1.5222E+00,3.0418E-04
1.2000E+00,-1.5249E+00,-1.5303E+00,-5.3739E-03
1.3000E+00,-1.5271E+00,-1.5313E+00,-4.1572E-03
1.4000E+00,-1.5343E+00,-1.5325E+00,1.8251E-03
1.5000E+00,-1.5398E+00,-1.5410E+00,-1.2167E-03
1.6000E+00,-1.5468E+00,-1.5424E+00,4.3600E-03
1.7000E+00,-1.5463E+00,-1.5409E+00,5.3739E-03
1.8000E+00,-1.5508E+00,-1.5435E+00,7.3004E-03
1.9000E+00,-1.5456E+00,-1.5516E+00,-5.9823E-03
2.0000E+00,-1.5579E+00,-1.5615E+00,-3.6502E-03
2.1000E+00,-1.5635E+00,-1.5732E+00,-9.6325E-03
2.2000E+00,-1.5669E+00,-1.5720E+00,-5.0697E-03
2.3000E+00,-1.5674E+00,-1.5733E+00,-5.8809E-03
2.4000E+00,-1.5791E+00,-1.5822E+00,-3.0418E-03
2.5000E+00,-1.5823E+00,-1.5824E+00,-1.0139E-04
2.6000E+00,-1.5852E+00,-1.5874E+00,-2.1293E-03
2.7000E+00,-1.5917E+00,-1.5955E+00,-3.7516E-03
2.8000E+00,-1.5911E+00,-1.5935E+00,-2.4335E-03
2.9000E+00,-1.5968E+00,-1.6040E+00,-7.1990E-03
3.0000E+00,-1.5991E+00,-1.6037E+00,-4.5628E-03
3.1000E+00,-1.5974E+00,-1.5991E+00,-1.7237E-03
3.2000E+00,-1.6053E+00,-1.6064E+00,-1.1153E-03
3.3000E+00,-1.6059E+00,-1.6085E+00,-2.5349E-03
3.4000E+00,-1.6133E+00,-1.6076E+00,5.6781E-03
3.5000E+00,-1.6127E+00,-1.6101E+00,2.6363E-03
3.6000E+00,-1.6145E+00,-1.6165E+00,-1.9265E-03
3.7000E+00,-1.6242E+00,-1.6234E+00,8.1116E-04
3.8000E+00,-1.6343E+00,-1.6327E+00,1.6223E-03
3.9000E+00,-1.6368E+00,-1.6327E+00,4.1572E-03
4.0000E+00,-1.6454E+00,-1.6516E+00,-6.2865E-03
4.1000E+00,-1.6489E+00,-1.6610E+00,-1.2066E-02
4.2000E+00,-1.6562E+00,-1.6655E+00,-9.3283E-03
4.3000E+00,-1.6565E+00,-1.6707E+00,-1.4195E-02
4.4000E+00,-1.6780E+00,-1.6915E+00,-1.3486E-02
