x_length,laser_off,laser_on,dV
0.0000E+00,-3.3149E-01,-3.3392E-01,-2.4335E-03
1.0000E-01,-3.3575E-01,-3.3352E-01,2.2307E-03
2.0000E-01,-3.2784E-01,-3.3352E-01,-5.6781E-03
3.0000E-01,-3.3301E-01,-3.3635E-01,-3.3460E-03
4.0000E-01,-3.3747E-01,-3.4071E-01,-3.2446E-03
5.0000E-01,-3.4690E-01,-3.4649E-01,4.0558E-04
6.0000E-01,-3.4365E-01,-3.4487E-01,-1.2167E-03
7.0000E-01,-3.4031E-01,-3.4315E-01,-2.8391E-03
8.0000E-01,-3.3929E-01,-3.4163E-01,-2.3321E-03
9.0000E-01,-3.4021E-01,-3.4223E-01,-2.0279E-03
1.0000E+00,-3.3919E-01,-3.4315E-01,-3.9544E-03
1.1000E+00,-3.3808E-01,-3.4071E-01,-2.6363E-03
1.2000E+00,-3.3808E-01,-3.4386E-01,-5.7795E-03
1.3000E+00,-3.4021E-01,-3.3990E-01,3.0418E-04
1.4000E+00,-3.3788E-01,-3.4102E-01,-3.1432E-03
1.5000E+00,-3.4000E-01,-3.4173E-01,-1.7237E-03
1.6000E+00,-3.3798E-01,-3.3463E-01,3.3460E-03
1.7000E+00,-3.3646E-01,-3.4680E-01,-1.0342E-02
1.8000E+00,-3.3767E-01,-3.4153E-01,-3.8530E-03
1.9000E+00,-3.4061E-01,-3.4426E-01,-3.6502E-03
2.0000E+00,-3.4325E-01,-3.4426E-01,-1.0139E-03
2.1000E+00,-3.4518E-01,-3.4649E-01,-1.3181E-03
2.2000E+00,-3.4213E-01,-3.3686E-01,5.2725E-03
2.3000E+00,-3.4021E-01,-3.4578E-01,-5.5767E-03
2.4000E+00,-3.3940E-01,-3.3504E-01,4.3600E-03
2.5000E+00,-3.3970E-01,-3.4518E-01,-5.4753E-03
2.6000E+00,-3.3737E-01,-3.3960E-01,-2.2307E-03
2.7000E+00,-3.4244E-01,-3.4578E-01,-3.3460E-03
2.8000E+00,-3.3970E-01,-3.3615E-01,3.5488E-03
2.9000E+00,-3.3575E-01,-3.3767E-01,-1.9265E-03
3.0000E+00,-3.3524E-01,-3.3483E-01,4.0558E-04
3.1000E+00,-3.3240E-01,-3.3686E-01,-4.4614E-03
3.2000E+00,-3.3666E-01,-3.3767E-01,-1.0139E-03
3.3000E+00,-3.3940E-01,-3.4751E-01,-8.1116E-03
3.4000E+00,-3.3818E-01,-3.3767E-01,5.0697E-04
3.5000E+00,-3.4041E-01,-3.4659E-01,-6.1851E-03
3.6000E+00,-3.4122E-01,-3.4842E-01,-7.1990E-03
3.7000E+00,-3.4751E-01,-3.5471E-01,-7.1990E-03
3.8000E+00,-3.4477E-01,-3.4812E-01,-3.3460E-03
3.9000E+00,-3.4092E-01,-3.5217E-01,-1.1255E-02
4.0000E+00,-3.3889E-01,-3.5136E-01,-1.2472E-02
4.1000E+00,-3.3828E-01,-3.6241E-01,-2.4132E-02
4.2000E+00,-3.3838E-01,-3.7316E-01,-3.4778E-02
4.3000E+00,-3.3950E-01,-3.7935E-01,-3.9848E-02
4.4000E+00,-3.3879E-01,-3.8482E-01,-4.6033E-02
4.5000E+00,-3.3727E-01,-3.8624E-01,-4.8974E-02
4.6000E+00,-3.3524E-01,-3.8472E-01,-4.9481E-02
4.7000E+00,-3.3788E-01,-3.8634E-01,-4.8467E-02
4.8000E+00,-3.3605E-01,-3.7782E-01,-4.1775E-02
4.9000E+00,-3.3493E-01,-3.7448E-01,-3.9544E-02
5.0000E+00,-3.3453E-01,-3.7428E-01,-3.9747E-02
5.1000E+00,-3.3453E-01,-3.7184E-01,-3.7313E-02
5.2000E+00,-3.3443E-01,-3.7123E-01,-3.6806E-02
5.3000E+00,-3.4041E-01,-3.6282E-01,-2.2408E-02
5.4000E+00,-3.4000E-01,-3.5805E-01,-1.8048E-02
5.5000E+00,-3.3990E-01,-3.5248E-01,-1.2573E-02
5.6000E+00,-3.4436E-01,-3.5035E-01,-5.9823E-03
5.7000E+00,-3.4082E-01,-3.5329E-01,-1.2472E-02
5.8000E+00,-3.4122E-01,-3.4812E-01,-6.8948E-03
5.9000E+00,-3.4234E-01,-3.4862E-01,-6.2865E-03
6.0000E+00,-3.4264E-01,-3.4629E-01,-3.6502E-03
6.1000E+00,-3.3940E-01,-3.4477E-01,-5.3739E-03
6.2000E+00,-3.4082E-01,-3.3899E-01,1.8251E-03
6.3000E+00,-3.4406E-01,-3.4234E-01,1.7237E-03
6.4000E+00,-3.4335E-01,-3.4457E-01,-1.2167E-03
6.5000E+00,-3.4467E-01,-3.4578E-01,-1.1153E-03
6.6000E+00,-3.4335E-01,-3.4619E-01,-2.8391E-03
6.7000E+00,-3.4264E-01,-3.4376E-01,-1.1153E-03
6.8000E+00,-3.4264E-01,-3.4659E-01,-3.9544E-03
6.9000E+00,-3.4223E-01,-3.4578E-01,-3.5488E-03
7.0000E+00,-3.4122E-01,-3.4690E-01,-5.6781E-03
7.1000E+00,-3.4213E-01,-3.4467E-01,-2.5349E-03
7.2000E+00,-3.4376E-01,-3.4528E-01,-1.5209E-03
7.3000E+00,-3.4244E-01,-3.4264E-01,-2.0279E-04
7.4000E+00,-3.3960E-01,-3.4153E-01,-1.9265E-03
7.5000E+00,-3.3838E-01,-3.3818E-01,2.0279E-04
7.6000E+00,-3.3777E-01,-3.3838E-01,-6.0837E-04
7.7000E+00,-3.3534E-01,-3.3858E-01,-3.2446E-03
7.8000E+00,-3.3646E-01,-3.3828E-01,-1.8251E-03
7.9000E+00,-3.3757E-01,-3.3838E-01,-8.1116E-04
8.0000E+00,-3.3706E-01,-3.3696E-01,1.0139E-04
8.1000E+00,-3.4386E-01,-3.4274E-01,1.1153E-03
8.2000E+00,-3.4538E-01,-3.4376E-01,1.6223E-03
8.3000E+00,-3.4629E-01,-3.4568E-01,6.0837E-04
8.4000E+00,-3.3869E-01,-3.4234E-01,-3.6502E-03
8.5000E+00,-3.4305E-01,-3.4386E-01,-8.1116E-04
8.6000E+00,-3.3828E-01,-3.4163E-01,-3.3460E-03
8.7000E+00,-3.3848E-01,-3.4011E-01,-1.6223E-03
8.8000E+00,-3.4122E-01,-3.3858E-01,2.6363E-03
8.9000E+00,-3.3777E-01,-3.3737E-01,4.0558E-04
9.0000E+00,-3.3656E-01,-3.3838E-01,-1.8251E-03
9.1000E+00,-3.3808E-01,-3.3727E-01,8.1116E-04
9.2000E+00,-3.3727E-01,-3.3818E-01,-9.1255E-04
9.3000E+00,-3.3656E-01,-3.3757E-01,-1.0139E-03
9.4000E+00,-3.3858E-01,-3.3595E-01,2.6363E-03
9.5000E+00,-3.3828E-01,-3.3646E-01,1.8251E-03
9.6000E+00,-3.3524E-01,-3.3747E-01,-2.2307E-03
9.7000E+00,-3.3960E-01,-3.3919E-01,4.0558E-04
9.8000E+00,-3.3940E-01,-3.3777E-01,1.6223E-03
9.9000E+00,-3.3848E-01,-3.3686E-01,1.6223E-03
