x_length,laser_off,laser_on,dV
0.0000E+00,-4.4505E-01,-4.4971E-01,-4.6642E-03
1.0000E-01,-4.5286E-01,-4.5306E-01,-2.0279E-04
2.0000E-01,-4.5316E-01,-4.5336E-01,-2.0279E-04
3.0000E-01,-4.5296E-01,-4.5235E-01,6.0837E-04
4.0000E-01,-4.5194E-01,-4.5052E-01,1.4195E-03
5.0000E-01,-4.5539E-01,-4.5347E-01,1.9265E-03
6.0000E-01,-4.5113E-01,-4.4911E-01,2.0279E-03
7.0000E-01,-4.5377E-01,-4.4941E-01,4.3600E-03
8.0000E-01,-4.4109E-01,-4.4535E-01,-4.2586E-03
9.0000E-01,-4.4292E-01,-4.4738E-01,-4.4614E-03
1.0000E+00,-4.4109E-01,-4.4170E-01,-6.0837E-04
1.1000E+00,-4.3542E-01,-4.3613E-01,-7.0976E-04
1.2000E+00,-4.4059E-01,-4.3369E-01,6.8948E-03
1.3000E+00,-4.3876E-01,-4.3390E-01,4.8669E-03
1.4000E+00,-4.3866E-01,-4.3349E-01,5.1711E-03
1.5000E+00,-4.3613E-01,-4.4079E-01,-4.6642E-03
1.6000E+00,-4.3947E-01,-4.3836E-01,1.1153E-03
1.7000E+00,-4.3349E-01,-4.3501E-01,-1.5209E-03
1.8000E+00,-4.4008E-01,-4.3308E-01,6.9962E-03
1.9000E+00,-4.4028E-01,-4.3379E-01,6.4893E-03
2.0000E+00,-4.3450E-01,-4.3268E-01,1.8251E-03
2.1000E+00,-4.3420E-01,-4.3288E-01,1.3181E-03
2.2000E+00,-4.3248E-01,-4.3663E-01,-4.1572E-03
2.3000E+00,-4.3106E-01,-4.3167E-01,-6.0837E-04
2.4000E+00,-4.3714E-01,-4.3501E-01,2.1293E-03
2.5000E+00,-4.3582E-01,-4.3755E-01,-1.7237E-03
2.6000E+00,-4.3755E-01,-4.3126E-01,6.2865E-03
2.7000E+00,-4.3734E-01,-4.3552E-01,1.8251E-03
2.8000E+00,-4.3410E-01,-4.3673E-01,-2.6363E-03
2.9000E+00,-4.2781E-01,-4.4039E-01,-1.2573E-02
