x_length,laser_off,laser_on,dV
0.0000E+00,1.4941E+00,1.4897E+00,-4.4614E-03
1.0000E-01,1.4767E+00,1.4686E+00,-8.1116E-03
2.0000E-01,1.4545E+00,1.4529E+00,-1.6223E-03
3.0000E-01,1.4496E+00,1.4533E+00,3.6502E-03
4.0000E-01,1.4505E+00,1.4481E+00,-2.4335E-03
5.0000E-01,1.4466E+00,1.4384E+00,-8.2130E-03
6.0000E-01,1.4230E+00,1.4131E+00,-9.9367E-03
7.0000E-01,1.3913E+00,1.3863E+00,-4.9683E-03
8.0000E-01,1.3695E+00,1.3663E+00,-3.2446E-03
9.0000E-01,1.3632E+00,1.3585E+00,-4.7656E-03
1.0000E+00,1.3495E+00,1.3406E+00,-8.9227E-03
1.1000E+00,1.3348E+00,1.3285E+00,-6.2865E-03
1.2000E+00,1.3182E+00,1.3102E+00,-8.0102E-03
1.3000E+00,1.3023E+00,1.2988E+00,-3.4474E-03
1.4000E+00,1.2867E+00,1.2793E+00,-7.4018E-03
1.5000E+00,1.2621E+00,1.2562E+00,-5.9823E-03
1.6000E+00,1.2382E+00,1.2294E+00,-8.8213E-03
1.7000E+00,1.2201E+00,1.2144E+00,-5.6781E-03
1.8000E+00,1.1954E+00,1.1875E+00,-7.9088E-03
1.9000E+00,1.1802E+00,1.1759E+00,-4.2586E-03
2.0000E+00,1.1686E+00,1.1640E+00,-4.6642E-03
2.1000E+00,1.1572E+00,1.1534E+00,-3.7516E-03
2.2000E+00,1.1408E+00,1.1438E+00,3.0418E-03
2.3000E+00,1.1489E+00,1.1480E+00,-9.1255E-04
2.4000E+00,1.1447E+00,1.1440E+00,-7.0976E-04
2.5000E+00,1.1347E+00,1.1256E+00,-9.1255E-03
2.6000E+00,1.1232E+00,1.1200E+00,-3.2446E-03
2.7000E+00,1.1045E+00,1.1003E+00,-4.1572E-03
2.8000E+00,1.0839E+00,1.0787E+00,-5.1711E-03
2.9000E+00,1.0699E+00,1.0649E+00,-4.9683E-03
3.0000E+00,1.0603E+00,1.0490E+00,-1.1255E-02
3.1000E+00,1.0368E+00,1.0357E+00,-1.1153E-03
3.2000E+00,1.0366E+00,1.0317E+00,-4.9683E-03
3.3000E+00,1.0246E+00,1.0207E+00,-3.8530E-03
3.4000E+00,1.0049E+00,9.9932E-01,-5.5767E-03
3.5000E+00,9.8259E-01,9.7346E-01,-9.1255E-03
3.6000E+00,9.6484E-01,9.6241E-01,-2.4335E-03
3.7000E+00,9.5683E-01,9.5156E-01,-5.2725E-03
3.8000E+00,9.5308E-01,9.5471E-01,1.6223E-03
3.9000E+00,9.4771E-01,9.3838E-01,-9.3283E-03
4.0000E+00,9.1790E-01,9.0867E-01,-9.2269E-03
4.1000E+00,8.9184E-01,8.8373E-01,-8.1116E-03
4.2000E+00,8.7633E-01,8.7470E-01,-1.6223E-03
4.3000E+00,8.5676E-01,8.4804E-01,-8.7199E-03
4.4000E+00,8.2806E-01,8.2827E-01,2.0279E-04
4.5000E+00,8.1711E-01,8.1498E-01,-2.1293E-03
4.6000E+00,8.1052E-01,8.0647E-01,-4.0558E-03
4.7000E+00,7.9379E-01,7.8974E-01,-4.0558E-03
4.8000E+00,7.8781E-01,7.8254E-01,-5.2725E-03
4.9000E+00,7.7514E-01,7.6915E-01,-5.9823E-03
5.0000E+00,7.6226E-01,7.5982E-01,-2.4335E-03
5.1000E+00,7.5719E-01,7.5688E-01,-3.0418E-04
5.2000E+00,7.5374E-01,7.5354E-01,-2.0279E-04
5.3000E+00,7.5719E-01,7.5962E-01,2.4335E-03
5.4000E+00,7.6743E-01,7.6794E-01,5.0697E-04
5.5000E+00,7.5851E-01,7.5181E-01,-6.6921E-03
5.6000E+00,7.4948E-01,7.4928E-01,-2.0279E-04
5.7000E+00,7.4979E-01,7.4238E-01,-7.4018E-03
5.8000E+00,7.3813E-01,7.3478E-01,-3.3460E-03
5.9000E+00,7.1764E-01,7.1379E-01,-3.8530E-03
6.0000E+00,7.0233E-01,7.0355E-01,1.2167E-03
6.1000E+00,7.1116E-01,7.1663E-01,5.4753E-03
6.2000E+00,7.1917E-01,7.1541E-01,-3.7516E-03
6.3000E+00,7.0507E-01,7.0010E-01,-4.9683E-03
6.4000E+00,6.9970E-01,7.0294E-01,3.2446E-03
6.5000E+00,6.9818E-01,6.9240E-01,-5.7795E-03
6.6000E+00,6.8682E-01,6.8246E-01,-4.3600E-03
6.7000E+00,6.7648E-01,6.8317E-01,6.6921E-03
6.8000E+00,6.8114E-01,6.7901E-01,-2.1293E-03
6.9000E+00,6.7628E-01,6.7303E-01,-3.2446E-03
7.0000E+00,6.5772E-01,6.5235E-01,-5.3739E-03
7.1000E+00,6.5154E-01,6.5123E-01,-3.0418E-04
7.2000E+00,6.4920E-01,6.4971E-01,5.0697E-04
7.3000E+00,6.4241E-01,6.3825E-01,-4.1572E-03
7.4000E+00,6.3034E-01,6.2791E-01,-2.4335E-03
7.5000E+00,6.1797E-01,6.1128E-01,-6.6921E-03
7.6000E+00,6.0895E-01,6.0003E-01,-8.9227E-03
7.7000E+00,5.9759E-01,5.9394E-01,-3.6502E-03
7.8000E+00,5.7985E-01,5.7813E-01,-1.7237E-03
7.9000E+00,5.6069E-01,5.5927E-01,-1.4195E-03
8.0000E+00,5.4548E-01,5.3929E-01,-6.1851E-03
