x_length,laser_off,laser_on,dV
0.0000E+00,-5.6480E-01,-5.6257E-01,2.2307E-03
1.0000E-01,-5.6581E-01,-5.6723E-01,-1.4195E-03
2.0000E-01,-5.6682E-01,-5.6713E-01,-3.0418E-04
3.0000E-01,-5.6480E-01,-5.6480E-01,-2.2204E-16
4.0000E-01,-5.6216E-01,-5.6824E-01,-6.0837E-03
5.0000E-01,-5.7118E-01,-5.7098E-01,2.0279E-04
6.0000E-01,-5.6774E-01,-5.7372E-01,-5.9823E-03
7.0000E-01,-5.7554E-01,-5.7129E-01,4.2586E-03
8.0000E-01,-5.7433E-01,-5.7068E-01,3.6502E-03
9.0000E-01,-5.7930E-01,-5.7423E-01,5.0697E-03
1.0000E+00,-5.8295E-01,-5.7717E-01,5.7795E-03
1.1000E+00,-5.7331E-01,-5.7575E-01,-2.4335E-03
1.2000E+00,-5.7666E-01,-5.7777E-01,-1.1153E-03
1.3000E+00,-5.7524E-01,-5.6997E-01,5.2725E-03
1.4000E+00,-5.7098E-01,-5.7017E-01,8.1116E-04
1.5000E+00,-5.7159E-01,-5.6703E-01,4.5628E-03
1.6000E+00,-5.6723E-01,-5.6155E-01,5.6781E-03
1.7000E+00,-5.6054E-01,-5.6175E-01,-1.2167E-03
1.8000E+00,-5.6003E-01,-5.5486E-01,5.1711E-03
1.9000E+00,-5.6023E-01,-5.5577E-01,4.4614E-03
2.0000E+00,-5.5739E-01,-5.5800E-01,-6.0837E-04
2.1000E+00,-5.6257E-01,-5.5415E-01,8.4158E-03
2.2000E+00,-5.6520E-01,-5.5689E-01,8.3144E-03
2.3000E+00,-5.6378E-01,-5.6368E-01,1.0139E-04
2.4000E+00,-5.5709E-01,-5.6277E-01,-5.6781E-03
2.5000E+00,-5.6186E-01,-5.5719E-01,4.6642E-03
2.6000E+00,-5.5821E-01,-5.5932E-01,-1.1153E-03
2.7000E+00,-5.6317E-01,-5.5334E-01,9.8353E-03
2.8000E+00,-5.6023E-01,-5.5516E-01,5.0697E-03
2.9000E+00,-5.5810E-01,-5.6206E-01,-3.9544E-03
3.0000E+00,-5.6074E-01,-5.5739E-01,3.3460E-03
3.1000E+00,-5.5912E-01,-5.5456E-01,4.5628E-03
3.2000E+00,-5.5587E-01,-5.6236E-01,-6.4893E-03
3.3000E+00,-5.6084E-01,-5.5364E-01,7.1990E-03
3.4000E+00,-5.6013E-01,-5.5638E-01,3.7516E-03
3.5000E+00,-5.5719E-01,-5.5831E-01,-1.1153E-03
3.6000E+00,-5.5993E-01,-5.5587E-01,4.0558E-03
3.7000E+00,-5.5719E-01,-5.5729E-01,-1.0139E-04
3.8000E+00,-5.5638E-01,-5.5162E-01,4.7656E-03
3.9000E+00,-5.5425E-01,-5.5587E-01,-1.6223E-03
4.0000E+00,-5.5111E-01,-5.5658E-01,-5.4753E-03
4.1000E+00,-5.5496E-01,-5.5080E-01,4.1572E-03
4.2000E+00,-5.5415E-01,-5.5182E-01,2.3321E-03
4.3000E+00,-5.5334E-01,-5.5527E-01,-1.9265E-03
4.4000E+00,-5.5243E-01,-5.5598E-01,-3.5488E-03
4.5000E+00,-5.5567E-01,-5.5101E-01,4.6642E-03
4.6000E+00,-5.5942E-01,-5.4807E-01,1.1356E-02
4.7000E+00,-5.6267E-01,-5.5668E-01,5.9823E-03
4.8000E+00,-5.6226E-01,-5.5608E-01,6.1851E-03
4.9000E+00,-5.7169E-01,-5.5476E-01,1.6933E-02
5.0000E+00,-5.7047E-01,-5.6429E-01,6.1851E-03
5.1000E+00,-5.7139E-01,-5.6094E-01,1.0444E-02
5.2000E+00,-5.7331E-01,-5.6236E-01,1.0951E-02
5.3000E+00,-5.7666E-01,-5.6236E-01,1.4297E-02
5.4000E+00,-5.7169E-01,-5.7098E-01,7.0976E-04
5.5000E+00,-5.6632E-01,-5.6845E-01,-2.1293E-03
5.6000E+00,-5.6794E-01,-5.6470E-01,3.2446E-03
5.7000E+00,-5.6348E-01,-5.5831E-01,5.1711E-03
5.8000E+00,-5.6054E-01,-5.5253E-01,8.0102E-03
5.9000E+00,-5.5719E-01,-5.4655E-01,1.0646E-02
6.0000E+00,-5.5618E-01,-5.4989E-01,6.2865E-03
6.1000E+00,-5.5202E-01,-5.4989E-01,2.1293E-03
6.2000E+00,-5.4573E-01,-5.4867E-01,-2.9404E-03
6.3000E+00,-5.5131E-01,-5.3823E-01,1.3080E-02
6.4000E+00,-5.4543E-01,-5.4675E-01,-1.3181E-03
6.5000E+00,-5.4401E-01,-5.4644E-01,-2.4335E-03
6.6000E+00,-5.4756E-01,-5.4837E-01,-8.1116E-04
6.7000E+00,-5.4928E-01,-5.4492E-01,4.3600E-03
6.8000E+00,-5.4168E-01,-5.5172E-01,-1.0038E-02
6.9000E+00,-5.5232E-01,-5.4401E-01,8.3144E-03
7.0000E+00,-5.4655E-01,-5.4705E-01,-5.0697E-04
7.1000E+00,-5.3945E-01,-5.4219E-01,-2.7377E-03
7.2000E+00,-5.4533E-01,-5.4300E-01,2.3321E-03
7.3000E+00,-5.4371E-01,-5.4391E-01,-2.0279E-04
7.4000E+00,-5.3701E-01,-5.4077E-01,-3.7516E-03
7.5000E+00,-5.4077E-01,-5.3722E-01,3.5488E-03
7.6000E+00,-5.3864E-01,-5.4016E-01,-1.5209E-03
7.7000E+00,-5.4188E-01,-5.3610E-01,5.7795E-03
7.8000E+00,-5.4219E-01,-5.4036E-01,1.8251E-03
7.9000E+00,-5.3793E-01,-5.3701E-01,9.1255E-04
8.0000E+00,-5.4198E-01,-5.3255E-01,9.4297E-03
8.1000E+00,-5.3823E-01,-5.4401E-01,-5.7795E-03
8.2000E+00,-5.4350E-01,-5.4107E-01,2.4335E-03
8.3000E+00,-5.4786E-01,-5.4036E-01,7.5032E-03
8.4000E+00,-5.4715E-01,-5.4543E-01,1.7237E-03
8.5000E+00,-5.5598E-01,-5.4320E-01,1.2776E-02
8.6000E+00,-5.4776E-01,-5.5141E-01,-3.6502E-03
8.7000E+00,-5.5040E-01,-5.5050E-01,-1.0139E-04
8.8000E+00,-5.5324E-01,-5.5324E-01,1.1102E-16
8.9000E+00,-5.5080E-01,-5.5192E-01,-1.1153E-03
9.0000E+00,-5.6348E-01,-5.6003E-01,3.4474E-03
9.1000E+00,-5.5821E-01,-5.6764E-01,-9.4297E-03
9.2000E+00,-5.5952E-01,-5.5506E-01,4.4614E-03
9.3000E+00,-5.6246E-01,-5.6277E-01,-3.0418E-04
9.4000E+00,-5.7017E-01,-5.5587E-01,1.4297E-02
9.5000E+00,-5.6743E-01,-5.6551E-01,1.9265E-03
9.6000E+00,-5.6774E-01,-5.6652E-01,1.2167E-03
9.7000E+00,-5.6409E-01,-5.7311E-01,-9.0241E-03
9.8000E+00,-5.6459E-01,-5.6652E-01,-1.9265E-03
9.9000E+00,-5.6865E-01,-5.7098E-01,-2.3321E-03
