x_length,laser_off,laser_on,dV
0.0000E+00,-3.9780E-01,-3.9780E-01,0.0000E+00
1.0000E-01,-3.9009E-01,-3.9009E-01,0.0000E+00
2.0000E-01,-3.9557E-01,-3.9557E-01,0.0000E+00
3.0000E-01,-3.9303E-01,-3.9303E-01,0.0000E+00
4.0000E-01,-3.9141E-01,-3.9141E-01,0.0000E+00
5.0000E-01,-3.8685E-01,-3.8685E-01,0.0000E+00
6.0000E-01,-3.8036E-01,-3.8036E-01,0.0000E+00
7.0000E-01,-3.8746E-01,-3.8746E-01,0.0000E+00
8.0000E-01,-3.8208E-01,-3.8208E-01,0.0000E+00
9.0000E-01,-3.8147E-01,-3.8147E-01,0.0000E+00
1.0000E+00,-3.7488E-01,-3.7488E-01,0.0000E+00
1.1000E+00,-3.7519E-01,-3.7519E-01,0.0000E+00
1.2000E+00,-3.7275E-01,-3.7275E-01,0.0000E+00
1.3000E+00,-3.6961E-01,-3.6961E-01,0.0000E+00
1.4000E+00,-3.6120E-01,-3.6120E-01,0.0000E+00
1.5000E+00,-3.5724E-01,-3.5724E-01,0.0000E+00
1.6000E+00,-3.5288E-01,-3.5288E-01,0.0000E+00
1.7000E+00,-3.4416E-01,-3.4416E-01,0.0000E+00
1.8000E+00,-3.4264E-01,-3.4264E-01,0.0000E+00
1.9000E+00,-3.3210E-01,-3.3210E-01,0.0000E+00
2.0000E+00,-3.3037E-01,-3.3037E-01,0.0000E+00
2.1000E+00,-3.3706E-01,-3.3706E-01,0.0000E+00
2.2000E+00,-3.3788E-01,-3.3788E-01,0.0000E+00
2.3000E+00,-3.2986E-01,-3.2986E-01,0.0000E+00
2.4000E+00,-3.2997E-01,-3.2997E-01,0.0000E+00
2.5000E+00,-3.1526E-01,-3.1526E-01,0.0000E+00
2.6000E+00,-3.0918E-01,-3.0918E-01,0.0000E+00
2.7000E+00,-2.9853E-01,-2.9853E-01,0.0000E+00
2.8000E+00,-2.9154E-01,-2.9154E-01,0.0000E+00
2.9000E+00,-2.8860E-01,-2.8860E-01,0.0000E+00
3.0000E+00,-2.7967E-01,-2.7967E-01,0.0000E+00
3.1000E+00,-2.7531E-01,-2.7531E-01,0.0000E+00
3.2000E+00,-2.7653E-01,-2.7653E-01,0.0000E+00
3.3000E+00,-2.6730E-01,-2.6730E-01,0.0000E+00
3.4000E+00,-2.6761E-01,-2.6761E-01,0.0000E+00
3.5000E+00,-2.6629E-01,-2.6629E-01,0.0000E+00
3.6000E+00,-2.6436E-01,-2.6436E-01,0.0000E+00
3.7000E+00,-2.5727E-01,-2.5727E-01,0.0000E+00
3.8000E+00,-2.6041E-01,-2.6041E-01,0.0000E+00
3.9000E+00,-2.6041E-01,-2.6041E-01,0.0000E+00
4.0000E+00,-2.5879E-01,-2.5879E-01,0.0000E+00
4.1000E+00,-2.5189E-01,-2.5189E-01,0.0000E+00
4.2000E+00,-2.4855E-01,-2.4855E-01,0.0000E+00
4.3000E+00,-2.4074E-01,-2.4074E-01,0.0000E+00
4.4000E+00,-2.2644E-01,-2.2644E-01,0.0000E+00
4.5000E+00,-2.2664E-01,-2.2664E-01,0.0000E+00
