x_length,laser_off,laser_on,dV
0.0000E+00,-4.4596E-01,-4.4414E-01,1.8251E-03
1.0000E-01,-4.5904E-01,-4.5803E-01,1.0139E-03
2.0000E-01,-4.5823E-01,-4.6077E-01,-2.5349E-03
3.0000E-01,-4.6016E-01,-4.5762E-01,2.5349E-03
4.0000E-01,-4.5904E-01,-4.7283E-01,-1.3790E-02
5.0000E-01,-4.6979E-01,-4.6969E-01,1.0139E-04
6.0000E-01,-4.6472E-01,-4.5975E-01,4.9683E-03
7.0000E-01,-4.6492E-01,-4.6938E-01,-4.4614E-03
8.0000E-01,-4.7070E-01,-4.6918E-01,1.5209E-03
9.0000E-01,-4.6391E-01,-4.6077E-01,3.1432E-03
1.0000E+00,-4.5397E-01,-4.5154E-01,2.4335E-03
1.1000E+00,-4.4262E-01,-4.3643E-01,6.1851E-03
1.2000E+00,-4.2791E-01,-4.2660E-01,1.3181E-03
1.3000E+00,-4.2315E-01,-4.1635E-01,6.7934E-03
1.4000E+00,-4.1118E-01,-4.0652E-01,4.6642E-03
1.5000E+00,-4.1706E-01,-4.2741E-01,-1.0342E-02
1.6000E+00,-4.3085E-01,-4.2649E-01,4.3600E-03
1.7000E+00,-4.3379E-01,-4.5428E-01,-2.0482E-02
1.8000E+00,-4.5600E-01,-4.5722E-01,-1.2167E-03
1.9000E+00,-4.5965E-01,-4.6036E-01,-7.0976E-04
2.0000E+00,-4.5864E-01,-4.5610E-01,2.5349E-03
2.1000E+00,-4.5955E-01,-4.5945E-01,1.0139E-04
2.2000E+00,-4.6016E-01,-4.5671E-01,3.4474E-03
2.3000E+00,-4.5793E-01,-4.5914E-01,-1.2167E-03
2.4000E+00,-4.5651E-01,-4.5813E-01,-1.6223E-03
2.5000E+00,-4.5803E-01,-4.5296E-01,5.0697E-03
2.6000E+00,-4.4525E-01,-4.4485E-01,4.0558E-04
2.7000E+00,-4.5336E-01,-4.5134E-01,2.0279E-03
2.8000E+00,-4.5387E-01,-4.5701E-01,-3.1432E-03
2.9000E+00,-4.5853E-01,-4.5610E-01,2.4335E-03
3.0000E+00,-4.5762E-01,-4.6300E-01,-5.3739E-03
3.1000E+00,-4.6208E-01,-4.6066E-01,1.4195E-03
3.2000E+00,-4.5032E-01,-4.4819E-01,2.1293E-03
3.3000E+00,-4.3755E-01,-4.3562E-01,1.9265E-03
3.4000E+00,-4.2132E-01,-4.1676E-01,4.5628E-03
3.5000E+00,-4.1696E-01,-4.1808E-01,-1.1153E-03
