x_length,laser_off,laser_on,dV
0.0000E+00,-3.4589E-01,-3.4730E-01,-1.4195E-03
1.0000E-01,-3.4619E-01,-3.4710E-01,-9.1255E-04
2.0000E-01,-3.4538E-01,-3.4457E-01,8.1116E-04
3.0000E-01,-3.4883E-01,-3.4629E-01,2.5349E-03
4.0000E-01,-3.4822E-01,-3.4720E-01,1.0139E-03
5.0000E-01,-3.4974E-01,-3.4680E-01,2.9404E-03
6.0000E-01,-3.5106E-01,-3.4477E-01,6.2865E-03
7.0000E-01,-3.5106E-01,-3.4822E-01,2.8391E-03
8.0000E-01,-3.4801E-01,-3.4964E-01,-1.6223E-03
9.0000E-01,-3.4781E-01,-3.4730E-01,5.0697E-04
1.0000E+00,-3.4954E-01,-3.4801E-01,1.5209E-03
1.1000E+00,-3.5440E-01,-3.5450E-01,-1.0139E-04
1.2000E+00,-3.5369E-01,-3.5653E-01,-2.8391E-03
1.3000E+00,-3.5785E-01,-3.5795E-01,-1.0139E-04
1.4000E+00,-3.5978E-01,-3.5988E-01,-1.0139E-04
1.5000E+00,-3.6018E-01,-3.5917E-01,1.0139E-03
1.6000E+00,-3.6180E-01,-3.5785E-01,3.9544E-03
1.7000E+00,-3.6038E-01,-3.6251E-01,-2.1293E-03
1.8000E+00,-3.6069E-01,-3.5998E-01,7.0976E-04
1.9000E+00,-3.6130E-01,-3.6099E-01,3.0418E-04
2.0000E+00,-3.6008E-01,-3.5684E-01,3.2446E-03
2.1000E+00,-3.6109E-01,-3.5542E-01,5.6781E-03
2.2000E+00,-3.5937E-01,-3.5836E-01,1.0139E-03
2.3000E+00,-3.5967E-01,-3.5998E-01,-3.0418E-04
2.4000E+00,-3.6393E-01,-3.6424E-01,-3.0418E-04
2.5000E+00,-3.6748E-01,-3.6647E-01,1.0139E-03
2.6000E+00,-3.6860E-01,-3.6860E-01,0.0000E+00
2.7000E+00,-3.6758E-01,-3.6485E-01,2.7377E-03
2.8000E+00,-3.6687E-01,-3.6769E-01,-8.1116E-04
2.9000E+00,-3.6698E-01,-3.6474E-01,2.2307E-03
3.0000E+00,-3.6251E-01,-3.6221E-01,3.0418E-04
3.1000E+00,-3.5734E-01,-3.5643E-01,9.1255E-04
3.2000E+00,-3.5978E-01,-3.6038E-01,-6.0837E-04
3.3000E+00,-3.6241E-01,-3.6130E-01,1.1153E-03
3.4000E+00,-3.6150E-01,-3.5927E-01,2.2307E-03
3.5000E+00,-3.5937E-01,-3.5897E-01,4.0558E-04
3.6000E+00,-3.5795E-01,-3.5572E-01,2.2307E-03
3.7000E+00,-3.5886E-01,-3.6038E-01,-1.5209E-03
3.8000E+00,-3.6191E-01,-3.6059E-01,1.3181E-03
3.9000E+00,-3.5836E-01,-3.6018E-01,-1.8251E-03
4.0000E+00,-3.5663E-01,-3.5663E-01,0.0000E+00
4.1000E+00,-3.5694E-01,-3.5511E-01,1.8251E-03
4.2000E+00,-3.5602E-01,-3.5846E-01,-2.4335E-03
4.3000E+00,-3.4852E-01,-3.5562E-01,-7.0976E-03
4.4000E+00,-3.5227E-01,-3.4923E-01,3.0418E-03
4.5000E+00,-3.5410E-01,-3.5400E-01,1.0139E-04
4.6000E+00,-3.5450E-01,-3.5511E-01,-6.0837E-04
4.7000E+00,-3.6150E-01,-3.6353E-01,-2.0279E-03
4.8000E+00,-3.6282E-01,-3.6424E-01,-1.4195E-03
4.9000E+00,-3.6779E-01,-3.6616E-01,1.6223E-03
5.0000E+00,-3.6637E-01,-3.6819E-01,-1.8251E-03
5.1000E+00,-3.7032E-01,-3.6545E-01,4.8669E-03
5.2000E+00,-3.6333E-01,-3.6414E-01,-8.1116E-04
5.3000E+00,-3.6049E-01,-3.5927E-01,1.2167E-03
5.4000E+00,-3.5390E-01,-3.5744E-01,-3.5488E-03
5.5000E+00,-3.5572E-01,-3.4862E-01,7.0976E-03
5.6000E+00,-3.4741E-01,-3.4791E-01,-5.0697E-04
5.7000E+00,-3.4629E-01,-3.4801E-01,-1.7237E-03
5.8000E+00,-3.4791E-01,-3.4700E-01,9.1255E-04
5.9000E+00,-3.5288E-01,-3.5207E-01,8.1116E-04
6.0000E+00,-3.5582E-01,-3.5673E-01,-9.1255E-04
6.1000E+00,-3.5988E-01,-3.6322E-01,-3.3460E-03
6.2000E+00,-3.6596E-01,-3.6556E-01,4.0558E-04
6.3000E+00,-3.6981E-01,-3.7113E-01,-1.3181E-03
6.4000E+00,-3.7296E-01,-3.7296E-01,-1.1102E-16
6.5000E+00,-3.7144E-01,-3.7661E-01,-5.1711E-03
6.6000E+00,-3.7255E-01,-3.7083E-01,1.7237E-03
6.7000E+00,-3.7367E-01,-3.7235E-01,1.3181E-03
6.8000E+00,-3.7103E-01,-3.6870E-01,2.3321E-03
