x_length,laser_off,laser_on,dV
0.0000E+00,-2.0505E-01,-1.9846E-01,6.5907E-03
1.0000E-01,-2.0626E-01,-2.0038E-01,5.8809E-03
2.0000E-01,-2.0626E-01,-1.9998E-01,6.2865E-03
3.0000E-01,-2.0697E-01,-1.9967E-01,7.3004E-03
4.0000E-01,-2.0626E-01,-1.9967E-01,6.5907E-03
5.0000E-01,-2.0221E-01,-1.9440E-01,7.8074E-03
6.0000E-01,-2.0190E-01,-1.9602E-01,5.8809E-03
7.0000E-01,-1.9998E-01,-1.9177E-01,8.2130E-03
8.0000E-01,-2.0018E-01,-1.8538E-01,1.4804E-02
9.0000E-01,-1.9907E-01,-1.8761E-01,1.1458E-02
1.0000E+00,-1.9562E-01,-1.8436E-01,1.1255E-02
1.1000E+00,-1.9450E-01,-1.8548E-01,9.0241E-03
1.2000E+00,-1.9329E-01,-1.8061E-01,1.2674E-02
1.3000E+00,-1.9146E-01,-1.8173E-01,9.7339E-03
1.4000E+00,-1.8741E-01,-1.8031E-01,7.0976E-03
1.5000E+00,-1.8801E-01,-1.7635E-01,1.1660E-02
1.6000E+00,-1.8629E-01,-1.7716E-01,9.1255E-03
1.7000E+00,-1.8659E-01,-1.7595E-01,1.0646E-02
1.8000E+00,-1.8406E-01,-1.7564E-01,8.4158E-03
1.9000E+00,-1.8477E-01,-1.7088E-01,1.3891E-02
2.0000E+00,-1.8538E-01,-1.7179E-01,1.3587E-02
2.1000E+00,-1.8588E-01,-1.7118E-01,1.4702E-02
2.2000E+00,-1.8538E-01,-1.7311E-01,1.2269E-02
2.3000E+00,-1.8355E-01,-1.6915E-01,1.4398E-02
2.4000E+00,-1.8244E-01,-1.6702E-01,1.5412E-02
2.5000E+00,-1.8396E-01,-1.6753E-01,1.6426E-02
2.6000E+00,-1.8244E-01,-1.6672E-01,1.5716E-02
2.7000E+00,-1.8061E-01,-1.6530E-01,1.5311E-02
2.8000E+00,-1.8183E-01,-1.6419E-01,1.7643E-02
2.9000E+00,-1.8132E-01,-1.6064E-01,2.0685E-02
3.0000E+00,-1.7919E-01,-1.5760E-01,2.1597E-02
3.1000E+00,-1.8112E-01,-1.5699E-01,2.4132E-02
3.2000E+00,-1.8010E-01,-1.5080E-01,2.9303E-02
3.3000E+00,-1.8081E-01,-1.4289E-01,3.7922E-02
3.4000E+00,-1.8163E-01,-1.4087E-01,4.0761E-02
3.5000E+00,-1.8021E-01,-1.4087E-01,3.9341E-02
3.6000E+00,-1.8051E-01,-1.3803E-01,4.2484E-02
3.7000E+00,-1.8325E-01,-1.3691E-01,4.6337E-02
3.8000E+00,-1.8021E-01,-1.3630E-01,4.3904E-02
3.9000E+00,-1.8213E-01,-1.3458E-01,4.7554E-02
4.0000E+00,-1.8081E-01,-1.3468E-01,4.6135E-02
4.1000E+00,-1.8112E-01,-1.3498E-01,4.6135E-02
4.2000E+00,-1.8173E-01,-1.2991E-01,5.1813E-02
4.3000E+00,-1.8142E-01,-1.2434E-01,5.7085E-02
4.4000E+00,-1.8183E-01,-1.1907E-01,6.2763E-02
4.5000E+00,-1.8112E-01,-1.1744E-01,6.3676E-02
4.6000E+00,-1.8112E-01,-1.1400E-01,6.7123E-02
4.7000E+00,-1.8203E-01,-1.0558E-01,7.6452E-02
4.8000E+00,-1.8244E-01,-9.8076E-02,8.4360E-02
4.9000E+00,-1.8375E-01,-8.4287E-02,9.9468E-02
5.0000E+00,-1.8467E-01,-6.7861E-02,1.1681E-01
5.1000E+00,-1.8680E-01,-6.1372E-02,1.2543E-01
5.2000E+00,-1.8599E-01,-5.6707E-02,1.2928E-01
5.3000E+00,-1.8720E-01,-6.3906E-02,1.2330E-01
5.4000E+00,-1.8710E-01,-6.9382E-02,1.1772E-01
5.5000E+00,-1.8558E-01,-8.1549E-02,1.0403E-01
5.6000E+00,-1.8528E-01,-9.7265E-02,8.8011E-02
5.7000E+00,-1.8517E-01,-1.1329E-01,7.1889E-02
5.8000E+00,-1.8599E-01,-1.2971E-01,5.6274E-02
5.9000E+00,-1.8599E-01,-1.3387E-01,5.2117E-02
6.0000E+00,-1.8720E-01,-1.3509E-01,5.2117E-02
6.1000E+00,-1.8893E-01,-1.3448E-01,5.4449E-02
6.2000E+00,-1.9146E-01,-1.3823E-01,5.3232E-02
6.3000E+00,-1.9207E-01,-1.4026E-01,5.1813E-02
6.4000E+00,-1.8811E-01,-1.5547E-01,3.2649E-02
6.5000E+00,-1.9177E-01,-1.6510E-01,2.6667E-02
6.6000E+00,-1.9268E-01,-1.6500E-01,2.7681E-02
6.7000E+00,-1.9106E-01,-1.6784E-01,2.3219E-02
6.8000E+00,-1.9379E-01,-1.7088E-01,2.2915E-02
6.9000E+00,-1.9278E-01,-1.7392E-01,1.8859E-02
7.0000E+00,-1.9318E-01,-1.7483E-01,1.8352E-02
7.1000E+00,-1.9197E-01,-1.7554E-01,1.6426E-02
7.2000E+00,-1.9217E-01,-1.7787E-01,1.4297E-02
7.3000E+00,-1.9258E-01,-1.7645E-01,1.6122E-02
7.4000E+00,-1.8568E-01,-1.7402E-01,1.1660E-02
7.5000E+00,-1.8690E-01,-1.7564E-01,1.1255E-02
7.6000E+00,-1.8457E-01,-1.7666E-01,7.9088E-03
7.7000E+00,-1.8538E-01,-1.7666E-01,8.7199E-03
7.8000E+00,-1.8680E-01,-1.7879E-01,8.0102E-03
7.9000E+00,-1.8386E-01,-1.7757E-01,6.2865E-03
8.0000E+00,-1.8599E-01,-1.7564E-01,1.0342E-02
8.1000E+00,-1.8375E-01,-1.7433E-01,9.4297E-03
8.2000E+00,-1.8264E-01,-1.7554E-01,7.0976E-03
8.3000E+00,-1.8406E-01,-1.7169E-01,1.2370E-02
8.4000E+00,-1.8507E-01,-1.7311E-01,1.1965E-02
8.5000E+00,-1.8365E-01,-1.7270E-01,1.0951E-02
8.6000E+00,-1.8335E-01,-1.7240E-01,1.0951E-02
8.7000E+00,-1.8142E-01,-1.7149E-01,9.9367E-03
8.8000E+00,-1.8152E-01,-1.7311E-01,8.4158E-03
8.9000E+00,-1.8315E-01,-1.7402E-01,9.1255E-03
9.0000E+00,-1.7798E-01,-1.7057E-01,7.4018E-03
9.1000E+00,-1.8112E-01,-1.6976E-01,1.1356E-02
9.2000E+00,-1.7879E-01,-1.7453E-01,4.2586E-03
9.3000E+00,-1.7727E-01,-1.7220E-01,5.0697E-03
9.4000E+00,-1.7858E-01,-1.7402E-01,4.5628E-03
9.5000E+00,-1.7869E-01,-1.7544E-01,3.2446E-03
9.6000E+00,-1.7493E-01,-1.6936E-01,5.5767E-03
9.7000E+00,-1.8041E-01,-1.7473E-01,5.6781E-03
9.8000E+00,-1.7727E-01,-1.7534E-01,1.9265E-03
9.9000E+00,-1.7554E-01,-1.7422E-01,1.3181E-03
