x_length,laser_off,laser_on,dV
0.0000E+00,7.9669E-02,7.6221E-02,-3.4474E-03
1.0000E-01,7.8046E-02,8.0784E-02,2.7377E-03
2.0000E-01,8.0581E-02,8.2508E-02,1.9265E-03
3.0000E-01,7.7438E-02,7.9669E-02,2.2307E-03
4.0000E-01,8.0581E-02,7.9364E-02,-1.2167E-03
5.0000E-01,8.1595E-02,7.6931E-02,-4.6642E-03
6.0000E-01,7.7539E-02,8.1088E-02,3.5488E-03
7.0000E-01,7.6728E-02,8.1798E-02,5.0697E-03
8.0000E-01,8.0784E-02,7.9669E-02,-1.1153E-03
9.0000E-01,8.1190E-02,7.8553E-02,-2.6363E-03
1.0000E+00,8.0784E-02,7.8959E-02,-1.8251E-03
1.1000E+00,7.6424E-02,7.6120E-02,-3.0418E-04
1.2000E+00,7.6018E-02,7.5613E-02,-4.0558E-04
1.3000E+00,7.4700E-02,7.6221E-02,1.5209E-03
1.4000E+00,7.4599E-02,7.4295E-02,-3.0418E-04
1.5000E+00,7.4193E-02,7.2875E-02,-1.3181E-03
1.6000E+00,7.1658E-02,7.2774E-02,1.1153E-03
1.7000E+00,7.0340E-02,7.3484E-02,3.1432E-03
1.8000E+00,6.9833E-02,7.0746E-02,9.1255E-04
1.9000E+00,7.0340E-02,7.1963E-02,1.6223E-03
2.0000E+00,7.0239E-02,6.9935E-02,-3.0418E-04
2.1000E+00,6.9529E-02,6.9124E-02,-4.0558E-04
2.2000E+00,6.9935E-02,7.1658E-02,1.7237E-03
2.3000E+00,7.2267E-02,7.2774E-02,5.0697E-04
2.4000E+00,7.3788E-02,7.1557E-02,-2.2307E-03
2.5000E+00,7.2368E-02,7.2672E-02,3.0418E-04
2.6000E+00,7.1963E-02,7.0746E-02,-1.2167E-03
2.7000E+00,7.2368E-02,7.1151E-02,-1.2167E-03
2.8000E+00,7.1050E-02,7.1050E-02,-1.3878E-17
2.9000E+00,6.6791E-02,6.9326E-02,2.5349E-03
3.0000E+00,6.8515E-02,6.8008E-02,-5.0697E-04
3.1000E+00,6.5879E-02,6.6589E-02,7.0976E-04
3.2000E+00,6.5473E-02,6.5778E-02,3.0418E-04
3.3000E+00,6.7805E-02,6.9732E-02,1.9265E-03
3.4000E+00,6.8718E-02,7.0036E-02,1.3181E-03
3.5000E+00,6.9631E-02,6.8312E-02,-1.3181E-03
3.6000E+00,6.9124E-02,6.6386E-02,-2.7377E-03
3.7000E+00,6.5372E-02,6.7704E-02,2.3321E-03
3.8000E+00,6.6487E-02,6.3344E-02,-3.1432E-03
3.9000E+00,6.5980E-02,6.6284E-02,3.0418E-04
4.0000E+00,6.6893E-02,6.3445E-02,-3.4474E-03
