x_length,laser_off,laser_on,dV
0.0000E+00,2.8580E-01,2.8499E-01,-8.1116E-04
1.0000E-01,2.8520E-01,2.8631E-01,1.1153E-03
2.0000E-01,2.7992E-01,2.8073E-01,8.1116E-04
3.0000E-01,2.8114E-01,2.8165E-01,5.0697E-04
4.0000E-01,2.7901E-01,2.8155E-01,2.5349E-03
5.0000E-01,2.8388E-01,2.7942E-01,-4.4614E-03
6.0000E-01,2.8165E-01,2.8256E-01,9.1255E-04
7.0000E-01,2.8185E-01,2.8063E-01,-1.2167E-03
8.0000E-01,2.8367E-01,2.7982E-01,-3.8530E-03
9.0000E-01,2.7617E-01,2.7252E-01,-3.6502E-03
1.0000E+00,2.7850E-01,2.8033E-01,1.8251E-03
1.1000E+00,2.8063E-01,2.8114E-01,5.0697E-04
1.2000E+00,2.7850E-01,2.7861E-01,1.0139E-04
1.3000E+00,2.7972E-01,2.7850E-01,-1.2167E-03
1.4000E+00,2.7708E-01,2.7972E-01,2.6363E-03
1.5000E+00,2.8094E-01,2.8226E-01,1.3181E-03
1.6000E+00,2.7769E-01,2.7921E-01,1.5209E-03
1.7000E+00,2.7607E-01,2.8215E-01,6.0837E-03
1.8000E+00,2.8357E-01,2.8469E-01,1.1153E-03
1.9000E+00,2.8266E-01,2.8611E-01,3.4474E-03
2.0000E+00,2.8398E-01,2.8783E-01,3.8530E-03
2.1000E+00,2.8520E-01,2.8854E-01,3.3460E-03
2.2000E+00,2.8560E-01,2.8580E-01,2.0279E-04
2.3000E+00,2.8530E-01,2.8489E-01,-4.0558E-04
2.4000E+00,2.8256E-01,2.8459E-01,2.0279E-03
2.5000E+00,2.8631E-01,2.8489E-01,-1.4195E-03
2.6000E+00,2.8509E-01,2.8651E-01,1.4195E-03
2.7000E+00,2.8580E-01,2.8611E-01,3.0418E-04
2.8000E+00,2.8601E-01,2.8702E-01,1.0139E-03
2.9000E+00,2.9067E-01,2.8702E-01,-3.6502E-03
3.0000E+00,2.8864E-01,2.8621E-01,-2.4335E-03
3.1000E+00,2.9067E-01,2.9169E-01,1.0139E-03
3.2000E+00,2.8976E-01,2.9392E-01,4.1572E-03
3.3000E+00,2.9290E-01,2.9270E-01,-2.0279E-04
3.4000E+00,2.9554E-01,2.9615E-01,6.0837E-04
3.5000E+00,3.0081E-01,3.0051E-01,-3.0418E-04
3.6000E+00,2.9888E-01,3.0203E-01,3.1432E-03
3.7000E+00,3.0243E-01,3.0172E-01,-7.0976E-04
3.8000E+00,3.0284E-01,3.0152E-01,-1.3181E-03
3.9000E+00,3.1166E-01,3.1075E-01,-9.1255E-04
4.0000E+00,3.0923E-01,3.0862E-01,-6.0837E-04
4.1000E+00,3.1267E-01,3.1359E-01,9.1255E-04
4.2000E+00,3.1237E-01,3.1521E-01,2.8391E-03
4.3000E+00,3.1186E-01,3.1653E-01,4.6642E-03
4.4000E+00,3.1521E-01,3.1947E-01,4.2586E-03
4.5000E+00,3.1511E-01,3.1632E-01,1.2167E-03
4.6000E+00,3.1643E-01,3.1602E-01,-4.0558E-04
4.7000E+00,3.1653E-01,3.1703E-01,5.0697E-04
