x_length,laser_off,laser_on,dV
0.0000E+00,-3.6049E-01,-3.6059E-01,-1.0139E-04
1.0000E-01,-3.7326E-01,-3.7326E-01,-5.5511E-17
2.0000E-01,-3.8512E-01,-3.8634E-01,-1.2167E-03
3.0000E-01,-3.9354E-01,-3.9435E-01,-8.1116E-04
4.0000E-01,-4.0186E-01,-3.9881E-01,3.0418E-03
5.0000E-01,-4.0865E-01,-4.0723E-01,1.4195E-03
6.0000E-01,-4.1514E-01,-4.1514E-01,-5.5511E-17
7.0000E-01,-4.2000E-01,-4.1909E-01,9.1255E-04
8.0000E-01,-4.2345E-01,-4.2234E-01,1.1153E-03
9.0000E-01,-4.2619E-01,-4.2639E-01,-2.0279E-04
1.0000E+00,-4.2457E-01,-4.2497E-01,-4.0558E-04
1.1000E+00,-4.2487E-01,-4.2163E-01,3.2446E-03
1.2000E+00,-4.2386E-01,-4.1960E-01,4.2586E-03
1.3000E+00,-4.1980E-01,-4.2051E-01,-7.0976E-04
1.4000E+00,-4.1777E-01,-4.1929E-01,-1.5209E-03
1.5000E+00,-4.1757E-01,-4.1788E-01,-3.0418E-04
1.6000E+00,-4.1220E-01,-4.1311E-01,-9.1255E-04
1.7000E+00,-4.1068E-01,-4.0885E-01,1.8251E-03
1.8000E+00,-4.0520E-01,-4.0064E-01,4.5628E-03
1.9000E+00,-3.9993E-01,-3.9719E-01,2.7377E-03
2.0000E+00,-3.9314E-01,-3.9496E-01,-1.8251E-03
2.1000E+00,-3.8796E-01,-3.8614E-01,1.8251E-03
2.2000E+00,-3.8178E-01,-3.7955E-01,2.2307E-03
2.3000E+00,-3.7570E-01,-3.7793E-01,-2.2307E-03
2.4000E+00,-3.7519E-01,-3.7772E-01,-2.5349E-03
2.5000E+00,-3.7438E-01,-3.7641E-01,-2.0279E-03
2.6000E+00,-3.7600E-01,-3.7681E-01,-8.1116E-04
2.7000E+00,-3.7813E-01,-3.7722E-01,9.1255E-04
2.8000E+00,-3.8198E-01,-3.8097E-01,1.0139E-03
2.9000E+00,-3.8624E-01,-3.8442E-01,1.8251E-03
3.0000E+00,-3.8928E-01,-3.8807E-01,1.2167E-03
3.1000E+00,-3.9384E-01,-3.9597E-01,-2.1293E-03
3.2000E+00,-4.0033E-01,-3.9912E-01,1.2167E-03
3.3000E+00,-4.0814E-01,-4.0875E-01,-6.0837E-04
3.4000E+00,-4.1970E-01,-4.1463E-01,5.0697E-03
3.5000E+00,-4.2355E-01,-4.2649E-01,-2.9404E-03
3.6000E+00,-4.2872E-01,-4.3055E-01,-1.8251E-03
3.7000E+00,-4.3491E-01,-4.3552E-01,-6.0837E-04
3.8000E+00,-4.3440E-01,-4.4039E-01,-5.9823E-03
3.9000E+00,-4.3491E-01,-4.3278E-01,2.1293E-03
4.0000E+00,-4.3085E-01,-4.3025E-01,6.0837E-04
4.1000E+00,-4.2710E-01,-4.2629E-01,8.1116E-04
4.2000E+00,-4.2447E-01,-4.2558E-01,-1.1153E-03
4.3000E+00,-4.2325E-01,-4.2457E-01,-1.3181E-03
4.4000E+00,-4.2011E-01,-4.2092E-01,-8.1116E-04
4.5000E+00,-4.1260E-01,-4.1341E-01,-8.1116E-04
4.6000E+00,-4.0287E-01,-4.0368E-01,-8.1116E-04
4.7000E+00,-3.9729E-01,-3.9476E-01,2.5349E-03
4.8000E+00,-3.8583E-01,-3.8553E-01,3.0418E-04
4.9000E+00,-3.7742E-01,-3.7671E-01,7.0976E-04
5.0000E+00,-3.6799E-01,-3.6708E-01,9.1255E-04
5.1000E+00,-3.6474E-01,-3.6241E-01,2.3321E-03
5.2000E+00,-3.5744E-01,-3.5876E-01,-1.3181E-03
5.3000E+00,-3.5430E-01,-3.5501E-01,-7.0976E-04
5.4000E+00,-3.4801E-01,-3.4954E-01,-1.5209E-03
5.5000E+00,-3.4406E-01,-3.4396E-01,1.0139E-04
5.6000E+00,-3.3585E-01,-3.3544E-01,4.0558E-04
5.7000E+00,-3.3372E-01,-3.3392E-01,-2.0279E-04
5.8000E+00,-3.2784E-01,-3.2814E-01,-3.0418E-04
5.9000E+00,-3.2165E-01,-3.2206E-01,-4.0558E-04
6.0000E+00,-3.1881E-01,-3.1678E-01,2.0279E-03
6.1000E+00,-3.1232E-01,-3.1121E-01,1.1153E-03
6.2000E+00,-3.0705E-01,-3.0644E-01,6.0837E-04
6.3000E+00,-3.0097E-01,-2.9965E-01,1.3181E-03
6.4000E+00,-2.9225E-01,-2.9367E-01,-1.4195E-03
6.5000E+00,-2.8079E-01,-2.8150E-01,-7.0976E-04
6.6000E+00,-2.6832E-01,-2.6588E-01,2.4335E-03
6.7000E+00,-2.5818E-01,-2.5625E-01,1.9265E-03
6.8000E+00,-2.5331E-01,-2.5118E-01,2.1293E-03
6.9000E+00,-2.5777E-01,-2.5919E-01,-1.4195E-03
7.0000E+00,-2.6507E-01,-2.6528E-01,-2.0279E-04
7.1000E+00,-2.7004E-01,-2.6730E-01,2.7377E-03
7.2000E+00,-2.7319E-01,-2.7349E-01,-3.0418E-04
7.3000E+00,-2.7166E-01,-2.7248E-01,-8.1116E-04
7.4000E+00,-2.7187E-01,-2.7400E-01,-2.1293E-03
7.5000E+00,-2.7359E-01,-2.7258E-01,1.0139E-03
7.6000E+00,-2.6893E-01,-2.6964E-01,-7.0976E-04
7.7000E+00,-2.6842E-01,-2.7065E-01,-2.2307E-03
7.8000E+00,-2.6933E-01,-2.7106E-01,-1.7237E-03
7.9000E+00,-2.6943E-01,-2.6862E-01,8.1116E-04
8.0000E+00,-2.6984E-01,-2.6883E-01,1.0139E-03
8.1000E+00,-2.7024E-01,-2.7065E-01,-4.0558E-04
8.2000E+00,-2.7197E-01,-2.7298E-01,-1.0139E-03
8.3000E+00,-2.7460E-01,-2.7389E-01,7.0976E-04
8.4000E+00,-2.7379E-01,-2.7440E-01,-6.0837E-04
8.5000E+00,-2.7582E-01,-2.7440E-01,1.4195E-03
8.6000E+00,-2.7978E-01,-2.8069E-01,-9.1255E-04
8.7000E+00,-2.8687E-01,-2.8434E-01,2.5349E-03
8.8000E+00,-2.9559E-01,-2.9225E-01,3.3460E-03
8.9000E+00,-2.9559E-01,-2.9722E-01,-1.6223E-03
9.0000E+00,-3.0076E-01,-3.0005E-01,7.0976E-04
9.1000E+00,-3.0350E-01,-3.0492E-01,-1.4195E-03
9.2000E+00,-3.0411E-01,-3.0502E-01,-9.1255E-04
9.3000E+00,-3.0614E-01,-3.0695E-01,-8.1116E-04
9.4000E+00,-3.0898E-01,-3.0705E-01,1.9265E-03
9.5000E+00,-3.0492E-01,-3.0391E-01,1.0139E-03
9.6000E+00,-3.0898E-01,-3.0675E-01,2.2307E-03
9.7000E+00,-3.0725E-01,-3.0847E-01,-1.2167E-03
9.8000E+00,-3.0938E-01,-3.1222E-01,-2.8391E-03
9.9000E+00,-3.1374E-01,-3.1141E-01,2.3321E-03
