x_length,laser_off,laser_on,dV
0.0000E+00,-3.3189E-01,-3.3260E-01,-7.0976E-04
1.0000E-01,-3.2916E-01,-3.2662E-01,2.5349E-03
2.0000E-01,-3.2317E-01,-3.2469E-01,-1.5209E-03
3.0000E-01,-3.2044E-01,-3.2206E-01,-1.6223E-03
4.0000E-01,-3.2013E-01,-3.1699E-01,3.1432E-03
5.0000E-01,-3.1618E-01,-3.1242E-01,3.7516E-03
6.0000E-01,-3.1506E-01,-3.1537E-01,-3.0418E-04
7.0000E-01,-3.1537E-01,-3.1324E-01,2.1293E-03
8.0000E-01,-3.0979E-01,-3.0969E-01,1.0139E-04
9.0000E-01,-3.0969E-01,-3.0857E-01,1.1153E-03
1.0000E+00,-3.0796E-01,-3.0685E-01,1.1153E-03
1.1000E+00,-3.0310E-01,-3.0523E-01,-2.1293E-03
1.2000E+00,-3.0289E-01,-3.0289E-01,0.0000E+00
1.3000E+00,-3.0147E-01,-3.0066E-01,8.1116E-04
1.4000E+00,-2.9914E-01,-3.0016E-01,-1.0139E-03
1.5000E+00,-2.9539E-01,-2.9853E-01,-3.1432E-03
1.6000E+00,-2.9853E-01,-2.9580E-01,2.7377E-03
1.7000E+00,-2.9722E-01,-2.9438E-01,2.8391E-03
1.8000E+00,-2.9610E-01,-2.9316E-01,2.9404E-03
1.9000E+00,-2.9144E-01,-2.9326E-01,-1.8251E-03
2.0000E+00,-2.9417E-01,-2.9154E-01,2.6363E-03
2.1000E+00,-2.8890E-01,-2.9073E-01,-1.8251E-03
2.2000E+00,-2.8870E-01,-2.9052E-01,-1.8251E-03
2.3000E+00,-2.8890E-01,-2.9164E-01,-2.7377E-03
2.4000E+00,-2.9083E-01,-2.8525E-01,5.5767E-03
2.5000E+00,-2.8464E-01,-2.8525E-01,-6.0837E-04
2.6000E+00,-2.8495E-01,-2.8403E-01,9.1255E-04
2.7000E+00,-2.8373E-01,-2.8089E-01,2.8391E-03
2.8000E+00,-2.8028E-01,-2.7886E-01,1.4195E-03
2.9000E+00,-2.7592E-01,-2.7613E-01,-2.0279E-04
3.0000E+00,-2.7734E-01,-2.7765E-01,-3.0418E-04
3.1000E+00,-2.7379E-01,-2.7400E-01,-2.0279E-04
3.2000E+00,-2.7319E-01,-2.7207E-01,1.1153E-03
3.3000E+00,-2.6953E-01,-2.6943E-01,1.0139E-04
3.4000E+00,-2.6376E-01,-2.6457E-01,-8.1116E-04
3.5000E+00,-2.6467E-01,-2.6163E-01,3.0418E-03
3.6000E+00,-2.6588E-01,-2.6467E-01,1.2167E-03
3.7000E+00,-2.5960E-01,-2.6061E-01,-1.0139E-03
3.8000E+00,-2.5828E-01,-2.5808E-01,2.0279E-04
3.9000E+00,-2.5666E-01,-2.5656E-01,1.0139E-04
4.0000E+00,-2.5676E-01,-2.5727E-01,-5.0697E-04
4.1000E+00,-2.5777E-01,-2.5716E-01,6.0837E-04
4.2000E+00,-2.5646E-01,-2.5828E-01,-1.8251E-03
4.3000E+00,-2.5544E-01,-2.5210E-01,3.3460E-03
4.4000E+00,-2.5666E-01,-2.5504E-01,1.6223E-03
4.5000E+00,-2.5696E-01,-2.5757E-01,-6.0837E-04
4.6000E+00,-2.5889E-01,-2.5727E-01,1.6223E-03
4.7000E+00,-2.5595E-01,-2.5514E-01,8.1116E-04
4.8000E+00,-2.5696E-01,-2.5605E-01,9.1255E-04
4.9000E+00,-2.5554E-01,-2.5534E-01,2.0279E-04
5.0000E+00,-2.5666E-01,-2.5473E-01,1.9265E-03
5.1000E+00,-2.5635E-01,-2.5331E-01,3.0418E-03
5.2000E+00,-2.5585E-01,-2.5433E-01,1.5209E-03
5.3000E+00,-2.5392E-01,-2.5230E-01,1.6223E-03
5.4000E+00,-2.5311E-01,-2.5412E-01,-1.0139E-03
5.5000E+00,-2.5331E-01,-2.5524E-01,-1.9265E-03
5.6000E+00,-2.5787E-01,-2.5453E-01,3.3460E-03
5.7000E+00,-2.5838E-01,-2.5554E-01,2.8391E-03
5.8000E+00,-2.5321E-01,-2.5524E-01,-2.0279E-03
5.9000E+00,-2.5483E-01,-2.5524E-01,-4.0558E-04
6.0000E+00,-2.5280E-01,-2.5372E-01,-9.1255E-04
6.1000E+00,-2.5372E-01,-2.5372E-01,0.0000E+00
6.2000E+00,-2.5483E-01,-2.5240E-01,2.4335E-03
6.3000E+00,-2.5037E-01,-2.5027E-01,1.0139E-04
6.4000E+00,-2.5230E-01,-2.5291E-01,-6.0837E-04
6.5000E+00,-2.5078E-01,-2.5311E-01,-2.3321E-03
6.6000E+00,-2.5392E-01,-2.5280E-01,1.1153E-03
6.7000E+00,-2.5220E-01,-2.5149E-01,7.0976E-04
6.8000E+00,-2.5210E-01,-2.5311E-01,-1.0139E-03
6.9000E+00,-2.5341E-01,-2.5159E-01,1.8251E-03
7.0000E+00,-2.5098E-01,-2.5149E-01,-5.0697E-04
7.1000E+00,-2.5098E-01,-2.4997E-01,1.0139E-03
7.2000E+00,-2.5250E-01,-2.5301E-01,-5.0697E-04
7.3000E+00,-2.5139E-01,-2.4814E-01,3.2446E-03
7.4000E+00,-2.5230E-01,-2.5210E-01,2.0279E-04
7.5000E+00,-2.5037E-01,-2.5169E-01,-1.3181E-03
7.6000E+00,-2.5088E-01,-2.5037E-01,5.0697E-04
7.7000E+00,-2.5068E-01,-2.5118E-01,-5.0697E-04
7.8000E+00,-2.5108E-01,-2.5139E-01,-3.0418E-04
7.9000E+00,-2.5139E-01,-2.5331E-01,-1.9265E-03
8.0000E+00,-2.4926E-01,-2.4834E-01,9.1255E-04
8.1000E+00,-2.4824E-01,-2.4997E-01,-1.7237E-03
8.2000E+00,-2.4966E-01,-2.4611E-01,3.5488E-03
8.3000E+00,-2.4834E-01,-2.4662E-01,1.7237E-03
8.4000E+00,-2.4611E-01,-2.4459E-01,1.5209E-03
8.5000E+00,-2.4834E-01,-2.4763E-01,7.0976E-04
8.6000E+00,-2.4500E-01,-2.4581E-01,-8.1116E-04
8.7000E+00,-2.4490E-01,-2.4540E-01,-5.0697E-04
