x_length,laser_off,laser_on,dV
0.0000E+00,-3.4710E-01,-3.2114E-01,2.5957E-02
1.0000E-01,-3.4964E-01,-3.2510E-01,2.4538E-02
2.0000E-01,-3.5886E-01,-3.2601E-01,3.2852E-02
3.0000E-01,-3.5876E-01,-3.2429E-01,3.4474E-02
4.0000E-01,-3.6140E-01,-3.2429E-01,3.7110E-02
5.0000E-01,-3.5886E-01,-3.2246E-01,3.6401E-02
6.0000E-01,-3.6038E-01,-3.2246E-01,3.7922E-02
7.0000E-01,-3.5795E-01,-3.2094E-01,3.7009E-02
8.0000E-01,-3.5734E-01,-3.1800E-01,3.9341E-02
9.0000E-01,-3.5521E-01,-3.1486E-01,4.0355E-02
1.0000E+00,-3.5542E-01,-3.1293E-01,4.2484E-02
1.1000E+00,-3.5106E-01,-3.0969E-01,4.1369E-02
1.2000E+00,-3.5156E-01,-3.0695E-01,4.4614E-02
1.3000E+00,-3.4852E-01,-3.0300E-01,4.5526E-02
1.4000E+00,-3.4781E-01,-3.0370E-01,4.4107E-02
1.5000E+00,-3.4670E-01,-3.0097E-01,4.5729E-02
1.6000E+00,-3.4578E-01,-2.9894E-01,4.6844E-02
1.7000E+00,-3.4680E-01,-2.9691E-01,4.9886E-02
1.8000E+00,-3.4497E-01,-2.9823E-01,4.6743E-02
1.9000E+00,-3.4487E-01,-2.9590E-01,4.8974E-02
2.0000E+00,-3.4122E-01,-2.9306E-01,4.8163E-02
2.1000E+00,-3.4082E-01,-2.9488E-01,4.5932E-02
2.2000E+00,-3.4487E-01,-2.9346E-01,5.1407E-02
2.3000E+00,-3.4396E-01,-2.9346E-01,5.0495E-02
2.4000E+00,-3.4193E-01,-2.9012E-01,5.1813E-02
2.5000E+00,-3.4467E-01,-2.8890E-01,5.5767E-02
2.6000E+00,-3.4467E-01,-2.9032E-01,5.4348E-02
2.7000E+00,-3.4335E-01,-2.9174E-01,5.1610E-02
2.8000E+00,-3.4213E-01,-2.8261E-01,5.9519E-02
2.9000E+00,-3.4234E-01,-2.7978E-01,6.2561E-02
3.0000E+00,-3.4386E-01,-2.8099E-01,6.2865E-02
3.1000E+00,-3.3899E-01,-2.7643E-01,6.2561E-02
3.2000E+00,-3.4254E-01,-2.7440E-01,6.8137E-02
3.3000E+00,-3.4335E-01,-2.6558E-01,7.7770E-02
3.4000E+00,-3.4538E-01,-2.6670E-01,7.8682E-02
3.5000E+00,-3.4609E-01,-2.6568E-01,8.0406E-02
3.6000E+00,-3.4426E-01,-2.5777E-01,8.6490E-02
3.7000E+00,-3.4528E-01,-2.5311E-01,9.2168E-02
3.8000E+00,-3.4082E-01,-2.4946E-01,9.1357E-02
3.9000E+00,-3.4639E-01,-2.5078E-01,9.5615E-02
4.0000E+00,-3.4862E-01,-2.5108E-01,9.7542E-02
4.1000E+00,-3.4710E-01,-2.4155E-01,1.0555E-01
4.2000E+00,-3.4781E-01,-2.3496E-01,1.1285E-01
4.3000E+00,-3.4801E-01,-2.2168E-01,1.2634E-01
