x_length,laser_off,laser_on,dV
0.0000E+00,-5.3316E-01,-5.3134E-01,1.8251E-03
1.0000E-01,-5.5516E-01,-5.4421E-01,1.0951E-02
2.0000E-01,-5.6642E-01,-5.6439E-01,2.0279E-03
3.0000E-01,-5.6074E-01,-5.6226E-01,-1.5209E-03
4.0000E-01,-5.6814E-01,-5.6966E-01,-1.5209E-03
5.0000E-01,-5.5293E-01,-5.5841E-01,-5.4753E-03
6.0000E-01,-5.6470E-01,-5.6328E-01,1.4195E-03
7.0000E-01,-5.8852E-01,-5.8234E-01,6.1851E-03
8.0000E-01,-6.0130E-01,-5.9937E-01,1.9265E-03
9.0000E-01,-5.9440E-01,-5.9795E-01,-3.5488E-03
1.0000E+00,-6.0627E-01,-6.0373E-01,2.5349E-03
1.1000E+00,-5.9420E-01,-6.0231E-01,-8.1116E-03
1.2000E+00,-6.2026E-01,-6.0819E-01,1.2066E-02
1.3000E+00,-6.0181E-01,-6.1174E-01,-9.9367E-03
1.4000E+00,-5.7331E-01,-5.8315E-01,-9.8353E-03
1.5000E+00,-5.5202E-01,-5.5760E-01,-5.5767E-03
1.6000E+00,-5.5162E-01,-5.4726E-01,4.3600E-03
1.7000E+00,-5.5861E-01,-5.6094E-01,-2.3321E-03
1.8000E+00,-5.5841E-01,-5.6084E-01,-2.4335E-03
1.9000E+00,-5.8203E-01,-5.7494E-01,7.0976E-03
2.0000E+00,-5.9400E-01,-5.8731E-01,6.6921E-03
2.1000E+00,-5.8143E-01,-5.8893E-01,-7.5032E-03
2.2000E+00,-5.5496E-01,-5.6561E-01,-1.0646E-02
2.3000E+00,-5.4148E-01,-5.3975E-01,1.7237E-03
2.4000E+00,-5.2667E-01,-5.3620E-01,-9.5311E-03
2.5000E+00,-5.2657E-01,-5.2758E-01,-1.0139E-03
2.6000E+00,-5.2840E-01,-5.2606E-01,2.3321E-03
2.7000E+00,-5.2404E-01,-5.2880E-01,-4.7656E-03
2.8000E+00,-5.2525E-01,-5.3012E-01,-4.8669E-03
2.9000E+00,-5.4584E-01,-5.3549E-01,1.0342E-02
3.0000E+00,-5.6581E-01,-5.5750E-01,8.3144E-03
3.1000E+00,-5.4553E-01,-5.5638E-01,-1.0849E-02
3.2000E+00,-5.4502E-01,-5.5091E-01,-5.8809E-03
3.3000E+00,-5.5608E-01,-5.4736E-01,8.7199E-03
3.4000E+00,-5.4229E-01,-5.4229E-01,0.0000E+00
3.5000E+00,-5.3245E-01,-5.4036E-01,-7.9088E-03
3.6000E+00,-5.4310E-01,-5.3975E-01,3.3460E-03
3.7000E+00,-5.5091E-01,-5.4401E-01,6.8948E-03
3.8000E+00,-5.4614E-01,-5.3985E-01,6.2865E-03
3.9000E+00,-5.5314E-01,-5.5445E-01,-1.3181E-03
4.0000E+00,-5.4340E-01,-5.4411E-01,-7.0976E-04
4.1000E+00,-5.2343E-01,-5.3286E-01,-9.4297E-03
4.2000E+00,-5.2008E-01,-5.2495E-01,-4.8669E-03
4.3000E+00,-5.1694E-01,-5.1745E-01,-5.0697E-04
4.4000E+00,-5.1846E-01,-5.1430E-01,4.1572E-03
4.5000E+00,-5.1319E-01,-5.1065E-01,2.5349E-03
4.6000E+00,-5.1085E-01,-5.1734E-01,-6.4893E-03
4.7000E+00,-5.1461E-01,-5.2018E-01,-5.5767E-03
4.8000E+00,-5.2201E-01,-5.2008E-01,1.9265E-03
4.9000E+00,-5.2353E-01,-5.1745E-01,6.0837E-03
5.0000E+00,-5.1805E-01,-5.1278E-01,5.2725E-03
5.1000E+00,-5.1167E-01,-5.1258E-01,-9.1255E-04
5.2000E+00,-5.1177E-01,-5.1298E-01,-1.2167E-03
5.3000E+00,-5.0802E-01,-5.1481E-01,-6.7934E-03
5.4000E+00,-5.1096E-01,-5.1461E-01,-3.6502E-03
5.5000E+00,-5.0802E-01,-5.1045E-01,-2.4335E-03
5.6000E+00,-5.0873E-01,-5.0376E-01,4.9683E-03
5.7000E+00,-5.0913E-01,-5.0386E-01,5.2725E-03
5.8000E+00,-5.1298E-01,-5.0426E-01,8.7199E-03
5.9000E+00,-5.0974E-01,-5.0943E-01,3.0418E-04
6.0000E+00,-5.1532E-01,-5.1187E-01,3.4474E-03
6.1000E+00,-5.1440E-01,-5.1106E-01,3.3460E-03
6.2000E+00,-5.1582E-01,-5.0923E-01,6.5907E-03
6.3000E+00,-5.1359E-01,-5.0883E-01,4.7656E-03
6.4000E+00,-5.1805E-01,-5.1217E-01,5.8809E-03
6.5000E+00,-5.2028E-01,-5.1177E-01,8.5172E-03
6.6000E+00,-5.1917E-01,-5.1349E-01,5.6781E-03
6.7000E+00,-5.2110E-01,-5.1156E-01,9.5311E-03
6.8000E+00,-5.2302E-01,-5.1085E-01,1.2167E-02
6.9000E+00,-5.1927E-01,-5.1035E-01,8.9227E-03
7.0000E+00,-5.1836E-01,-5.1014E-01,8.2130E-03
7.1000E+00,-5.1592E-01,-5.1045E-01,5.4753E-03
7.2000E+00,-5.1897E-01,-5.1045E-01,8.5172E-03
7.3000E+00,-5.2434E-01,-5.0842E-01,1.5919E-02
7.4000E+00,-5.2272E-01,-5.0700E-01,1.5716E-02
7.5000E+00,-5.2383E-01,-5.0903E-01,1.4804E-02
