x_length,laser_off,laser_on,dV
0.0000E+00,-2.1083E-01,-2.0981E-01,1.0139E-03
1.0000E-01,-2.0768E-01,-2.0738E-01,3.0418E-04
2.0000E-01,-2.0525E-01,-2.0545E-01,-2.0279E-04
3.0000E-01,-2.0535E-01,-2.0515E-01,2.0279E-04
4.0000E-01,-2.0332E-01,-2.0444E-01,-1.1153E-03
5.0000E-01,-2.0403E-01,-2.0444E-01,-4.0558E-04
6.0000E-01,-2.0667E-01,-2.0586E-01,8.1116E-04
7.0000E-01,-2.0667E-01,-2.0444E-01,2.2307E-03
8.0000E-01,-2.0870E-01,-2.1083E-01,-2.1293E-03
9.0000E-01,-2.1073E-01,-2.1103E-01,-3.0418E-04
1.0000E+00,-2.1357E-01,-2.0921E-01,4.3600E-03
1.1000E+00,-2.0728E-01,-2.0981E-01,-2.5349E-03
1.2000E+00,-2.0485E-01,-2.0687E-01,-2.0279E-03
1.3000E+00,-2.0312E-01,-2.0444E-01,-1.3181E-03
1.4000E+00,-2.0190E-01,-2.0414E-01,-2.2307E-03
1.5000E+00,-2.0596E-01,-2.1002E-01,-4.0558E-03
1.6000E+00,-2.1255E-01,-2.1539E-01,-2.8391E-03
1.7000E+00,-2.1863E-01,-2.1934E-01,-7.0976E-04
1.8000E+00,-2.2137E-01,-2.2452E-01,-3.1432E-03
1.9000E+00,-2.2462E-01,-2.2360E-01,1.0139E-03
2.0000E+00,-2.2553E-01,-2.2533E-01,2.0279E-04
2.1000E+00,-2.2756E-01,-2.2654E-01,1.0139E-03
2.2000E+00,-2.2867E-01,-2.3313E-01,-4.4614E-03
2.3000E+00,-2.3374E-01,-2.3192E-01,1.8251E-03
2.4000E+00,-2.3030E-01,-2.3080E-01,-5.0697E-04
2.5000E+00,-2.2857E-01,-2.3090E-01,-2.3321E-03
2.6000E+00,-2.3557E-01,-2.3526E-01,3.0418E-04
2.7000E+00,-2.3455E-01,-2.3567E-01,-1.1153E-03
2.8000E+00,-2.3557E-01,-2.3820E-01,-2.6363E-03
2.9000E+00,-2.3851E-01,-2.3952E-01,-1.0139E-03
3.0000E+00,-2.4449E-01,-2.4642E-01,-1.9265E-03
3.1000E+00,-2.5159E-01,-2.5351E-01,-1.9265E-03
3.2000E+00,-2.5757E-01,-2.6345E-01,-5.8809E-03
3.3000E+00,-2.6832E-01,-2.7075E-01,-2.4335E-03
3.4000E+00,-2.7572E-01,-2.7896E-01,-3.2446E-03
3.5000E+00,-2.7765E-01,-2.8170E-01,-4.0558E-03
3.6000E+00,-2.8231E-01,-2.8890E-01,-6.5907E-03
3.7000E+00,-2.9488E-01,-2.9600E-01,-1.1153E-03
3.8000E+00,-3.0016E-01,-3.0472E-01,-4.5628E-03
3.9000E+00,-3.0604E-01,-3.0736E-01,-1.3181E-03
4.0000E+00,-3.1283E-01,-3.1232E-01,5.0697E-04
4.1000E+00,-3.1638E-01,-3.2256E-01,-6.1851E-03
4.2000E+00,-3.2013E-01,-3.2094E-01,-8.1116E-04
4.3000E+00,-3.2145E-01,-3.2530E-01,-3.8530E-03
4.4000E+00,-3.2429E-01,-3.2449E-01,-2.0279E-04
4.5000E+00,-3.2287E-01,-3.2145E-01,1.4195E-03
4.6000E+00,-3.2185E-01,-3.2165E-01,2.0279E-04
4.7000E+00,-3.1820E-01,-3.1608E-01,2.1293E-03
4.8000E+00,-3.1628E-01,-3.1770E-01,-1.4195E-03
4.9000E+00,-3.1435E-01,-3.1455E-01,-2.0279E-04
5.0000E+00,-3.1202E-01,-3.1111E-01,9.1255E-04
5.1000E+00,-3.0117E-01,-2.9701E-01,4.1572E-03
5.2000E+00,-2.9580E-01,-3.0076E-01,-4.9683E-03
5.3000E+00,-3.0259E-01,-3.0289E-01,-3.0418E-04
5.4000E+00,-2.9924E-01,-2.9894E-01,3.0418E-04
5.5000E+00,-2.9843E-01,-3.0005E-01,-1.6223E-03
5.6000E+00,-2.9914E-01,-2.9935E-01,-2.0279E-04
5.7000E+00,-2.9803E-01,-2.9651E-01,1.5209E-03
5.8000E+00,-2.9123E-01,-2.8667E-01,4.5628E-03
5.9000E+00,-2.8292E-01,-2.8018E-01,2.7377E-03
6.0000E+00,-2.8221E-01,-2.8485E-01,-2.6363E-03
6.1000E+00,-2.7927E-01,-2.7988E-01,-6.0837E-04
6.2000E+00,-2.8069E-01,-2.8261E-01,-1.9265E-03
6.3000E+00,-2.8018E-01,-2.8292E-01,-2.7377E-03
6.4000E+00,-2.8038E-01,-2.7815E-01,2.2307E-03
6.5000E+00,-2.7227E-01,-2.7146E-01,8.1116E-04
6.6000E+00,-2.6700E-01,-2.6893E-01,-1.9265E-03
6.7000E+00,-2.7045E-01,-2.7471E-01,-4.2586E-03
6.8000E+00,-2.7227E-01,-2.7410E-01,-1.8251E-03
6.9000E+00,-2.7308E-01,-2.6994E-01,3.1432E-03
7.0000E+00,-2.6801E-01,-2.7136E-01,-3.3460E-03
7.1000E+00,-2.7045E-01,-2.7602E-01,-5.5767E-03
7.2000E+00,-2.6730E-01,-2.5798E-01,9.3283E-03
7.3000E+00,-2.6051E-01,-2.6365E-01,-3.1432E-03
7.4000E+00,-2.6812E-01,-2.7389E-01,-5.7795E-03
7.5000E+00,-2.7298E-01,-2.7116E-01,1.8251E-03
7.6000E+00,-2.7471E-01,-2.7471E-01,1.1102E-16
7.7000E+00,-2.7501E-01,-2.7501E-01,-5.5511E-17
7.8000E+00,-2.7410E-01,-2.7420E-01,-1.0139E-04
7.9000E+00,-2.7349E-01,-2.7613E-01,-2.6363E-03
8.0000E+00,-2.7663E-01,-2.7531E-01,1.3181E-03
8.1000E+00,-2.7329E-01,-2.7937E-01,-6.0837E-03
