x_length,laser_off,laser_on,dV
0.0000E+00,-8.0642E-01,-8.0409E-01,2.3321E-03
1.0000E-01,-8.0814E-01,-8.0743E-01,7.0976E-04
2.0000E-01,-8.0733E-01,-8.0601E-01,1.3181E-03
3.0000E-01,-8.0571E-01,-8.0672E-01,-1.0139E-03
4.0000E-01,-8.0814E-01,-8.0855E-01,-4.0558E-04
5.0000E-01,-8.0754E-01,-8.0835E-01,-8.1116E-04
6.0000E-01,-8.0591E-01,-8.0551E-01,4.0558E-04
7.0000E-01,-8.0591E-01,-8.0297E-01,2.9404E-03
8.0000E-01,-8.0125E-01,-7.9841E-01,2.8391E-03
9.0000E-01,-7.9709E-01,-7.9882E-01,-1.7237E-03
1.0000E+00,-7.9517E-01,-7.9405E-01,1.1153E-03
1.1000E+00,-7.9283E-01,-7.9577E-01,-2.9404E-03
1.2000E+00,-7.8979E-01,-7.9283E-01,-3.0418E-03
1.3000E+00,-7.8817E-01,-7.8817E-01,0.0000E+00
1.4000E+00,-7.8949E-01,-7.8594E-01,3.5488E-03
1.5000E+00,-7.8300E-01,-7.8807E-01,-5.0697E-03
1.6000E+00,-7.8492E-01,-7.8685E-01,-1.9265E-03
1.7000E+00,-7.8421E-01,-7.8432E-01,-1.0139E-04
1.8000E+00,-7.8421E-01,-7.8350E-01,7.0976E-04
1.9000E+00,-7.8259E-01,-7.8421E-01,-1.6223E-03
2.0000E+00,-7.8198E-01,-7.8381E-01,-1.8251E-03
2.1000E+00,-7.8290E-01,-7.8361E-01,-7.0976E-04
2.2000E+00,-7.8340E-01,-7.8432E-01,-9.1255E-04
2.3000E+00,-7.7894E-01,-7.8138E-01,-2.4335E-03
2.4000E+00,-7.7549E-01,-7.7560E-01,-1.0139E-04
2.5000E+00,-7.7864E-01,-7.7914E-01,-5.0697E-04
2.6000E+00,-7.7418E-01,-7.7286E-01,1.3181E-03
2.7000E+00,-7.6688E-01,-7.6870E-01,-1.8251E-03
2.8000E+00,-7.6921E-01,-7.6738E-01,1.8251E-03
2.9000E+00,-7.6495E-01,-7.6292E-01,2.0279E-03
3.0000E+00,-7.5927E-01,-7.6272E-01,-3.4474E-03
3.1000E+00,-7.5552E-01,-7.5805E-01,-2.5349E-03
3.2000E+00,-7.5461E-01,-7.5491E-01,-3.0418E-04
3.3000E+00,-7.5146E-01,-7.5339E-01,-1.9265E-03
3.4000E+00,-7.5157E-01,-7.4933E-01,2.2307E-03
3.5000E+00,-7.4923E-01,-7.4427E-01,4.9683E-03
3.6000E+00,-7.4508E-01,-7.4619E-01,-1.1153E-03
3.7000E+00,-7.4427E-01,-7.4345E-01,8.1116E-04
3.8000E+00,-7.4102E-01,-7.4183E-01,-8.1116E-04
3.9000E+00,-7.3788E-01,-7.3808E-01,-2.0279E-04
4.0000E+00,-7.3017E-01,-7.3352E-01,-3.3460E-03
4.1000E+00,-7.2885E-01,-7.3119E-01,-2.3321E-03
4.2000E+00,-7.2774E-01,-7.2642E-01,1.3181E-03
