x_length,laser_off,laser_on,dV
0.0000E+00,-5.3002E-03,-4.1849E-03,1.1153E-03
1.0000E-01,-4.9960E-03,-7.9365E-03,-2.9404E-03
2.0000E-01,-1.0066E-02,-7.8351E-03,2.2307E-03
3.0000E-01,-5.1988E-03,-5.8072E-03,-6.0837E-04
4.0000E-01,1.1891E-03,1.2904E-03,1.0139E-04
5.0000E-01,8.8951E-03,7.9825E-03,-9.1255E-04
6.0000E-01,1.2849E-02,1.5587E-02,2.7377E-03
7.0000E-01,2.2076E-02,2.1164E-02,-9.1255E-04
8.0000E-01,2.8870E-02,3.1101E-02,2.2307E-03
9.0000E-01,3.9719E-02,3.9415E-02,-3.0418E-04
1.0000E+00,4.4789E-02,4.5397E-02,6.0837E-04
1.1000E+00,5.0974E-02,5.2495E-02,1.5209E-03
1.2000E+00,6.2229E-02,6.3547E-02,1.3181E-03
1.3000E+00,6.5575E-02,6.5980E-02,4.0558E-04
1.4000E+00,7.0137E-02,7.3382E-02,3.2446E-03
1.5000E+00,7.9364E-02,8.2203E-02,2.8391E-03
1.6000E+00,8.8591E-02,9.1430E-02,2.8391E-03
1.7000E+00,9.7717E-02,1.0329E-01,5.5767E-03
1.8000E+00,1.0775E-01,1.1201E-01,4.2586E-03
1.9000E+00,1.1455E-01,1.1982E-01,5.2725E-03
2.0000E+00,1.1810E-01,1.2347E-01,5.3739E-03
2.1000E+00,1.1810E-01,1.2469E-01,6.5907E-03
2.2000E+00,1.1931E-01,1.2469E-01,5.3739E-03
2.3000E+00,1.2580E-01,1.3077E-01,4.9683E-03
2.4000E+00,1.2601E-01,1.3696E-01,1.0951E-02
2.5000E+00,1.3331E-01,1.4182E-01,8.5172E-03
2.6000E+00,1.3797E-01,1.4537E-01,7.4018E-03
2.7000E+00,1.3544E-01,1.4405E-01,8.6186E-03
2.8000E+00,1.3087E-01,1.3929E-01,8.4158E-03
2.9000E+00,1.2651E-01,1.3645E-01,9.9367E-03
3.0000E+00,1.2672E-01,1.3787E-01,1.1153E-02
3.1000E+00,1.2378E-01,1.4010E-01,1.6325E-02
3.2000E+00,1.1952E-01,1.3726E-01,1.7744E-02
3.3000E+00,1.0542E-01,1.2449E-01,1.9062E-02
3.4000E+00,9.1126E-02,1.0765E-01,1.6527E-02
3.5000E+00,7.7742E-02,9.4269E-02,1.6527E-02
3.6000E+00,6.7400E-02,8.2812E-02,1.5412E-02
3.7000E+00,5.1785E-02,6.8819E-02,1.7034E-02
3.8000E+00,5.1177E-02,6.6487E-02,1.5311E-02
3.9000E+00,6.4257E-02,7.4092E-02,9.8353E-03
4.0000E+00,7.0442E-02,7.9973E-02,9.5311E-03
4.1000E+00,6.7907E-02,7.4396E-02,6.4893E-03
4.2000E+00,6.5169E-02,6.9428E-02,4.2586E-03
4.3000E+00,6.4358E-02,6.9935E-02,5.5767E-03
4.4000E+00,6.5169E-02,7.0746E-02,5.5767E-03
4.5000E+00,7.0644E-02,7.5309E-02,4.6642E-03
4.6000E+00,7.8756E-02,8.4840E-02,6.0837E-03
4.7000E+00,8.8896E-02,9.2546E-02,3.6502E-03
4.8000E+00,1.0147E-01,1.0289E-01,1.4195E-03
4.9000E+00,1.0522E-01,1.0796E-01,2.7377E-03
5.0000E+00,1.0370E-01,1.0542E-01,1.7237E-03
5.1000E+00,9.4979E-02,9.7514E-02,2.5349E-03
5.2000E+00,8.8794E-02,9.0011E-02,1.2167E-03
5.3000E+00,8.3319E-02,8.6259E-02,2.9404E-03
5.4000E+00,8.2001E-02,8.3116E-02,1.1153E-03
5.5000E+00,8.7273E-02,8.8896E-02,1.6223E-03
5.6000E+00,9.2850E-02,9.4371E-02,1.5209E-03
5.7000E+00,9.6095E-02,9.7717E-02,1.6223E-03
5.8000E+00,1.0157E-01,1.0177E-01,2.0279E-04
5.9000E+00,1.0025E-01,1.0380E-01,3.5488E-03
6.0000E+00,1.0208E-01,1.0309E-01,1.0139E-03
6.1000E+00,9.8427E-02,1.0238E-01,3.9544E-03
6.2000E+00,1.0492E-01,1.0573E-01,8.1116E-04
6.3000E+00,1.0765E-01,1.0867E-01,1.0139E-03
6.4000E+00,1.0329E-01,1.0664E-01,3.3460E-03
6.5000E+00,9.8528E-02,9.9948E-02,1.4195E-03
6.6000E+00,1.0583E-01,1.0775E-01,1.9265E-03
6.7000E+00,1.0775E-01,1.0816E-01,4.0558E-04
6.8000E+00,1.0968E-01,1.0948E-01,-2.0279E-04
6.9000E+00,1.1739E-01,1.2013E-01,2.7377E-03
7.0000E+00,1.2519E-01,1.2844E-01,3.2446E-03
7.1000E+00,1.2236E-01,1.2489E-01,2.5349E-03
7.2000E+00,1.1658E-01,1.1952E-01,2.9404E-03
7.3000E+00,1.0917E-01,1.0806E-01,-1.1153E-03
7.4000E+00,9.8731E-02,9.9745E-02,1.0139E-03
7.5000E+00,9.7007E-02,9.7615E-02,6.0837E-04
7.6000E+00,9.1633E-02,9.3661E-02,2.0279E-03
7.7000E+00,9.3357E-02,9.2647E-02,-7.0976E-04
7.8000E+00,9.2343E-02,9.4472E-02,2.1293E-03
7.9000E+00,9.1532E-02,9.1430E-02,-1.0139E-04
8.0000E+00,8.8693E-02,8.7983E-02,-7.0976E-04
8.1000E+00,8.6563E-02,8.5955E-02,-6.0837E-04
8.2000E+00,8.0176E-02,8.1595E-02,1.4195E-03
8.3000E+00,7.7843E-02,8.0987E-02,3.1432E-03
8.4000E+00,7.9669E-02,8.2001E-02,2.3321E-03
8.5000E+00,7.5714E-02,7.8249E-02,2.5349E-03
8.6000E+00,7.4295E-02,7.3484E-02,-8.1116E-04
8.7000E+00,7.2470E-02,7.1760E-02,-7.0976E-04
8.8000E+00,6.6183E-02,6.6589E-02,4.0558E-04
8.9000E+00,6.2431E-02,6.1215E-02,-1.2167E-03
9.0000E+00,6.6386E-02,6.6183E-02,-2.0279E-04
9.1000E+00,6.7603E-02,6.8515E-02,9.1255E-04
9.2000E+00,7.0340E-02,7.1253E-02,9.1255E-04
9.3000E+00,6.9529E-02,7.0543E-02,1.0139E-03
9.4000E+00,6.7603E-02,6.9529E-02,1.9265E-03
9.5000E+00,6.1316E-02,6.5271E-02,3.9544E-03
9.6000E+00,6.7400E-02,6.9529E-02,2.1293E-03
9.7000E+00,7.3788E-02,7.3179E-02,-6.0837E-04
9.8000E+00,8.7172E-02,8.5043E-02,-2.1293E-03
9.9000E+00,9.6703E-02,9.4675E-02,-2.0279E-03
