x_length,laser_off,laser_on,dV
0.0000E+00,-2.3516E-01,-2.3557E-01,-4.0558E-04
1.0000E-01,-2.3455E-01,-2.3628E-01,-1.7237E-03
2.0000E-01,-2.3151E-01,-2.3405E-01,-2.5349E-03
3.0000E-01,-2.2857E-01,-2.2908E-01,-5.0697E-04
4.0000E-01,-2.2553E-01,-2.2857E-01,-3.0418E-03
5.0000E-01,-2.2310E-01,-2.2259E-01,5.0697E-04
6.0000E-01,-2.2208E-01,-2.2492E-01,-2.8391E-03
7.0000E-01,-2.2553E-01,-2.2715E-01,-1.6223E-03
8.0000E-01,-2.2675E-01,-2.2989E-01,-3.1432E-03
9.0000E-01,-2.2604E-01,-2.3151E-01,-5.4753E-03
