x_length,laser_off,laser_on,dV
0.0000E+00,1.3625E-01,1.3675E-01,5.0697E-04
1.0000E-01,1.3665E-01,1.3625E-01,-4.0558E-04
2.0000E-01,1.3939E-01,1.3736E-01,-2.0279E-03
3.0000E-01,1.3746E-01,1.3969E-01,2.2307E-03
4.0000E-01,1.3797E-01,1.4020E-01,2.2307E-03
5.0000E-01,1.4000E-01,1.3939E-01,-6.0837E-04
6.0000E-01,1.4091E-01,1.4061E-01,-3.0418E-04
7.0000E-01,1.4162E-01,1.4142E-01,-2.0279E-04
8.0000E-01,1.4030E-01,1.4111E-01,8.1116E-04
9.0000E-01,1.3898E-01,1.3939E-01,4.0558E-04
1.0000E+00,1.3787E-01,1.3898E-01,1.1153E-03
1.1000E+00,1.3888E-01,1.3888E-01,0.0000E+00
1.2000E+00,1.4000E-01,1.3929E-01,-7.0976E-04
1.3000E+00,1.3980E-01,1.3838E-01,-1.4195E-03
1.4000E+00,1.4274E-01,1.4061E-01,-2.1293E-03
1.5000E+00,1.4253E-01,1.4040E-01,-2.1293E-03
1.6000E+00,1.3929E-01,1.3868E-01,-6.0837E-04
1.7000E+00,1.3817E-01,1.4071E-01,2.5349E-03
1.8000E+00,1.3980E-01,1.4111E-01,1.3181E-03
1.9000E+00,1.4030E-01,1.4152E-01,1.2167E-03
2.0000E+00,1.4213E-01,1.4142E-01,-7.0976E-04
2.1000E+00,1.4263E-01,1.4487E-01,2.2307E-03
2.2000E+00,1.4253E-01,1.4314E-01,6.0837E-04
2.3000E+00,1.4517E-01,1.4628E-01,1.1153E-03
2.4000E+00,1.4395E-01,1.4507E-01,1.1153E-03
2.5000E+00,1.4476E-01,1.4487E-01,1.0139E-04
2.6000E+00,1.4588E-01,1.4760E-01,1.7237E-03
2.7000E+00,1.4395E-01,1.4649E-01,2.5349E-03
2.8000E+00,1.4263E-01,1.4334E-01,7.0976E-04
2.9000E+00,1.4192E-01,1.4091E-01,-1.0139E-03
3.0000E+00,1.4263E-01,1.4152E-01,-1.1153E-03
3.1000E+00,1.4040E-01,1.3909E-01,-1.3181E-03
3.2000E+00,1.4081E-01,1.4000E-01,-8.1116E-04
3.3000E+00,1.4020E-01,1.3949E-01,-7.0976E-04
3.4000E+00,1.3848E-01,1.3888E-01,4.0558E-04
3.5000E+00,1.3817E-01,1.3817E-01,5.5511E-17
3.6000E+00,1.3848E-01,1.3726E-01,-1.2167E-03
3.7000E+00,1.3919E-01,1.3969E-01,5.0697E-04
3.8000E+00,1.3909E-01,1.3696E-01,-2.1293E-03
3.9000E+00,1.3939E-01,1.3919E-01,-2.0279E-04
4.0000E+00,1.3777E-01,1.3503E-01,-2.7377E-03
4.1000E+00,1.3797E-01,1.3929E-01,1.3181E-03
4.2000E+00,1.3716E-01,1.3868E-01,1.5209E-03
4.3000E+00,1.4162E-01,1.4091E-01,-7.0976E-04
4.4000E+00,1.3615E-01,1.4061E-01,4.4614E-03
4.5000E+00,1.4284E-01,1.3929E-01,-3.5488E-03
4.6000E+00,1.3980E-01,1.4233E-01,2.5349E-03
4.7000E+00,1.4304E-01,1.3959E-01,-3.4474E-03
4.8000E+00,1.4061E-01,1.4122E-01,6.0837E-04
4.9000E+00,1.4426E-01,1.4334E-01,-9.1255E-04
5.0000E+00,1.4334E-01,1.4294E-01,-4.0558E-04
5.1000E+00,1.4314E-01,1.4446E-01,1.3181E-03
5.2000E+00,1.4476E-01,1.4578E-01,1.0139E-03
5.3000E+00,1.4578E-01,1.4182E-01,-3.9544E-03
5.4000E+00,1.4791E-01,1.4811E-01,2.0279E-04
5.5000E+00,1.4831E-01,1.4781E-01,-5.0697E-04
5.6000E+00,1.4628E-01,1.4659E-01,3.0418E-04
